"Posição","Nome","Localidade","2010","Unidade","Multiplicador"
"19","Universo - Indicadores sociais municipais",,,"",""
"19.1","Domicílios particulares permanentes","Abaiara","2784","domicílios",1
"19.1","Domicílios particulares permanentes","Acarape","4184","domicílios",1
"19.1","Domicílios particulares permanentes","Acaraú","14652","domicílios",1
"19.1","Domicílios particulares permanentes","Acopiara","15025","domicílios",1
"19.1","Domicílios particulares permanentes","Aiuaba","4438","domicílios",1
"19.1","Domicílios particulares permanentes","Alcântaras","2852","domicílios",1
"19.1","Domicílios particulares permanentes","Altaneira","2089","domicílios",1
"19.1","Domicílios particulares permanentes","Alto Santo","4594","domicílios",1
"19.1","Domicílios particulares permanentes","Amontada","9787","domicílios",1
"19.1","Domicílios particulares permanentes","Antonina do Norte","2002","domicílios",1
"19.1","Domicílios particulares permanentes","Apuiarés","3889","domicílios",1
"19.1","Domicílios particulares permanentes","Aquiraz","19671","domicílios",1
"19.1","Domicílios particulares permanentes","Aracati","19772","domicílios",1
"19.1","Domicílios particulares permanentes","Aracoiaba","7020","domicílios",1
"19.1","Domicílios particulares permanentes","Ararendá","3071","domicílios",1
"19.1","Domicílios particulares permanentes","Araripe","5551","domicílios",1
"19.1","Domicílios particulares permanentes","Aratuba","2904","domicílios",1
"19.1","Domicílios particulares permanentes","Arneiroz","2101","domicílios",1
"19.1","Domicílios particulares permanentes","Assaré","6398","domicílios",1
"19.1","Domicílios particulares permanentes","Aurora","7097","domicílios",1
"19.1","Domicílios particulares permanentes","Baixio","1712","domicílios",1
"19.1","Domicílios particulares permanentes","Banabuiú","4580","domicílios",1
"19.1","Domicílios particulares permanentes","Barbalha","14682","domicílios",1
"19.1","Domicílios particulares permanentes","Barreira","5533","domicílios",1
"19.1","Domicílios particulares permanentes","Barro","6097","domicílios",1
"19.1","Domicílios particulares permanentes","Barroquinha","3682","domicílios",1
"19.1","Domicílios particulares permanentes","Baturité","9161","domicílios",1
"19.1","Domicílios particulares permanentes","Beberibe","14079","domicílios",1
"19.1","Domicílios particulares permanentes","Bela Cruz","8022","domicílios",1
"19.1","Domicílios particulares permanentes","Boa Viagem","15152","domicílios",1
"19.1","Domicílios particulares permanentes","Brejo Santo","12121","domicílios",1
"19.1","Domicílios particulares permanentes","Camocim","15664","domicílios",1
"19.1","Domicílios particulares permanentes","Campos Sales","7612","domicílios",1
"19.1","Domicílios particulares permanentes","Canindé","19950","domicílios",1
"19.1","Domicílios particulares permanentes","Capistrano","4589","domicílios",1
"19.1","Domicílios particulares permanentes","Caridade","5233","domicílios",1
"19.1","Domicílios particulares permanentes","Cariré","5102","domicílios",1
"19.1","Domicílios particulares permanentes","Caririaçu","7069","domicílios",1
"19.1","Domicílios particulares permanentes","Cariús","5528","domicílios",1
"19.1","Domicílios particulares permanentes","Carnaubal","4568","domicílios",1
"19.1","Domicílios particulares permanentes","Cascavel","18793","domicílios",1
"19.1","Domicílios particulares permanentes","Catarina","5020","domicílios",1
"19.1","Domicílios particulares permanentes","Catunda","2747","domicílios",1
"19.1","Domicílios particulares permanentes","Caucaia","89175","domicílios",1
"19.1","Domicílios particulares permanentes","Cedro","7212","domicílios",1
"19.1","Domicílios particulares permanentes","Chaval","3201","domicílios",1
"19.1","Domicílios particulares permanentes","Choró","3273","domicílios",1
"19.1","Domicílios particulares permanentes","Chorozinho","5459","domicílios",1
"19.1","Domicílios particulares permanentes","Coreaú","5932","domicílios",1
"19.1","Domicílios particulares permanentes","Crateús","21710","domicílios",1
"19.1","Domicílios particulares permanentes","Crato","33925","domicílios",1
"19.1","Domicílios particulares permanentes","Croatá","4833","domicílios",1
"19.1","Domicílios particulares permanentes","Cruz","6179","domicílios",1
"19.1","Domicílios particulares permanentes","Deputado Irapuan Pinheiro","2762","domicílios",1
"19.1","Domicílios particulares permanentes","Ererê","1885","domicílios",1
"19.1","Domicílios particulares permanentes","Eusébio","12711","domicílios",1
"19.1","Domicílios particulares permanentes","Farias Brito","5396","domicílios",1
"19.1","Domicílios particulares permanentes","Forquilha","6157","domicílios",1
"19.1","Domicílios particulares permanentes","Fortaleza","710066","domicílios",1
"19.1","Domicílios particulares permanentes","Fortim","4158","domicílios",1
"19.1","Domicílios particulares permanentes","Frecheirinha","3754","domicílios",1
"19.1","Domicílios particulares permanentes","General Sampaio","1549","domicílios",1
"19.1","Domicílios particulares permanentes","Graça","4272","domicílios",1
"19.1","Domicílios particulares permanentes","Granja","13199","domicílios",1
"19.1","Domicílios particulares permanentes","Granjeiro","1171","domicílios",1
"19.1","Domicílios particulares permanentes","Groaíras","3009","domicílios",1
"19.1","Domicílios particulares permanentes","Guaiúba","6398","domicílios",1
"19.1","Domicílios particulares permanentes","Guaraciaba do Norte","10207","domicílios",1
"19.1","Domicílios particulares permanentes","Guaramiranga","1061","domicílios",1
"19.1","Domicílios particulares permanentes","Hidrolândia","5608","domicílios",1
"19.1","Domicílios particulares permanentes","Horizonte","15676","domicílios",1
"19.1","Domicílios particulares permanentes","Ibaretama","3444","domicílios",1
"19.1","Domicílios particulares permanentes","Ibiapina","6454","domicílios",1
"19.1","Domicílios particulares permanentes","Ibicuitinga","3213","domicílios",1
"19.1","Domicílios particulares permanentes","Icapuí","5222","domicílios",1
"19.1","Domicílios particulares permanentes","Icó","18235","domicílios",1
"19.1","Domicílios particulares permanentes","Iguatu","28784","domicílios",1
"19.1","Domicílios particulares permanentes","Independência","7497","domicílios",1
"19.1","Domicílios particulares permanentes","Ipaporanga","3489","domicílios",1
"19.1","Domicílios particulares permanentes","Ipaumirim","3534","domicílios",1
"19.1","Domicílios particulares permanentes","Ipu","11291","domicílios",1
"19.1","Domicílios particulares permanentes","Ipueiras","10946","domicílios",1
"19.1","Domicílios particulares permanentes","Iracema","3984","domicílios",1
"19.1","Domicílios particulares permanentes","Irauçuba","5574","domicílios",1
"19.1","Domicílios particulares permanentes","Itaiçaba","2285","domicílios",1
"19.1","Domicílios particulares permanentes","Itaitinga","9297","domicílios",1
"19.1","Domicílios particulares permanentes","Itapajé","12924","domicílios",1
"19.1","Domicílios particulares permanentes","Itapipoca","29943","domicílios",1
"19.1","Domicílios particulares permanentes","Itapiúna","4931","domicílios",1
"19.1","Domicílios particulares permanentes","Itarema","8880","domicílios",1
"19.1","Domicílios particulares permanentes","Itatira","4787","domicílios",1
"19.1","Domicílios particulares permanentes","Jaguaretama","5162","domicílios",1
"19.1","Domicílios particulares permanentes","Jaguaribara","2814","domicílios",1
"19.1","Domicílios particulares permanentes","Jaguaribe","10138","domicílios",1
"19.1","Domicílios particulares permanentes","Jaguaruana","9617","domicílios",1
"19.1","Domicílios particulares permanentes","Jardim","6828","domicílios",1
"19.1","Domicílios particulares permanentes","Jati","2181","domicílios",1
"19.1","Domicílios particulares permanentes","Jijoca de Jericoacoara","4732","domicílios",1
"19.1","Domicílios particulares permanentes","Juazeiro do Norte","69151","domicílios",1
"19.1","Domicílios particulares permanentes","Jucás","6760","domicílios",1
"19.1","Domicílios particulares permanentes","Lavras da Mangabeira","8640","domicílios",1
"19.1","Domicílios particulares permanentes","Limoeiro do Norte","17143","domicílios",1
"19.1","Domicílios particulares permanentes","Madalena","4791","domicílios",1
"19.1","Domicílios particulares permanentes","Maracanaú","57890","domicílios",1
"19.1","Domicílios particulares permanentes","Maranguape","28984","domicílios",1
"19.1","Domicílios particulares permanentes","Marco","5952","domicílios",1
"19.1","Domicílios particulares permanentes","Martinópole","2706","domicílios",1
"19.1","Domicílios particulares permanentes","Massapê","9247","domicílios",1
"19.1","Domicílios particulares permanentes","Mauriti","11637","domicílios",1
"19.1","Domicílios particulares permanentes","Meruoca","3496","domicílios",1
"19.1","Domicílios particulares permanentes","Milagres","7835","domicílios",1
"19.1","Domicílios particulares permanentes","Milhã","3837","domicílios",1
"19.1","Domicílios particulares permanentes","Miraíma","3237","domicílios",1
"19.1","Domicílios particulares permanentes","Missão Velha","9063","domicílios",1
"19.1","Domicílios particulares permanentes","Mombaça","11965","domicílios",1
"19.1","Domicílios particulares permanentes","Monsenhor Tabosa","4764","domicílios",1
"19.1","Domicílios particulares permanentes","Morada Nova","18225","domicílios",1
"19.1","Domicílios particulares permanentes","Moraújo","2121","domicílios",1
"19.1","Domicílios particulares permanentes","Morrinhos","5336","domicílios",1
"19.1","Domicílios particulares permanentes","Mucambo","4226","domicílios",1
"19.1","Domicílios particulares permanentes","Mulungu","2928","domicílios",1
"19.1","Domicílios particulares permanentes","Nova Olinda","3981","domicílios",1
"19.1","Domicílios particulares permanentes","Nova Russas","9297","domicílios",1
"19.1","Domicílios particulares permanentes","Novo Oriente","8002","domicílios",1
"19.1","Domicílios particulares permanentes","Ocara","6779","domicílios",1
"19.1","Domicílios particulares permanentes","Orós","6551","domicílios",1
"19.1","Domicílios particulares permanentes","Pacajus","17587","domicílios",1
"19.1","Domicílios particulares permanentes","Pacatuba","18713","domicílios",1
"19.1","Domicílios particulares permanentes","Pacoti","3054","domicílios",1
"19.1","Domicílios particulares permanentes","Pacujá","1749","domicílios",1
"19.1","Domicílios particulares permanentes","Palhano","2611","domicílios",1
"19.1","Domicílios particulares permanentes","Palmácia","3082","domicílios",1
"19.1","Domicílios particulares permanentes","Paracuru","8699","domicílios",1
"19.1","Domicílios particulares permanentes","Paraipaba","8184","domicílios",1
"19.1","Domicílios particulares permanentes","Parambu","8974","domicílios",1
"19.1","Domicílios particulares permanentes","Paramoti","3010","domicílios",1
"19.1","Domicílios particulares permanentes","Pedra Branca","11933","domicílios",1
"19.1","Domicílios particulares permanentes","Penaforte","2289","domicílios",1
"19.1","Domicílios particulares permanentes","Pentecoste","9858","domicílios",1
"19.1","Domicílios particulares permanentes","Pereiro","4354","domicílios",1
"19.1","Domicílios particulares permanentes","Pindoretama","5341","domicílios",1
"19.1","Domicílios particulares permanentes","Piquet Carneiro","4437","domicílios",1
"19.1","Domicílios particulares permanentes","Pires Ferreira","2788","domicílios",1
"19.1","Domicílios particulares permanentes","Poranga","3398","domicílios",1
"19.1","Domicílios particulares permanentes","Porteiras","4148","domicílios",1
"19.1","Domicílios particulares permanentes","Potengi","2828","domicílios",1
"19.1","Domicílios particulares permanentes","Potiretama","1705","domicílios",1
"19.1","Domicílios particulares permanentes","Quiterianópolis","5722","domicílios",1
"19.1","Domicílios particulares permanentes","Quixadá","22124","domicílios",1
"19.1","Domicílios particulares permanentes","Quixelô","4652","domicílios",1
"19.1","Domicílios particulares permanentes","Quixeramobim","20476","domicílios",1
"19.1","Domicílios particulares permanentes","Quixeré","5877","domicílios",1
"19.1","Domicílios particulares permanentes","Redenção","7392","domicílios",1
"19.1","Domicílios particulares permanentes","Reriutaba","5581","domicílios",1
"19.1","Domicílios particulares permanentes","Russas","20411","domicílios",1
"19.1","Domicílios particulares permanentes","Saboeiro","4507","domicílios",1
"19.1","Domicílios particulares permanentes","Salitre","3930","domicílios",1
"19.1","Domicílios particulares permanentes","Santana do Acaraú","7522","domicílios",1
"19.1","Domicílios particulares permanentes","Santana do Cariri","4510","domicílios",1
"19.1","Domicílios particulares permanentes","Santa Quitéria","11841","domicílios",1
"19.1","Domicílios particulares permanentes","São Benedito","12101","domicílios",1
"19.1","Domicílios particulares permanentes","São Gonçalo do Amarante","12011","domicílios",1
"19.1","Domicílios particulares permanentes","São João do Jaguaribe","2578","domicílios",1
"19.1","Domicílios particulares permanentes","São Luís do Curu","3578","domicílios",1
"19.1","Domicílios particulares permanentes","Senador Pompeu","7953","domicílios",1
"19.1","Domicílios particulares permanentes","Senador Sá","1824","domicílios",1
"19.1","Domicílios particulares permanentes","Sobral","50520","domicílios",1
"19.1","Domicílios particulares permanentes","Solonópole","5292","domicílios",1
"19.1","Domicílios particulares permanentes","Tabuleiro do Norte","9121","domicílios",1
"19.1","Domicílios particulares permanentes","Tamboril","6919","domicílios",1
"19.1","Domicílios particulares permanentes","Tarrafas","2488","domicílios",1
"19.1","Domicílios particulares permanentes","Tauá","16256","domicílios",1
"19.1","Domicílios particulares permanentes","Tejuçuoca","4289","domicílios",1
"19.1","Domicílios particulares permanentes","Tianguá","18220","domicílios",1
"19.1","Domicílios particulares permanentes","Trairi","13366","domicílios",1
"19.1","Domicílios particulares permanentes","Tururu","3819","domicílios",1
"19.1","Domicílios particulares permanentes","Ubajara","8736","domicílios",1
"19.1","Domicílios particulares permanentes","Umari","2155","domicílios",1
"19.1","Domicílios particulares permanentes","Umirim","4769","domicílios",1
"19.1","Domicílios particulares permanentes","Uruburetama","5222","domicílios",1
"19.1","Domicílios particulares permanentes","Uruoca","3547","domicílios",1
"19.1","Domicílios particulares permanentes","Varjota","4877","domicílios",1
"19.1","Domicílios particulares permanentes","Várzea Alegre","11541","domicílios",1
"19.1","Domicílios particulares permanentes","Viçosa do Ceará","13562","domicílios",1
"19.1.1","Situação domiciliar",,,"",""
"19.1.1.1","Urbana","Abaiara","1246","domicílios",1
"19.1.1.1","Urbana","Acarape","2180","domicílios",1
"19.1.1.1","Urbana","Acaraú","7391","domicílios",1
"19.1.1.1","Urbana","Acopiara","7870","domicílios",1
"19.1.1.1","Urbana","Aiuaba","1248","domicílios",1
"19.1.1.1","Urbana","Alcântaras","974","domicílios",1
"19.1.1.1","Urbana","Altaneira","1565","domicílios",1
"19.1.1.1","Urbana","Alto Santo","2338","domicílios",1
"19.1.1.1","Urbana","Amontada","4244","domicílios",1
"19.1.1.1","Urbana","Antonina do Norte","1497","domicílios",1
"19.1.1.1","Urbana","Apuiarés","1652","domicílios",1
"19.1.1.1","Urbana","Aquiraz","18489","domicílios",1
"19.1.1.1","Urbana","Aracati","12826","domicílios",1
"19.1.1.1","Urbana","Aracoiaba","3899","domicílios",1
"19.1.1.1","Urbana","Ararendá","1495","domicílios",1
"19.1.1.1","Urbana","Araripe","3571","domicílios",1
"19.1.1.1","Urbana","Aratuba","999","domicílios",1
"19.1.1.1","Urbana","Arneiroz","1137","domicílios",1
"19.1.1.1","Urbana","Assaré","3601","domicílios",1
"19.1.1.1","Urbana","Aurora","3534","domicílios",1
"19.1.1.1","Urbana","Baixio","956","domicílios",1
"19.1.1.1","Urbana","Banabuiú","2423","domicílios",1
"19.1.1.1","Urbana","Barbalha","10285","domicílios",1
"19.1.1.1","Urbana","Barreira","2356","domicílios",1
"19.1.1.1","Urbana","Barro","3825","domicílios",1
"19.1.1.1","Urbana","Barroquinha","2584","domicílios",1
"19.1.1.1","Urbana","Baturité","6852","domicílios",1
"19.1.1.1","Urbana","Beberibe","6291","domicílios",1
"19.1.1.1","Urbana","Bela Cruz","3605","domicílios",1
"19.1.1.1","Urbana","Boa Viagem","8106","domicílios",1
"19.1.1.1","Urbana","Brejo Santo","7885","domicílios",1
"19.1.1.1","Urbana","Camocim","11860","domicílios",1
"19.1.1.1","Urbana","Campos Sales","5677","domicílios",1
"19.1.1.1","Urbana","Canindé","13055","domicílios",1
"19.1.1.1","Urbana","Capistrano","1747","domicílios",1
"19.1.1.1","Urbana","Caridade","3056","domicílios",1
"19.1.1.1","Urbana","Cariré","2387","domicílios",1
