"Posição","Nome","Localidade","2010","Unidade","Multiplicador"
"9","Amostra - Migração",,,"",""
"9.1","Pessoas de 5 anos ou mais de idade que não residiam no município em 31/07/2005","Abaiara","500","pessoas",1
"9.1","Pessoas de 5 anos ou mais de idade que não residiam no município em 31/07/2005","Acarape","746","pessoas",1
"9.1","Pessoas de 5 anos ou mais de idade que não residiam no município em 31/07/2005","Acaraú","2852","pessoas",1
"9.1","Pessoas de 5 anos ou mais de idade que não residiam no município em 31/07/2005","Acopiara","2516","pessoas",1
"9.1","Pessoas de 5 anos ou mais de idade que não residiam no município em 31/07/2005","Aiuaba","1036","pessoas",1
"9.1","Pessoas de 5 anos ou mais de idade que não residiam no município em 31/07/2005","Alcântaras","361","pessoas",1
"9.1","Pessoas de 5 anos ou mais de idade que não residiam no município em 31/07/2005","Altaneira","741","pessoas",1
"9.1","Pessoas de 5 anos ou mais de idade que não residiam no município em 31/07/2005","Alto Santo","817","pessoas",1
"9.1","Pessoas de 5 anos ou mais de idade que não residiam no município em 31/07/2005","Amontada","1609","pessoas",1
"9.1","Pessoas de 5 anos ou mais de idade que não residiam no município em 31/07/2005","Antonina do Norte","464","pessoas",1
"9.1","Pessoas de 5 anos ou mais de idade que não residiam no município em 31/07/2005","Apuiarés","955","pessoas",1
"9.1","Pessoas de 5 anos ou mais de idade que não residiam no município em 31/07/2005","Aquiraz","7381","pessoas",1
"9.1","Pessoas de 5 anos ou mais de idade que não residiam no município em 31/07/2005","Aracati","2567","pessoas",1
"9.1","Pessoas de 5 anos ou mais de idade que não residiam no município em 31/07/2005","Aracoiaba","1125","pessoas",1
"9.1","Pessoas de 5 anos ou mais de idade que não residiam no município em 31/07/2005","Ararendá","623","pessoas",1
"9.1","Pessoas de 5 anos ou mais de idade que não residiam no município em 31/07/2005","Araripe","924","pessoas",1
"9.1","Pessoas de 5 anos ou mais de idade que não residiam no município em 31/07/2005","Aratuba","429","pessoas",1
"9.1","Pessoas de 5 anos ou mais de idade que não residiam no município em 31/07/2005","Arneiroz","527","pessoas",1
"9.1","Pessoas de 5 anos ou mais de idade que não residiam no município em 31/07/2005","Assaré","1112","pessoas",1
"9.1","Pessoas de 5 anos ou mais de idade que não residiam no município em 31/07/2005","Aurora","710","pessoas",1
"9.1","Pessoas de 5 anos ou mais de idade que não residiam no município em 31/07/2005","Baixio","320","pessoas",1
"9.1","Pessoas de 5 anos ou mais de idade que não residiam no município em 31/07/2005","Banabuiú","848","pessoas",1
"9.1","Pessoas de 5 anos ou mais de idade que não residiam no município em 31/07/2005","Barbalha","4226","pessoas",1
"9.1","Pessoas de 5 anos ou mais de idade que não residiam no município em 31/07/2005","Barreira","888","pessoas",1
"9.1","Pessoas de 5 anos ou mais de idade que não residiam no município em 31/07/2005","Barro","1156","pessoas",1
"9.1","Pessoas de 5 anos ou mais de idade que não residiam no município em 31/07/2005","Barroquinha","657","pessoas",1
"9.1","Pessoas de 5 anos ou mais de idade que não residiam no município em 31/07/2005","Baturité","1505","pessoas",1
"9.1","Pessoas de 5 anos ou mais de idade que não residiam no município em 31/07/2005","Beberibe","3170","pessoas",1
"9.1","Pessoas de 5 anos ou mais de idade que não residiam no município em 31/07/2005","Bela Cruz","1417","pessoas",1
"9.1","Pessoas de 5 anos ou mais de idade que não residiam no município em 31/07/2005","Boa Viagem","2034","pessoas",1
"9.1","Pessoas de 5 anos ou mais de idade que não residiam no município em 31/07/2005","Brejo Santo","2529","pessoas",1
"9.1","Pessoas de 5 anos ou mais de idade que não residiam no município em 31/07/2005","Camocim","2366","pessoas",1
"9.1","Pessoas de 5 anos ou mais de idade que não residiam no município em 31/07/2005","Campos Sales","1500","pessoas",1
"9.1","Pessoas de 5 anos ou mais de idade que não residiam no município em 31/07/2005","Canindé","3112","pessoas",1
"9.1","Pessoas de 5 anos ou mais de idade que não residiam no município em 31/07/2005","Capistrano","797","pessoas",1
"9.1","Pessoas de 5 anos ou mais de idade que não residiam no município em 31/07/2005","Caridade","1020","pessoas",1
"9.1","Pessoas de 5 anos ou mais de idade que não residiam no município em 31/07/2005","Cariré","799","pessoas",1
"9.1","Pessoas de 5 anos ou mais de idade que não residiam no município em 31/07/2005","Caririaçu","1764","pessoas",1
"9.1","Pessoas de 5 anos ou mais de idade que não residiam no município em 31/07/2005","Cariús","640","pessoas",1
"9.1","Pessoas de 5 anos ou mais de idade que não residiam no município em 31/07/2005","Carnaubal","768","pessoas",1
"9.1","Pessoas de 5 anos ou mais de idade que não residiam no município em 31/07/2005","Cascavel","4150","pessoas",1
"9.1","Pessoas de 5 anos ou mais de idade que não residiam no município em 31/07/2005","Catarina","795","pessoas",1
"9.1","Pessoas de 5 anos ou mais de idade que não residiam no município em 31/07/2005","Catunda","714","pessoas",1
"9.1","Pessoas de 5 anos ou mais de idade que não residiam no município em 31/07/2005","Caucaia","27762","pessoas",1
"9.1","Pessoas de 5 anos ou mais de idade que não residiam no município em 31/07/2005","Cedro","1091","pessoas",1
"9.1","Pessoas de 5 anos ou mais de idade que não residiam no município em 31/07/2005","Chaval","410","pessoas",1
"9.1","Pessoas de 5 anos ou mais de idade que não residiam no município em 31/07/2005","Choró","573","pessoas",1
"9.1","Pessoas de 5 anos ou mais de idade que não residiam no município em 31/07/2005","Chorozinho","1443","pessoas",1
"9.1","Pessoas de 5 anos ou mais de idade que não residiam no município em 31/07/2005","Coreaú","702","pessoas",1
"9.1","Pessoas de 5 anos ou mais de idade que não residiam no município em 31/07/2005","Crateús","2536","pessoas",1
"9.1","Pessoas de 5 anos ou mais de idade que não residiam no município em 31/07/2005","Crato","8306","pessoas",1
"9.1","Pessoas de 5 anos ou mais de idade que não residiam no município em 31/07/2005","Croatá","828","pessoas",1
"9.1","Pessoas de 5 anos ou mais de idade que não residiam no município em 31/07/2005","Cruz","1715","pessoas",1
"9.1","Pessoas de 5 anos ou mais de idade que não residiam no município em 31/07/2005","Deputado Irapuan Pinheiro","491","pessoas",1
"9.1","Pessoas de 5 anos ou mais de idade que não residiam no município em 31/07/2005","Ererê","235","pessoas",1
"9.1","Pessoas de 5 anos ou mais de idade que não residiam no município em 31/07/2005","Eusébio","6873","pessoas",1
"9.1","Pessoas de 5 anos ou mais de idade que não residiam no município em 31/07/2005","Farias Brito","671","pessoas",1
"9.1","Pessoas de 5 anos ou mais de idade que não residiam no município em 31/07/2005","Forquilha","1246","pessoas",1
"9.1","Pessoas de 5 anos ou mais de idade que não residiam no município em 31/07/2005","Fortaleza","103146","pessoas",1
"9.1","Pessoas de 5 anos ou mais de idade que não residiam no município em 31/07/2005","Fortim","950","pessoas",1
"9.1","Pessoas de 5 anos ou mais de idade que não residiam no município em 31/07/2005","Frecheirinha","1002","pessoas",1
"9.1","Pessoas de 5 anos ou mais de idade que não residiam no município em 31/07/2005","General Sampaio","337","pessoas",1
"9.1","Pessoas de 5 anos ou mais de idade que não residiam no município em 31/07/2005","Graça","522","pessoas",1
"9.1","Pessoas de 5 anos ou mais de idade que não residiam no município em 31/07/2005","Granja","987","pessoas",1
"9.1","Pessoas de 5 anos ou mais de idade que não residiam no município em 31/07/2005","Granjeiro","329","pessoas",1
"9.1","Pessoas de 5 anos ou mais de idade que não residiam no município em 31/07/2005","Groaíras","712","pessoas",1
"9.1","Pessoas de 5 anos ou mais de idade que não residiam no município em 31/07/2005","Guaiúba","1106","pessoas",1
