"Posição","Nome","Localidade","2010","Unidade","Multiplicador"
"14","Amostra - Trabalho",,,"",""
"14.1","Pessoas de 10 anos ou mais de idade",,,"",""
"14.1.1","Condição de atividade na semana de referência",,,"",""
"14.1.1.1","Economicamente ativa",,,"",""
"14.1.1.1.1","Cor ou raça",,,"",""
"14.1.1.1.1.1","Amarela","Abaiara","50","pessoas",1
"14.1.1.1.1.1","Amarela","Acarape","4","pessoas",1
"14.1.1.1.1.1","Amarela","Acaraú","100","pessoas",1
"14.1.1.1.1.1","Amarela","Acopiara","114","pessoas",1
"14.1.1.1.1.1","Amarela","Aiuaba","208","pessoas",1
"14.1.1.1.1.1","Amarela","Alcântaras","64","pessoas",1
"14.1.1.1.1.1","Amarela","Altaneira","25","pessoas",1
"14.1.1.1.1.1","Amarela","Alto Santo","207","pessoas",1
"14.1.1.1.1.1","Amarela","Amontada","167","pessoas",1
"14.1.1.1.1.1","Amarela","Antonina do Norte","45","pessoas",1
"14.1.1.1.1.1","Amarela","Apuiarés","157","pessoas",1
"14.1.1.1.1.1","Amarela","Aquiraz","517","pessoas",1
"14.1.1.1.1.1","Amarela","Aracati","245","pessoas",1
"14.1.1.1.1.1","Amarela","Aracoiaba","244","pessoas",1
"14.1.1.1.1.1","Amarela","Ararendá","63","pessoas",1
"14.1.1.1.1.1","Amarela","Araripe","134","pessoas",1
"14.1.1.1.1.1","Amarela","Aratuba","120","pessoas",1
"14.1.1.1.1.1","Amarela","Arneiroz","12","pessoas",1
"14.1.1.1.1.1","Amarela","Assaré","50","pessoas",1
"14.1.1.1.1.1","Amarela","Aurora","77","pessoas",1
"14.1.1.1.1.1","Amarela","Baixio","27","pessoas",1
"14.1.1.1.1.1","Amarela","Banabuiú","73","pessoas",1
"14.1.1.1.1.1","Amarela","Barbalha","454","pessoas",1
"14.1.1.1.1.1","Amarela","Barreira","9","pessoas",1
"14.1.1.1.1.1","Amarela","Barro","84","pessoas",1
"14.1.1.1.1.1","Amarela","Barroquinha","40","pessoas",1
"14.1.1.1.1.1","Amarela","Baturité","56","pessoas",1
"14.1.1.1.1.1","Amarela","Beberibe","198","pessoas",1
"14.1.1.1.1.1","Amarela","Bela Cruz","70","pessoas",1
"14.1.1.1.1.1","Amarela","Boa Viagem","132","pessoas",1
