"Posição","Nome","Localidade","2005","2006","2008","2009","2013","2014","2015","2016","2017","Unidade","Multiplicador"
"1","Despesas orçamentárias",,,,,,,,,,,"",""
"1.1","empenhadas","Abaiara",,,,"12655","20359","22713","26218.47927","29919.01976","26828","R$",1000
"1.1","empenhadas","Acarape",,,,"15447","24460","25422","29676.93681","36460.40983","36800","R$",1000
"1.1","empenhadas","Acaraú",,,,"54551","86867","111506","99052.33664","117265.07044","116963","R$",1000
"1.1","empenhadas","Acopiara",,,,"46469","70523","82785","82471.51556","92731.04667","125356","R$",1000
"1.1","empenhadas","Aiuaba",,,,"16826","27996","27996","33721.20974","31767.46884","33777","R$",1000
"1.1","empenhadas","Alcântaras",,,,"12762","20660","25455","25169.79465","22812.04148","28991","R$",1000
"1.1","empenhadas","Altaneira",,,,"10493","15647","17119","21316.32708","20881.06225","24035","R$",1000
"1.1","empenhadas","Alto Santo",,,,"23835","22438","31644","33628.19771","37492.54649","35934","R$",1000
"1.1","empenhadas","Amontada",,,,"49398","72059","79663","79660.70306","90264.43981","100940","R$",1000
"1.1","empenhadas","Antonina do Norte",,,,"10395","15449","19262","18400.85787","18578.34743","19509","R$",1000
"1.1","empenhadas","Apuiarés",,,,"16636","21967","28021","28432.1099","33827.21824","36822","R$",1000
"1.1","empenhadas","Aquiraz",,,,"80078","135138","168377","182080.13288","223174.66884","197501","R$",1000
"1.1","empenhadas","Aracati",,,,"81754","109714","135738","157908.79329","164049.44804","185621","R$",1000
"1.1","empenhadas","Aracoiaba",,,,"29430","47001","57029","67671.76562","69843.39887","70354","R$",1000
"1.1","empenhadas","Ararendá",,,,"15699","21279","23054","22841.68497","26476.53842","28244","R$",1000
"1.1","empenhadas","Araripe",,,,"24590","44338","48221","45212.02867","52575.22338","59672","R$",1000
"1.1","empenhadas","Aratuba",,,,"16413","21678","24406","26321.99279","27330.97535","31634","R$",1000
"1.1","empenhadas","Arneiroz",,,,"10347","16970","17604","18677.76946","19250.25423","20466","R$",1000
"1.1","empenhadas","Assaré",,,,"25031","36933","41670","42195.47326","38914.03838","42903","R$",1000
"1.1","empenhadas","Aurora",,,,"28199","37588","40316","43697.12954","48589.25061","46765","R$",1000
"1.1","empenhadas","Baixio",,,,"8515","14202","16430","16603.64714","18712.83034","21367","R$",1000
"1.1","empenhadas","Banabuiú",,,,"22054","33087","35426","40568.30978","43547.34665","42193","R$",1000
"1.1","empenhadas","Barbalha",,,,"83498","131934","152545","168063.59495","173087.03072","227252","R$",1000
"1.1","empenhadas","Barreira",,,,"19382","33978","36534","38672.63744","44678.15197","44585","R$",1000
"1.1","empenhadas","Barro",,,,"22103","33889","37251","36258.96686","37238.93855","39320","R$",1000
"1.1","empenhadas","Barroquinha",,,,"15892","28308","30707","32488.88916","34288.48128","35936","R$",1000
"1.1","empenhadas","Baturité",,,,"30630","54556","99999999999997","59529.34869","61476.55416","67629","R$",1000
"1.1","empenhadas","Beberibe",,,,"50198","79394","89885","101104.42724","109848.91198","114374","R$",1000
"1.1","empenhadas","Bela Cruz",,,,"30308","46566","51049","53719.57051","56528.33248","54814","R$",1000
"1.1","empenhadas","Boa Viagem",,,,"52333","82911","86753","92363.57652","98457.53098","98300","R$",1000
"1.1","empenhadas","Brejo Santo",,,,"55767","99881","144557","132515.48015","143365.84875","147723","R$",1000
"1.1","empenhadas","Camocim",,,,"52940","85091","102445","109994.22526","130362.69218","163721","R$",1000
