"Posição","Nome","Localidade","2007","2008","2009","2010","2011","2012","Unidade","Multiplicador"
"1","Notificações","Abaiara","245","13","7","107","8","120","",""
"1","Notificações","Acarape","11","43","1","12","206","87","",""
"1","Notificações","Acaraú","30","23","17","2","16","6","",""
"1","Notificações","Acopiara","281","4","8","422","128","37","",""
"1","Notificações","Aiuaba","6","15","6","195","47","16","",""
"1","Notificações","Alcântaras","56","1","-","1","2","7","",""
"1","Notificações","Altaneira","16","25","62","8","15","3","",""
"1","Notificações","Alto Santo","1","1","9","-","2","5","",""
"1","Notificações","Antonina do Norte","8","2","-","45","5","7","",""
"1","Notificações","Apuiarés","10","94","5","9","38","105","",""
"1","Notificações","Aquiraz","20","156","7","14","45","148","",""
"1","Notificações","Aracati","38","58","32","18","196","276","",""
"1","Notificações","Aracoiaba","36","98","3","14","233","48","",""
"1","Notificações","Ararendá","42","20","-","-","209","15","",""
"1","Notificações","Araripe","59","16","7","74","4","46","",""
"1","Notificações","Aratuba","11","14","20","3","28","10","",""
"1","Notificações","Arneiroz","97","121","12","58","6","15","",""
"1","Notificações","Assaré","27","95","2","80","48","84","",""
"1","Notificações","Aurora","86","52","-","5","7","11","",""
"1","Notificações","Banabuiú","22","37","16","16","46","28","",""
"1","Notificações","Barbalha","577","24","12","318","76","351","",""
"1","Notificações","Barreira","47","71","3","11","156","26","",""
"1","Notificações","Barro","100","78","13","118","329","152","",""
"1","Notificações","Barroquinha","165","9","35","3","29","22","",""
"1","Notificações","Baturité","34","56","7","10","297","57","",""
"1","Notificações","Beberibe","21","76","45","14","72","153","",""
"1","Notificações","Bela Cruz","7","16","5","1","11","10","",""
"1","Notificações","Boa Viagem","16","461","34","72","360","125","",""
"1","Notificações","Brejo Santo","2347","14","27","399","139","103","",""
"1","Notificações","Camocim","419","35","11","9","43","34","",""
"1","Notificações","Campos Sales","18","9","328","464","7","107","",""
"1","Notificações","Canindé","203","519","334","17","707","434","",""
"1","Notificações","Capistrano","15","48","-","40","44","31","",""
"1","Notificações","Caridade","60","98","42","6","32","104","",""
"1","Notificações","Caririaçu","38","41","4","90","16","26","",""
"1","Notificações","Cariús","10","8","-","2","31","2","",""
"1","Notificações","Carnaubal","2","-","-","-","-","1","",""
"1","Notificações","Cascavel","63","249","2","143","61","168","",""
