"Posição","Nome","Localidade","2005","2009","Unidade","Multiplicador"
"1","Estabelecimentos de Saúde","Abaiara","3","6","estabelecimentos",1
"1","Estabelecimentos de Saúde","Acarape","10","14","estabelecimentos",1
"1","Estabelecimentos de Saúde","Acaraú","17","26","estabelecimentos",1
"1","Estabelecimentos de Saúde","Acopiara","13","22","estabelecimentos",1
"1","Estabelecimentos de Saúde","Aiuaba","7","7","estabelecimentos",1
"1","Estabelecimentos de Saúde","Alcântaras","5","7","estabelecimentos",1
"1","Estabelecimentos de Saúde","Altaneira","4","10","estabelecimentos",1
"1","Estabelecimentos de Saúde","Alto Santo","5","13","estabelecimentos",1
"1","Estabelecimentos de Saúde","Amontada","11","13","estabelecimentos",1
"1","Estabelecimentos de Saúde","Antonina do Norte","4","4","estabelecimentos",1
"1","Estabelecimentos de Saúde","Apuiarés","7","17","estabelecimentos",1
"1","Estabelecimentos de Saúde","Aquiraz","38","48","estabelecimentos",1
"1","Estabelecimentos de Saúde","Aracati","38","78","estabelecimentos",1
"1","Estabelecimentos de Saúde","Aracoiaba","17","18","estabelecimentos",1
"1","Estabelecimentos de Saúde","Ararendá","4","5","estabelecimentos",1
"1","Estabelecimentos de Saúde","Araripe","13","14","estabelecimentos",1
"1","Estabelecimentos de Saúde","Aratuba","11","12","estabelecimentos",1
"1","Estabelecimentos de Saúde","Arneiroz","5","5","estabelecimentos",1
"1","Estabelecimentos de Saúde","Assaré","10","12","estabelecimentos",1
"1","Estabelecimentos de Saúde","Aurora","13","19","estabelecimentos",1
"1","Estabelecimentos de Saúde","Baixio","2","2","estabelecimentos",1
"1","Estabelecimentos de Saúde","Banabuiú","9","13","estabelecimentos",1
"1","Estabelecimentos de Saúde","Barbalha","39","56","estabelecimentos",1
"1","Estabelecimentos de Saúde","Barreira","14","18","estabelecimentos",1
"1","Estabelecimentos de Saúde","Barro","12","15","estabelecimentos",1
"1","Estabelecimentos de Saúde","Barroquinha","4","6","estabelecimentos",1
"1","Estabelecimentos de Saúde","Baturité","18","22","estabelecimentos",1
"1","Estabelecimentos de Saúde","Beberibe","30","63","estabelecimentos",1
"1","Estabelecimentos de Saúde","Bela Cruz","10","16","estabelecimentos",1
"1","Estabelecimentos de Saúde","Boa Viagem","27","31","estabelecimentos",1
"1","Estabelecimentos de Saúde","Brejo Santo","33","41","estabelecimentos",1
"1","Estabelecimentos de Saúde","Camocim","22","29","estabelecimentos",1
"1","Estabelecimentos de Saúde","Campos Sales","21","21","estabelecimentos",1
"1","Estabelecimentos de Saúde","Canindé","40","47","estabelecimentos",1
"1","Estabelecimentos de Saúde","Capistrano","12","13","estabelecimentos",1
"1","Estabelecimentos de Saúde","Caridade","7","13","estabelecimentos",1
"1","Estabelecimentos de Saúde","Cariré","9","14","estabelecimentos",1
"1","Estabelecimentos de Saúde","Caririaçu","19","43","estabelecimentos",1
"1","Estabelecimentos de Saúde","Cariús","13","13","estabelecimentos",1
"1","Estabelecimentos de Saúde","Carnaubal","13","15","estabelecimentos",1
"1","Estabelecimentos de Saúde","Cascavel","37","47","estabelecimentos",1
"1","Estabelecimentos de Saúde","Catarina","7","10","estabelecimentos",1
"1","Estabelecimentos de Saúde","Catunda","5","7","estabelecimentos",1
"1","Estabelecimentos de Saúde","Caucaia","57","57","estabelecimentos",1
"1","Estabelecimentos de Saúde","Cedro","22","28","estabelecimentos",1
"1","Estabelecimentos de Saúde","Chaval","4","6","estabelecimentos",1
"1","Estabelecimentos de Saúde","Choró","7","8","estabelecimentos",1
"1","Estabelecimentos de Saúde","Chorozinho","11","13","estabelecimentos",1
"1","Estabelecimentos de Saúde","Coreaú","6","12","estabelecimentos",1
"1","Estabelecimentos de Saúde","Crateús","40","51","estabelecimentos",1
"1","Estabelecimentos de Saúde","Crato","77","69","estabelecimentos",1
"1","Estabelecimentos de Saúde","Croatá","7","9","estabelecimentos",1
"1","Estabelecimentos de Saúde","Cruz","7","12","estabelecimentos",1
"1","Estabelecimentos de Saúde","Deputado Irapuan Pinheiro","4","8","estabelecimentos",1
"1","Estabelecimentos de Saúde","Ererê","6","7","estabelecimentos",1
"1","Estabelecimentos de Saúde","Eusébio","20","26","estabelecimentos",1
"1","Estabelecimentos de Saúde","Farias Brito","10","15","estabelecimentos",1
"1","Estabelecimentos de Saúde","Forquilha","7","12","estabelecimentos",1
"1","Estabelecimentos de Saúde","Fortaleza","543","531","estabelecimentos",1
"1","Estabelecimentos de Saúde","Fortim","9","11","estabelecimentos",1
"1","Estabelecimentos de Saúde","Frecheirinha","5","7","estabelecimentos",1
"1","Estabelecimentos de Saúde","General Sampaio","4","9","estabelecimentos",1
"1","Estabelecimentos de Saúde","Graça","10","9","estabelecimentos",1
"1","Estabelecimentos de Saúde","Granja","13","15","estabelecimentos",1
"1","Estabelecimentos de Saúde","Granjeiro","4","7","estabelecimentos",1
"1","Estabelecimentos de Saúde","Groaíras","11","5","estabelecimentos",1
"1","Estabelecimentos de Saúde","Guaiúba","15","11","estabelecimentos",1
"1","Estabelecimentos de Saúde","Guaraciaba do Norte","19","22","estabelecimentos",1
"1","Estabelecimentos de Saúde","Guaramiranga","4","8","estabelecimentos",1
"1","Estabelecimentos de Saúde","Hidrolândia","6","9","estabelecimentos",1
"1","Estabelecimentos de Saúde","Horizonte","13","21","estabelecimentos",1
"1","Estabelecimentos de Saúde","Ibaretama","6","8","estabelecimentos",1
"1","Estabelecimentos de Saúde","Ibiapina","12","15","estabelecimentos",1
"1","Estabelecimentos de Saúde","Ibicuitinga","5","10","estabelecimentos",1
"1","Estabelecimentos de Saúde","Icapuí","11","11","estabelecimentos",1
"1","Estabelecimentos de Saúde","Icó","31","33","estabelecimentos",1
"1","Estabelecimentos de Saúde","Iguatu","62","63","estabelecimentos",1
"1","Estabelecimentos de Saúde","Independência","20","22","estabelecimentos",1
"1","Estabelecimentos de Saúde","Ipaporanga","6","8","estabelecimentos",1
"1","Estabelecimentos de Saúde","Ipaumirim","6","8","estabelecimentos",1
"1","Estabelecimentos de Saúde","Ipu","17","23","estabelecimentos",1
"1","Estabelecimentos de Saúde","Ipueiras","14","16","estabelecimentos",1
"1","Estabelecimentos de Saúde","Iracema","8","11","estabelecimentos",1
"1","Estabelecimentos de Saúde","Irauçuba","5","11","estabelecimentos",1
"1","Estabelecimentos de Saúde","Itaiçaba","11","13","estabelecimentos",1
"1","Estabelecimentos de Saúde","Itaitinga","20","20","estabelecimentos",1
"1","Estabelecimentos de Saúde","Itapajé","22","38","estabelecimentos",1
"1","Estabelecimentos de Saúde","Itapipoca","36","47","estabelecimentos",1
"1","Estabelecimentos de Saúde","Itapiúna","10","10","estabelecimentos",1
"1","Estabelecimentos de Saúde","Itarema","10","14","estabelecimentos",1
"1","Estabelecimentos de Saúde","Itatira","10","11","estabelecimentos",1
"1","Estabelecimentos de Saúde","Jaguaretama","7","6","estabelecimentos",1
"1","Estabelecimentos de Saúde","Jaguaribara","5","5","estabelecimentos",1
"1","Estabelecimentos de Saúde","Jaguaribe","11","16","estabelecimentos",1
"1","Estabelecimentos de Saúde","Jaguaruana","15","36","estabelecimentos",1
"1","Estabelecimentos de Saúde","Jardim","14","19","estabelecimentos",1
"1","Estabelecimentos de Saúde","Jati","9","11","estabelecimentos",1
"1","Estabelecimentos de Saúde","Jijoca de Jericoacoara","8","10","estabelecimentos",1
"1","Estabelecimentos de Saúde","Juazeiro do Norte","77","132","estabelecimentos",1
"1","Estabelecimentos de Saúde","Jucás","8","9","estabelecimentos",1
"1","Estabelecimentos de Saúde","Lavras da Mangabeira","11","14","estabelecimentos",1
"1","Estabelecimentos de Saúde","Limoeiro do Norte","38","57","estabelecimentos",1
"1","Estabelecimentos de Saúde","Madalena","13","16","estabelecimentos",1
"1","Estabelecimentos de Saúde","Maracanaú","33","45","estabelecimentos",1
"1","Estabelecimentos de Saúde","Maranguape","33","44","estabelecimentos",1
"1","Estabelecimentos de Saúde","Marco","8","12","estabelecimentos",1
"1","Estabelecimentos de Saúde","Martinópole","4","6","estabelecimentos",1
"1","Estabelecimentos de Saúde","Massapê","5","15","estabelecimentos",1
"1","Estabelecimentos de Saúde","Mauriti","17","22","estabelecimentos",1
"1","Estabelecimentos de Saúde","Meruoca","6","7","estabelecimentos",1
"1","Estabelecimentos de Saúde","Milagres","12","34","estabelecimentos",1
"1","Estabelecimentos de Saúde","Milhã","7","8","estabelecimentos",1
"1","Estabelecimentos de Saúde","Miraíma","6","8","estabelecimentos",1
"1","Estabelecimentos de Saúde","Missão Velha","14","26","estabelecimentos",1
"1","Estabelecimentos de Saúde","Mombaça","12","16","estabelecimentos",1
