Municipios,Ano,Mes,Total,Media,Dia1,Dia2,Dia3,Dia4,Dia5,Dia6,Dia7,Dia8,Dia9,Dia10,Dia11,Dia12,Dia13,Dia14,Dia15,Dia16,Dia17,Dia18,Dia19,Dia20,Dia21,Dia22,Dia23,Dia24,Dia25,Dia26,Dia27,Dia28,Dia29,Dia30,Dia31
Aracati,1974,1,406.5,13.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.2,0.0,13.3,21.5,47.0,41.6,44.0,0.0,19.3,47.8,0.0,0.0,0.0,20.8,6.8,38.2,60.5,9.5,24.6,3.4
Aracati,1974,2,194.7,6.95,54.0,0.0,0.0,0.0,10.4,1.8,0.0,13.4,0.0,0.0,11.8,0.0,21.6,0.0,0.0,0.0,0.0,13.9,18.0,0.0,0.0,12.8,0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0
Aracati,1974,3,225.0,7.26,0.0,5.4,0.0,0.0,0.0,3.0,4.2,23.2,37.0,0.0,25.6,8.0,4.4,15.4,36.8,0.0,0.0,14.6,0.0,18.0,23.6,0.6,4.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0
Aracati,1974,4,227.4,7.58,0.8,0.0,8.4,12.0,0.0,0.0,0.0,58.8,59.0,8.0,10.0,0.0,17.2,0.0,42.4,10.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aracati,1974,5,253.7,8.18,0.0,0.0,0.0,0.0,25.1,0.0,0.0,30.2,0.0,26.2,0.0,0.0,0.0,0.0,35.3,0.0,0.0,31.5,0.0,0.0,0.0,0.0,75.3,0.0,17.6,0.0,0.0,0.0,0.0,0.0,12.5
Aracati,1974,6,53.0,1.77,9.4,23.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aracati,1974,7,38.8,1.25,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,19.4,8.4,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aracati,1974,8,15.2,0.49,0.0,15.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aracati,1974,9,33.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aracati,1974,10,12.0,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
