Municipios,Ano,Mes,Total,Media,Dia1,Dia2,Dia3,Dia4,Dia5,Dia6,Dia7,Dia8,Dia9,Dia10,Dia11,Dia12,Dia13,Dia14,Dia15,Dia16,Dia17,Dia18,Dia19,Dia20,Dia21,Dia22,Dia23,Dia24,Dia25,Dia26,Dia27,Dia28,Dia29,Dia30,Dia31
Assaré,1974,1,185.8,5.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.6,0.0,0.0,1.2,35.8,0.2,33.8,2.0,3.0,0.0,23.0,0.0,35.6,0.0,0.0,17.7,6.3,0.0,9.4,5.2
Assaré,1974,2,251.6,8.99,14.0,7.0,10.8,0.0,3.2,0.0,13.0,23.2,7.2,0.0,0.0,34.5,1.1,15.6,14.3,0.4,22.4,8.8,10.3,2.6,0.0,26.0,1.0,15.6,8.0,3.0,5.8,3.8,0.0,0.0,0.0
Assaré,1974,3,257.2,8.3,0.0,0.0,3.5,0.0,13.0,25.6,1.0,1.2,35.2,0.0,4.0,4.4,0.0,0.0,0.0,10.0,0.0,0.0,17.4,0.0,25.6,7.8,0.0,13.2,30.8,6.6,1.1,0.0,43.2,13.6,0.0
Assaré,1974,4,410.3,13.68,2.2,8.2,2.6,15.6,0.0,14.5,0.0,3.1,0.0,1.2,14.2,11.3,26.4,0.0,22.6,68.0,0.0,58.0,42.0,30.8,34.2,15.4,20.7,4.7,0.0,0.2,0.0,1.6,8.8,4.0,0.0
Assaré,1974,5,41.3,1.33,0.0,8.9,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.1,0.0,0.0
Assaré,1974,6,6.6,0.22,0.0,0.0,0.0,0.0,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2,0.0,0.0,0.0
Assaré,1974,7,1.8,0.06,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Assaré,1974,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Assaré,1974,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Assaré,1974,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Assaré,1974,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Assaré,1974,12,18.3,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0
Assaré,1975,1,67.8,2.19,0.0,0.0,0.0,0.0,0.0,0.0,8.8,0.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,11.6,0.6,4.4,0.0,3.8,0.6,1.8,2.4,0.0,0.0,2.7,0.0,24.0,0.0
Assaré,1975,2,84.4,3.01,0.0,18.4,1.2,0.0,0.0,18.6,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.6,0.0,0.0,16.6,0.0,0.0,0.0,0.0,0.0,0.0,7.4,21.2,0.0,0.0,0.0,0.0,0.0
Assaré,1975,3,211.7,6.83,41.4,12.0,3.6,8.0,23.2,8.0,4.0,5.8,0.2,2.8,3.7,0.0,0.0,0.0,2.4,13.4,5.4,0.0,12.0,0.0,0.0,0.0,0.0,14.0,5.6,4.0,8.0,1.0,33.2,0.0,0.0
