Municipios,Ano,Mes,Total,Media,Dia1,Dia2,Dia3,Dia4,Dia5,Dia6,Dia7,Dia8,Dia9,Dia10,Dia11,Dia12,Dia13,Dia14,Dia15,Dia16,Dia17,Dia18,Dia19,Dia20,Dia21,Dia22,Dia23,Dia24,Dia25,Dia26,Dia27,Dia28,Dia29,Dia30,Dia31
Boa Viagem,1974,1,166.2,5.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.5,0.0,23.5,7.0,1.0,30.8,3.2,3.8,9.6,0.0,0.6,0.0,0.0,40.2,28.0,2.0
Boa Viagem,1974,2,68.4,2.44,0.0,20.2,2.5,1.3,8.0,0.0,1.4,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,8.2,2.0,0.0,0.0,0.0,0.0,6.0,0.0,8.0,6.2,0.0,0.0,0.0
Boa Viagem,1974,3,289.6,9.34,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,13.0,51.0,0.0,19.5,4.5,9.1,0.0,8.0,0.0,17.8,0.0,3.0,15.0,3.2,30.8,13.2,64.0,0.0,0.0,35.0,0.0,0.0,0.0
Boa Viagem,1974,4,266.4,8.88,0.0,3.0,17.2,11.4,1.0,0.0,6.0,8.2,10.0,0.0,0.0,10.5,115.0,0.0,0.0,19.6,0.0,0.0,6.2,0.5,0.0,16.0,0.0,0.0,12.2,24.5,3.5,0.0,1.6,0.0,0.0
Boa Viagem,1974,5,168.5,5.44,29.0,0.0,0.0,5.2,0.0,0.0,0.0,4.0,1.0,0.0,14.2,6.0,6.1,9.0,0.0,1.2,0.0,10.0,0.0,0.0,0.0,0.5,24.0,5.0,4.0,26.3,0.0,15.0,4.0,4.0,0.0
Boa Viagem,1974,6,21.0,0.7,0.0,4.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.2,0.0,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Boa Viagem,1974,7,9.6,0.31,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Boa Viagem,1974,8,3.2,0.1,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Boa Viagem,1974,9,17.1,0.57,0.0,0.0,0.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,4.6,0.0,0.0,0.0,0.0,0.0,10.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Boa Viagem,1974,10,2.7,0.09,0.0,0.0,0.0,0.0,0.0,0.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Boa Viagem,1974,11,2.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Boa Viagem,1974,12,53.0,1.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,4.0,16.0,13.0,0.0,0.0
Boa Viagem,1975,1,43.0,1.39,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0
Boa Viagem,1975,2,114.8,4.1,0.0,0.0,0.0,1.9,0.0,0.0,27.6,46.7,0.0,0.0,0.0,0.0,0.0,0.0,19.7,2.6,0.6,0.0,0.0,0.0,0.0,10.5,3.3,0.0,0.0,1.9,0.0,0.0,0.0,0.0,0.0
Boa Viagem,1975,3,192.4,6.21,57.2,0.0,5.2,13.8,0.0,39.8,0.0,15.1,0.0,1.9,0.0,0.0,1.9,5.2,0.0,0.0,2.0,0.0,0.0,8.1,0.0,5.3,0.0,36.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Boa Viagem,1975,4,191.1,6.37,0.0,0.0,5.2,13.8,0.0,2.6,0.0,0.0,0.0,10.5,0.0,32.9,0.0,1.6,0.0,0.0,0.0,0.0,7.9,0.0,28.9,3.3,17.8,17.1,18.8,16.5,0.0,4.0,10.2,0.0,0.0
Boa Viagem,1975,5,145.8,4.7,3.3,0.0,0.0,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.6,0.0,0.0,3.3,26.3,5.3,4.0,36.2,11.2,0.0,0.0,0.0,0.0,0.0,15.5,0.0,0.0,2.6,0.0
Boa Viagem,1975,6,136.9,4.56,8.6,11.2,13.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6,2.6,0.0,0.0,0.0,26.1,8.6,24.8,0.0,0.0,6.5,9.6,12.9,0.0,5.3,0.0,2.9,0.0,0.0,0.0
Boa Viagem,1975,7,131.1,4.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,33.6,7.9,0.0,0.0,0.0,0.0,54.0,23.4,9.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Boa Viagem,1975,8,21.4,0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.9,0.0,0.0,0.0,0.0,9.5,0.0
Boa Viagem,1975,9,6.5,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.1,0.0,0.0,0.0,0.0,4.3,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Boa Viagem,1975,10,3.8,0.12,0.0,0.0,0.0,0.0,0.0,0.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.6,0.0,0.0,0.0,0.0
Boa Viagem,1975,11,5.3,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Boa Viagem,1975,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Boa Viagem,1976,1,14.2,0.46,0.0,0.0,0.0,7.0,0.0,0.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Boa Viagem,1976,2,179.0,6.17,0.0,9.0,29.0,0.0,4.0,53.0,9.0,0.0,4.0,9.0,0.0,4.0,6.0,19.0,0.0,0.0,0.0,0.0,4.0,0.0,7.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Boa Viagem,1976,3,91.0,2.94,0.0,6.0,9.0,0.0,19.0,0.0,0.0,5.0,6.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,27.0,0.0,0.0,0.0
Boa Viagem,1976,4,141.0,4.7,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Boa Viagem,1976,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Boa Viagem,1976,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Boa Viagem,1976,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Boa Viagem,1976,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Boa Viagem,1976,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Boa Viagem,1976,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Boa Viagem,1976,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Boa Viagem,1976,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Boa Viagem,1977,1,35.5,1.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.1,9.0,0.0,0.0,2.3,1.5,8.3,0.0,0.0,0.0,6.3
Boa Viagem,1977,2,60.7,2.17,6.3,0.0,0.0,0.0,19.8,0.0,0.0,6.3,0.0,0.0,0.0,3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.6,10.9,3.9,0.0,0.0,0.0,0.0,0.0,0.0
Boa Viagem,1977,3,167.4,5.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.2,0.0,0.0,0.0,23.9,18.9,0.0,2.3,3.6,0.0,0.0,13.1,7.6,0.0,0.0,0.0,0.0,0.0,11.3,11.9,64.6,0.0
Boa Viagem,1977,4,182.0,6.07,0.0,0.0,0.0,25.9,0.0,5.3,0.0,0.0,0.0,0.0,8.8,7.1,9.3,0.0,0.0,0.0,0.0,2.4,0.0,0.0,13.1,0.0,2.0,0.0,2.5,64.0,21.6,0.0,5.4,14.6,0.0
Boa Viagem,1977,5,135.2,4.36,5.8,0.0,0.0,22.4,5.5,27.7,0.0,0.0,0.0,0.0,42.8,4.5,0.0,11.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.3,0.0,0.0,0.0,3.8,0.0,0.0,0.0
Boa Viagem,1977,6,195.3,6.51,0.0,98.7,6.0,0.0,0.0,26.9,0.0,10.0,0.0,3.4,0.0,0.0,1.3,0.0,0.0,0.0,4.9,0.0,0.0,3.0,16.0,0.0,23.2,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Boa Viagem,1977,7,56.8,1.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.9,3.0,0.0,0.0,0.0,0.0,0.0,0.0,9.5,21.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0
Boa Viagem,1977,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Boa Viagem,1977,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Boa Viagem,1977,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Boa Viagem,1977,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
