Municipios,Ano,Mes,Total,Media,Dia1,Dia2,Dia3,Dia4,Dia5,Dia6,Dia7,Dia8,Dia9,Dia10,Dia11,Dia12,Dia13,Dia14,Dia15,Dia16,Dia17,Dia18,Dia19,Dia20,Dia21,Dia22,Dia23,Dia24,Dia25,Dia26,Dia27,Dia28,Dia29,Dia30,Dia31
Brejo Santo,1974,1,221.1,7.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,62.2,1.0,11.0,41.0,75.0,0.0,0.0,7.6,0.0,0.0,2.4,0.0,5.5,0.0,14.6
Brejo Santo,1974,2,419.6,14.99,0.0,25.2,0.0,0.0,65.5,60.2,4.6,12.5,3.0,0.0,0.0,0.0,0.0,81.0,12.0,7.8,0.0,75.6,8.4,6.0,0.0,0.0,41.6,0.0,16.2,0.0,0.0,0.0,0.0,0.0,0.0
Brejo Santo,1974,3,388.8,12.54,75.0,12.4,0.0,0.0,0.0,0.0,17.6,2.8,18.8,65.0,1.2,56.4,10.2,37.2,0.0,3.8,0.0,0.0,0.0,0.0,0.0,36.4,3.8,6.6,12.2,3.8,24.8,0.0,0.8,0.0,0.0
Brejo Santo,1974,4,409.5,13.65,15.0,0.0,12.2,45.8,0.0,10.0,58.2,0.0,10.6,0.0,0.0,32.4,14.4,0.0,0.0,0.0,156.8,4.5,15.2,0.0,0.0,22.6,0.0,0.0,4.8,0.0,0.0,0.0,7.0,0.0,0.0
Brejo Santo,1974,5,14.8,0.48,0.0,0.0,0.0,0.0,0.0,0.0,2.2,5.6,0.0,2.7,0.8,1.2,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7
Brejo Santo,1974,6,32.0,1.07,0.0,0.0,0.0,0.0,29.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brejo Santo,1974,7,16.8,0.54,0.0,0.0,0.0,0.0,0.0,0.0,6.6,10.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brejo Santo,1974,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brejo Santo,1974,9,16.9,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.2,0.0,0.0
Brejo Santo,1974,10,13.0,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,12.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
