Municipios,Ano,Mes,Total,Media,Dia1,Dia2,Dia3,Dia4,Dia5,Dia6,Dia7,Dia8,Dia9,Dia10,Dia11,Dia12,Dia13,Dia14,Dia15,Dia16,Dia17,Dia18,Dia19,Dia20,Dia21,Dia22,Dia23,Dia24,Dia25,Dia26,Dia27,Dia28,Dia29,Dia30,Dia31
Camocim,1974,1,152.0,4.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,12.0,38.0,41.0,6.0,0.0,0.0,12.0
Camocim,1974,2,120.9,4.32,10.0,15.0,0.0,10.0,0.0,0.0,0.0,22.0,2.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3,0.0,7.4,4.0,0.0,0.0,10.2,10.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
Camocim,1974,3,529.6,17.08,15.0,5.0,8.0,17.0,18.0,23.0,0.0,24.0,17.0,6.0,0.0,10.0,2.0,5.0,42.0,11.0,3.0,5.0,2.0,13.0,11.0,34.0,55.0,25.0,2.0,116.8,23.0,12.0,0.0,12.0,12.8
Camocim,1974,4,760.5,25.35,21.0,3.5,79.0,26.0,0.0,76.0,17.0,11.0,26.0,12.0,56.0,0.0,74.0,0.0,0.0,41.0,0.0,38.0,0.0,0.0,32.0,30.0,6.0,13.0,99.0,11.0,40.0,22.0,0.0,27.0,0.0
Camocim,1974,5,402.5,12.98,48.0,15.0,37.0,0.0,0.0,31.0,25.5,0.0,19.0,0.0,27.0,0.0,7.0,27.0,9.0,11.0,0.0,9.0,0.0,28.0,7.0,0.0,2.0,22.0,27.0,9.0,2.0,37.0,1.0,0.0,2.0
Camocim,1974,6,106.0,3.53,0.0,28.0,6.4,0.0,0.0,30.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,6.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Camocim,1974,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Camocim,1974,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Camocim,1974,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Camocim,1974,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Camocim,1974,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Camocim,1974,12,46.0,1.48,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0
Camocim,1975,1,127.0,4.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,30.0,42.0,37.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0
