Municipios,Ano,Mes,Total,Media,Dia1,Dia2,Dia3,Dia4,Dia5,Dia6,Dia7,Dia8,Dia9,Dia10,Dia11,Dia12,Dia13,Dia14,Dia15,Dia16,Dia17,Dia18,Dia19,Dia20,Dia21,Dia22,Dia23,Dia24,Dia25,Dia26,Dia27,Dia28,Dia29,Dia30,Dia31
Campos Sales,1974,1,167.7,5.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.1,0.0,4.5,0.0,0.0,10.2,13.6,0.0,0.9,58.5,0.0,1.2,0.0,1.2,18.1,20.0,0.0,30.4,0.0
Campos Sales,1974,2,157.1,5.61,9.0,4.2,10.3,0.0,2.8,0.0,0.7,32.4,35.0,0.0,0.0,4.2,5.5,0.7,0.8,0.8,3.0,0.0,1.0,0.9,1.1,15.2,1.2,25.5,0.2,1.4,0.5,0.7,0.0,0.0,0.0
Campos Sales,1974,3,177.8,5.74,0.0,0.0,0.0,2.2,3.8,1.7,3.0,0.7,1.0,0.0,0.4,4.8,1.3,0.0,0.3,0.0,1.6,0.0,6.6,13.6,56.6,14.5,3.0,4.8,43.8,0.0,1.4,2.5,0.2,0.0,10.0
Campos Sales,1974,4,306.5,10.22,0.0,1.5,7.3,35.4,1.5,16.6,0.0,7.0,9.2,48.0,7.5,22.4,0.0,5.0,0.0,1.3,36.2,27.2,30.3,1.4,6.7,15.6,9.0,9.1,3.1,4.6,0.0,0.0,0.6,0.0,0.0
Campos Sales,1974,5,148.9,4.8,78.0,1.4,0.0,0.1,0.3,0.0,0.0,0.0,0.1,0.0,0.0,30.9,5.0,0.0,0.0,2.2,0.0,4.3,0.0,0.0,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,4.2,12.0,9.0
Campos Sales,1974,6,8.7,0.29,3.3,0.0,0.0,0.0,5.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Campos Sales,1974,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Campos Sales,1974,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Campos Sales,1974,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Campos Sales,1974,10,2.1,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
