Municipios,Ano,Mes,Total,Media,Dia1,Dia2,Dia3,Dia4,Dia5,Dia6,Dia7,Dia8,Dia9,Dia10,Dia11,Dia12,Dia13,Dia14,Dia15,Dia16,Dia17,Dia18,Dia19,Dia20,Dia21,Dia22,Dia23,Dia24,Dia25,Dia26,Dia27,Dia28,Dia29,Dia30,Dia31
Caririaçu,1974,1,184.9,5.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,20.0,0.5,0.0,36.2,0.0,14.0,4.6,8.6,0.0,36.0,0.0,8.0,0.0,0.0,5.0,21.0,0.0,4.0,11.6,10.4
Caririaçu,1974,2,384.8,13.74,45.0,2.0,1.0,56.0,1.0,6.0,47.0,16.6,0.0,0.0,0.0,20.0,22.0,15.0,5.8,0.0,5.0,7.2,37.0,14.4,10.6,34.4,1.0,26.0,2.4,0.0,1.0,8.4,0.0,0.0,0.0
Caririaçu,1974,3,327.6,10.57,1.2,7.0,23.0,0.0,20.8,7.0,11.0,20.0,71.0,1.0,22.0,21.0,3.6,17.0,0.0,0.0,2.8,2.0,19.0,0.0,17.2,2.0,0.0,42.0,14.0,0.0,0.0,3.0,0.0,0.0,0.0
Caririaçu,1974,4,486.0,16.2,0.0,6.0,9.6,70.0,50.0,8.2,0.0,0.0,0.0,0.0,4.0,54.0,0.0,0.0,0.0,77.0,7.2,55.0,30.0,35.0,65.0,0.0,6.0,0.0,0.0,0.0,0.0,5.0,4.0,0.0,0.0
Caririaçu,1974,5,40.0,1.29,0.0,0.0,0.0,0.0,7.0,2.0,14.0,5.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Caririaçu,1974,6,2.0,0.07,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Caririaçu,1974,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Caririaçu,1974,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Caririaçu,1974,9,35.4,1.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,33.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Caririaçu,1974,10,50.2,1.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.2,0.0
Caririaçu,1974,11,32.6,1.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,20.0,6.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Caririaçu,1974,12,71.0,2.29,7.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.4,0.0,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
Caririaçu,1975,1,49.0,1.58,0.0,0.0,0.0,0.0,11.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0
Caririaçu,1975,2,130.3,4.65,0.0,5.4,0.0,0.3,0.0,28.8,4.4,0.0,2.0,15.8,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,5.4,0.0,14.8,0.0,0.0,0.0,48.0,0.0,2.2,0.0,0.0,0.0
Caririaçu,1975,3,316.4,10.21,25.0,6.0,18.0,5.8,19.0,47.0,1.0,0.0,20.4,4.0,0.0,43.0,0.0,0.8,0.0,50.6,3.0,0.0,16.6,1.8,4.8,0.0,6.6,7.4,16.6,5.2,10.8,3.0,0.0,0.0,0.0
