Municipios,Ano,Mes,Total,Media,Dia1,Dia2,Dia3,Dia4,Dia5,Dia6,Dia7,Dia8,Dia9,Dia10,Dia11,Dia12,Dia13,Dia14,Dia15,Dia16,Dia17,Dia18,Dia19,Dia20,Dia21,Dia22,Dia23,Dia24,Dia25,Dia26,Dia27,Dia28,Dia29,Dia30,Dia31
Cascavel,1977,1,112.0,3.61,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,11.0,6.5,0.0,6.0
Cascavel,1977,2,137.0,4.89,0.0,6.0,0.0,0.0,6.5,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,56.0,25.0,13.5,4.0,0.0,0.0,0.0,0.0,0.0
Cascavel,1977,3,274.5,8.85,0.0,0.0,0.0,8.0,17.0,3.0,5.0,2.5,4.0,13.0,0.0,0.0,9.0,0.0,0.0,0.0,7.0,0.0,21.5,0.0,26.0,19.0,0.0,0.0,86.5,0.0,0.0,10.5,0.0,39.0,3.5
Cascavel,1977,4,187.7,6.26,9.0,4.5,24.2,0.0,5.5,6.0,0.0,11.5,28.0,0.0,0.0,0.0,4.5,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,21.0,44.5,0.0
Cascavel,1977,5,127.0,4.1,0.0,2.5,18.0,38.2,0.0,0.0,17.8,0.0,0.0,0.0,8.5,0.0,8.5,0.0,7.5,0.0,1.0,0.0,2.0,0.0,11.0,0.0,5.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cascavel,1977,6,162.5,5.42,11.0,51.0,0.0,4.0,0.0,0.0,0.0,18.0,0.0,7.6,5.4,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,10.5,0.0,0.0,0.0,0.0,5.0,7.0,9.0,0.0
Cascavel,1977,7,137.0,4.42,0.0,0.0,0.0,0.0,39.0,20.0,0.0,15.0,0.0,0.0,19.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0
Cascavel,1977,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cascavel,1977,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cascavel,1977,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cascavel,1977,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cascavel,1977,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cascavel,1978,1,67.3,2.17,0.0,3.1,0.0,0.0,0.0,7.6,0.0,39.1,0.0,0.0,0.0,4.2,0.0,0.0,0.0,13.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cascavel,1978,2,135.5,4.84,0.0,0.0,0.0,0.0,0.0,5.6,0.0,0.0,0.0,16.4,86.4,21.4,0.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,0.0,0.0,0.0,0.0
Cascavel,1978,3,233.7,7.54,27.6,47.6,3.1,0.0,0.0,0.0,0.0,5.6,0.0,7.6,2.4,8.2,16.4,18.2,34.1,0.0,0.0,4.2,0.0,9.1,12.7,0.0,0.0,0.0,15.6,0.0,3.1,0.0,15.6,2.6,0.0
Cascavel,1978,4,305.9,10.2,18.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,35.0,0.0,2.0,0.0,0.0,18.0,71.0,63.0,0.0,0.0,3.1,3.4,6.2,16.4,17.8,0.0,1.3,0.0,15.6,25.5,8.6,0.0
Cascavel,1978,5,239.3,7.72,21.4,2.6,10.6,1.8,0.0,2.8,0.0,0.0,0.0,3.8,28.1,26.5,47.8,1.8,2.6,13.7,18.2,11.4,0.0,7.6,0.0,5.6,4.3,0.0,0.0,3.1,6.2,0.0,17.8,0.0,1.6
Cascavel,1978,6,81.1,2.7,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,27.0,0.0,13.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,14.5,18.2,0.0
Cascavel,1978,7,105.1,3.39,0.0,0.0,0.0,29.6,9.1,12.7,0.0,0.0,0.0,0.0,13.7,12.4,0.0,27.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cascavel,1978,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cascavel,1978,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cascavel,1978,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cascavel,1978,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
