Municipios,Ano,Mes,Total,Media,Dia1,Dia2,Dia3,Dia4,Dia5,Dia6,Dia7,Dia8,Dia9,Dia10,Dia11,Dia12,Dia13,Dia14,Dia15,Dia16,Dia17,Dia18,Dia19,Dia20,Dia21,Dia22,Dia23,Dia24,Dia25,Dia26,Dia27,Dia28,Dia29,Dia30,Dia31
Coreaú,1976,1,121.8,3.93,10.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,16.0,32.0,0.0,0.0,0.0,12.8,0.0,7.2,0.0,5.0,0.0,3.8,0.0
Coreaú,1976,2,278.0,9.59,28.0,0.0,0.0,1.0,2.0,37.0,0.0,0.0,0.0,3.0,0.0,51.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,52.0,14.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0
Coreaú,1976,3,301.8,9.74,0.0,0.0,6.0,9.7,11.3,8.0,14.0,0.0,6.5,0.5,0.0,4.5,2.6,6.3,0.0,17.9,13.1,0.0,0.0,4.2,1.9,21.0,11.0,0.0,0.6,0.0,22.5,45.0,55.2,40.0,0.0
Coreaú,1976,4,264.5,8.82,26.5,0.0,7.5,0.0,0.0,16.0,9.0,1.0,0.0,8.0,9.5,7.0,13.0,0.0,41.0,9.0,13.0,35.0,25.0,20.5,0.0,3.5,0.0,9.0,7.5,0.0,0.0,3.5,0.0,0.0,0.0
Coreaú,1976,5,56.5,1.82,0.0,11.0,0.0,16.5,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,2.5,0.0,9.0,0.0,0.0,0.0
Coreaú,1976,6,47.5,1.58,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coreaú,1976,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coreaú,1976,8,2.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coreaú,1976,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coreaú,1976,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
