Municipios,Ano,Mes,Total,Media,Dia1,Dia2,Dia3,Dia4,Dia5,Dia6,Dia7,Dia8,Dia9,Dia10,Dia11,Dia12,Dia13,Dia14,Dia15,Dia16,Dia17,Dia18,Dia19,Dia20,Dia21,Dia22,Dia23,Dia24,Dia25,Dia26,Dia27,Dia28,Dia29,Dia30,Dia31
Forquilha,1980,1,14.5,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Forquilha,1980,2,156.6,5.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.5,0.0,8.0,0.0,19.0,3.5,0.0,37.0,13.7,3.6,0.0,6.5,6.7,5.6,17.0,0.0,24.5,0.0,0.0,0.0
Forquilha,1980,3,86.9,2.8,0.0,0.0,10.1,2.0,12.0,31.3,0.0,0.8,24.7,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Forquilha,1980,4,16.4,0.55,0.0,0.0,0.0,0.0,0.0,6.7,0.0,0.0,0.0,4.7,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Forquilha,1980,5,17.0,0.55,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Forquilha,1980,6,2.8,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Forquilha,1980,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Forquilha,1980,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Forquilha,1980,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Forquilha,1980,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Forquilha,1980,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Forquilha,1980,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Forquilha,1983,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Forquilha,1983,2,43.5,1.55,0.0,0.0,0.0,4.0,6.0,0.0,0.0,14.0,2.5,0.0,2.0,0.0,8.5,0.0,0.0,0.0,0.0,6.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Forquilha,1983,3,91.0,2.94,0.0,0.0,0.0,0.0,0.0,0.0,8.5,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,48.0,10.0,7.0,1.5,0.0,0.0
Forquilha,1983,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Forquilha,1983,5,4.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Forquilha,1983,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Forquilha,1983,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Forquilha,1983,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Forquilha,1983,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Forquilha,1983,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Forquilha,1983,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Forquilha,1983,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Forquilha,1984,1,75.7,2.44,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,19.0,3.4,4.2,0.0,0.0,0.0,9.0,5.2,13.3,0.0,0.0,0.0,14.6,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
Forquilha,1984,2,235.2,8.11,0.7,0.0,0.0,0.0,0.0,10.9,20.0,17.3,0.0,0.0,2.3,0.0,2.3,5.5,18.6,2.3,0.0,51.0,0.0,16.5,10.6,0.0,0.0,27.0,0.0,49.0,1.2,0.0,0.0,0.0,0.0
Forquilha,1984,3,283.1,9.13,0.0,7.6,3.2,0.0,20.4,0.0,9.0,0.0,63.0,0.0,0.0,76.5,0.0,4.2,14.1,1.0,5.5,0.0,2.0,0.0,14.5,0.0,0.0,0.0,0.0,2.5,40.4,2.6,0.0,0.0,16.6
Forquilha,1984,4,301.7,10.06,0.0,20.4,2.0,27.6,3.0,25.0,17.0,5.0,13.0,2.2,0.0,0.0,12.4,20.3,9.0,9.0,25.3,15.0,8.3,24.2,9.1,6.5,2.5,0.0,2.5,14.4,0.0,7.1,11.3,9.6,0.0
Forquilha,1984,5,58.2,1.88,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,17.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,21.3,5.4,5.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0
Forquilha,1984,6,25.4,0.85,0.0,0.0,0.0,0.0,14.6,2.5,0.0,2.8,0.0,0.0,0.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Forquilha,1984,7,7.7,0.25,0.0,0.0,0.0,0.0,0.0,0.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Forquilha,1984,8,3.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
Forquilha,1984,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Forquilha,1984,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Forquilha,1984,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Forquilha,1984,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Forquilha,1985,1,268.7,8.67,0.0,12.8,0.0,0.0,0.0,0.0,0.0,0.0,5.0,9.7,22.6,0.0,0.0,2.1,0.9,0.0,6.0,52.9,15.1,8.9,0.0,2.0,2.6,6.6,0.0,0.0,9.8,5.0,0.0,79.2,27.5
Forquilha,1985,2,209.0,7.46,0.0,7.3,0.0,7.5,0.0,0.0,5.1,0.0,0.0,28.4,2.1,0.0,14.2,29.0,3.2,0.0,7.3,0.0,4.1,3.2,11.0,13.8,21.7,23.1,0.0,24.8,0.0,3.2,0.0,0.0,0.0
Forquilha,1985,3,238.7,7.7,0.0,9.3,17.0,4.2,3.5,1.9,2.1,0.0,0.0,0.0,3.1,0.0,11.2,12.0,0.0,18.5,0.5,17.8,0.3,1.4,0.0,17.3,58.6,17.1,0.0,0.0,9.6,4.4,11.1,9.5,8.3
Forquilha,1985,4,524.3,17.48,8.2,91.0,31.4,0.0,11.8,0.0,29.3,0.0,0.0,97.5,21.4,14.4,0.0,19.0,0.0,0.0,36.7,4.0,0.0,17.5,13.0,17.0,7.5,0.0,54.0,0.0,44.8,4.2,1.6,0.0,0.0
Forquilha,1985,5,205.8,6.64,2.9,21.9,9.6,12.4,7.8,7.5,6.0,1.2,6.3,32.4,0.0,45.3,0.0,3.0,12.6,2.5,0.0,0.0,6.2,0.0,20.2,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
