Municipios,Ano,Mes,Total,Media,Dia1,Dia2,Dia3,Dia4,Dia5,Dia6,Dia7,Dia8,Dia9,Dia10,Dia11,Dia12,Dia13,Dia14,Dia15,Dia16,Dia17,Dia18,Dia19,Dia20,Dia21,Dia22,Dia23,Dia24,Dia25,Dia26,Dia27,Dia28,Dia29,Dia30,Dia31
Guaraciaba do Norte,1974,1,211.9,6.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,10.8,0.0,0.0,0.0,0.0,20.0,0.0,0.0,60.2,0.0,0.0,30.4,45.0,0.0,0.0,0.0,20.5,0.0,20.0,0.0,0.0,0.0
Guaraciaba do Norte,1974,2,116.5,4.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3,0.0,4.0,20.2,12.4,0.0,3.2,0.8,4.8,2.0,1.3,4.7,0.2,1.5,18.7,34.5,1.9,2.0,0.0,0.0,0.0,0.0
Guaraciaba do Norte,1974,3,410.3,13.24,19.7,4.7,7.8,20.2,0.0,0.0,8.9,20.6,26.0,23.7,0.0,23.0,0.0,2.0,21.2,0.0,16.8,0.0,1.6,13.0,41.2,5.6,38.0,34.0,3.1,33.7,0.0,43.0,2.5,0.0,0.0
Guaraciaba do Norte,1974,4,558.3,18.61,2.5,6.3,13.6,11.0,9.0,31.0,12.0,8.6,30.0,4.6,32.8,24.0,41.8,33.8,28.3,51.4,0.0,26.4,10.3,39.8,25.0,15.2,5.2,19.0,4.2,12.4,22.2,5.0,11.3,21.6,0.0
Guaraciaba do Norte,1974,5,354.1,11.42,10.4,32.4,14.4,2.6,10.0,1.0,1.0,6.2,35.2,1.1,8.5,10.1,12.8,19.0,0.0,12.5,1.3,4.9,0.0,22.0,0.1,0.0,10.0,4.0,26.6,6.3,0.8,0.0,23.0,72.3,5.6
Guaraciaba do Norte,1974,6,87.5,2.92,0.0,4.8,0.9,0.0,11.0,0.7,0.0,0.0,5.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,2.4,23.1,10.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,6.7,0.0,0.0
Guaraciaba do Norte,1974,7,10.2,0.33,1.4,0.0,0.0,0.0,0.0,2.3,4.3,0.0,1.5,0.4,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Guaraciaba do Norte,1974,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Guaraciaba do Norte,1974,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Guaraciaba do Norte,1974,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
