Municipios,Ano,Mes,Total,Media,Dia1,Dia2,Dia3,Dia4,Dia5,Dia6,Dia7,Dia8,Dia9,Dia10,Dia11,Dia12,Dia13,Dia14,Dia15,Dia16,Dia17,Dia18,Dia19,Dia20,Dia21,Dia22,Dia23,Dia24,Dia25,Dia26,Dia27,Dia28,Dia29,Dia30,Dia31
Ibiapina,1974,1,269.7,8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.2,12.0,8.0,5.0,0.5,0.0,27.0,8.8,5.0,62.0,0.8,0.5,30.0,50.0,0.3,0.1,0.2,22.0,6.3,22.0,0.2,3.4,3.4
Ibiapina,1974,2,321.9,11.5,0.0,0.0,0.1,4.4,10.0,3.0,0.0,30.0,4.0,0.0,0.0,1.0,36.0,7.0,3.0,3.0,5.0,16.0,1.0,10.0,10.0,0.4,35.0,15.0,27.0,64.0,1.0,36.0,0.0,0.0,0.0
Ibiapina,1974,3,542.4,17.5,3.0,3.0,20.0,1.0,0.0,0.0,12.0,14.0,34.0,0.0,76.0,0.3,22.0,21.0,27.0,7.0,1.0,0.0,1.0,27.0,46.0,25.0,15.0,30.0,16.0,103.0,0.1,35.0,3.0,0.0,0.0
Ibiapina,1974,4,763.0,25.43,1.0,10.0,24.0,3.0,5.0,36.0,26.0,12.0,30.0,15.0,36.0,33.0,25.0,28.0,45.0,85.0,7.0,45.0,5.0,13.0,26.0,62.0,26.0,36.0,10.0,26.0,17.0,7.0,45.0,24.0,0.0
Ibiapina,1974,5,560.0,18.06,120.0,0.0,36.0,2.0,0.0,16.0,1.0,0.0,16.0,3.0,16.0,0.0,35.0,45.0,19.0,46.0,44.0,16.0,0.0,9.0,4.0,0.0,9.0,6.0,33.0,20.0,0.0,19.0,0.0,26.0,19.0
Ibiapina,1974,6,110.0,3.67,0.0,5.0,0.0,0.0,11.0,5.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,7.0,7.0,0.0,7.0,0.0,0.0,0.0,6.0,5.0,14.0,0.0,0.0,0.0
Ibiapina,1974,7,7.1,0.23,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ibiapina,1974,8,6.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ibiapina,1974,9,119.0,3.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,5.0,0.0,7.0,25.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ibiapina,1974,10,48.0,1.55,0.0,0.0,0.0,0.0,3.0,0.0,0.0,14.0,17.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ibiapina,1974,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ibiapina,1974,12,88.2,2.85,0.2,0.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,6.0,0.0,0.0,0.0
Ibiapina,1975,1,123.0,3.97,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,16.0,6.0,0.0,6.0,8.0,10.0,0.0,0.0,0.0,10.0,0.0,45.0,11.0
Ibiapina,1975,2,287.0,10.25,0.0,25.0,13.0,13.0,12.0,0.0,36.0,0.0,2.0,0.0,16.0,8.0,0.0,14.0,14.0,4.0,26.0,7.0,24.0,4.0,0.0,4.0,0.0,35.0,0.0,0.0,6.0,24.0,0.0,0.0,0.0
Ibiapina,1975,3,496.0,16.0,56.0,8.0,7.0,4.0,19.0,27.0,20.0,10.0,75.0,5.0,4.0,58.0,36.0,13.0,0.0,0.0,3.0,16.0,0.0,20.0,14.0,0.0,6.0,35.0,20.0,20.0,0.0,20.0,0.0,0.0,0.0
Ibiapina,1975,4,236.0,7.87,0.0,0.0,0.0,25.0,28.0,0.0,0.0,9.0,0.0,40.0,0.0,8.0,0.0,0.0,0.0,12.0,24.0,0.0,0.0,0.0,0.0,0.0,2.0,49.0,10.0,2.0,6.0,0.0,6.0,15.0,0.0
Ibiapina,1975,5,286.0,9.23,15.0,0.0,2.0,29.0,2.0,27.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,16.0,10.0,10.0,0.0,88.0,30.0,5.0,0.0,0.0,0.0,0.0,7.0,6.0,1.0,10.0,4.0
Ibiapina,1975,6,137.0,4.57,4.0,2.0,13.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,2.0,0.0,0.0,14.0,14.0,15.0,0.0,6.0,0.0,7.0,2.0,7.0,11.0,2.0,10.0,12.0,0.0
Ibiapina,1975,7,90.0,2.9,0.0,0.0,1.0,9.0,8.0,9.0,0.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,17.0,11.0,2.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ibiapina,1975,8,4.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Ibiapina,1975,9,63.0,2.1,36.0,0.0,0.0,0.0,0.0,15.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ibiapina,1975,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ibiapina,1975,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ibiapina,1975,12,196.0,6.32,1.0,55.0,44.0,65.0,15.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ibiapina,1976,1,120.0,3.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,40.0,0.0,15.0,0.0,0.0,0.0
