Municipios,Ano,Mes,Total,Media,Dia1,Dia2,Dia3,Dia4,Dia5,Dia6,Dia7,Dia8,Dia9,Dia10,Dia11,Dia12,Dia13,Dia14,Dia15,Dia16,Dia17,Dia18,Dia19,Dia20,Dia21,Dia22,Dia23,Dia24,Dia25,Dia26,Dia27,Dia28,Dia29,Dia30,Dia31
Iguatu,1974,1,275.0,8.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,11.0,0.0,0.0,16.0,4.0,23.0,58.0,0.0,22.0,0.0,43.0,10.0,35.0,0.0,36.0,1.0
Iguatu,1974,2,263.0,9.39,14.0,3.0,0.0,0.0,50.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,0.0,30.0,0.0,14.0,14.0,0.0,0.0,0.0,30.0,2.0,14.0,1.0,0.0,59.0,0.0,0.0,0.0
Iguatu,1974,3,329.0,10.61,41.0,0.0,0.0,0.0,5.0,32.0,22.0,0.0,0.0,40.0,0.0,30.0,0.0,0.0,3.0,0.0,17.0,0.0,75.0,0.0,13.0,0.0,3.0,24.0,2.0,22.0,0.0,0.0,0.0,0.0,0.0
Iguatu,1974,4,395.0,13.17,0.0,0.0,0.0,8.0,76.0,0.0,0.0,0.0,0.0,12.0,4.0,0.0,0.0,17.0,0.0,88.0,114.0,10.0,0.0,0.0,52.0,0.0,0.0,0.0,8.0,3.0,0.0,0.0,0.0,3.0,0.0
Iguatu,1974,5,58.0,1.87,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,7.0,20.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Iguatu,1974,6,3.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Iguatu,1974,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Iguatu,1974,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Iguatu,1974,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Iguatu,1974,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
