Municipios,Ano,Mes,Total,Media,Dia1,Dia2,Dia3,Dia4,Dia5,Dia6,Dia7,Dia8,Dia9,Dia10,Dia11,Dia12,Dia13,Dia14,Dia15,Dia16,Dia17,Dia18,Dia19,Dia20,Dia21,Dia22,Dia23,Dia24,Dia25,Dia26,Dia27,Dia28,Dia29,Dia30,Dia31
Independência,1974,1,186.2,6.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,70.0,0.0,21.0,54.0,0.0,4.2,0.0,0.0,0.0,10.0,0.0,0.0,0.0
Independência,1974,2,90.1,3.22,0.0,3.3,10.0,7.2,0.0,0.0,6.6,0.0,0.0,0.0,0.0,3.3,0.0,0.0,0.0,0.0,0.0,16.1,1.2,0.0,0.0,5.0,0.0,0.0,28.1,4.2,3.0,2.1,0.0,0.0,0.0
Independência,1974,3,230.5,7.44,5.1,0.0,0.0,3.3,0.0,0.0,4.0,5.2,6.3,23.2,3.3,4.2,10.0,10.0,4.1,0.0,5.0,0.0,18.0,0.0,2.0,20.0,23.1,18.0,0.0,48.1,1.2,11.0,1.3,4.1,0.0
Independência,1974,4,413.4,13.78,3.0,1.0,13.0,31.0,70.0,0.0,3.3,0.0,0.0,24.0,31.0,7.0,44.0,20.0,1.0,86.0,1.0,0.0,1.2,17.0,17.0,2.0,3.0,2.2,3.3,25.0,2.2,2.2,3.0,0.0,0.0
Independência,1974,5,195.1,6.29,22.2,0.0,28.0,0.0,0.0,0.0,2.0,20.0,0.0,5.0,6.0,4.0,12.0,6.0,0.0,13.4,20.1,0.0,0.0,0.0,0.0,0.0,0.0,9.1,0.0,0.0,0.0,0.0,9.3,35.0,3.0
Independência,1974,6,10.0,0.33,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Independência,1974,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Independência,1974,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Independência,1974,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Independência,1974,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
