Municipios,Ano,Mes,Total,Media,Dia1,Dia2,Dia3,Dia4,Dia5,Dia6,Dia7,Dia8,Dia9,Dia10,Dia11,Dia12,Dia13,Dia14,Dia15,Dia16,Dia17,Dia18,Dia19,Dia20,Dia21,Dia22,Dia23,Dia24,Dia25,Dia26,Dia27,Dia28,Dia29,Dia30,Dia31
Ipueiras,1974,1,64.0,2.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.2,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,26.0
Ipueiras,1974,2,120.2,4.29,0.0,0.0,0.0,6.0,0.0,0.0,25.0,5.0,12.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,9.2,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0
Ipueiras,1974,3,201.0,6.48,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,35.0,0.0,10.0,0.0,15.0,0.0,10.0,7.0,0.0,0.0,0.0,70.0,0.0,10.0,10.0,0.0,16.0,0.0,0.0,0.0,0.0,8.0
Ipueiras,1974,4,456.6,15.22,0.0,20.0,0.0,8.6,0.0,0.0,35.0,60.0,0.0,30.0,0.0,0.0,0.0,8.4,25.6,0.0,30.0,0.0,0.0,0.0,10.0,14.0,20.0,40.0,30.0,30.0,0.0,25.0,15.0,55.0,0.0
Ipueiras,1974,5,123.0,3.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,8.0,0.0,7.0,0.0,0.0,15.0,0.0,0.0,10.0,0.0,0.0,12.0,5.0,0.0,8.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,35.0
Ipueiras,1974,6,29.0,0.97,0.0,10.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0
Ipueiras,1974,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ipueiras,1974,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ipueiras,1974,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ipueiras,1974,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ipueiras,1974,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ipueiras,1974,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ipueiras,1975,1,35.0,1.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,31.0,0.0
Ipueiras,1975,2,142.8,5.1,0.0,8.0,21.7,10.2,0.0,0.0,0.0,5.4,32.3,0.0,1.1,3.4,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,21.0,0.0,0.5,26.9,0.0,0.2,5.1,0.0,0.0,0.0,0.0
Ipueiras,1975,3,193.9,6.25,5.5,7.2,7.2,0.4,5.0,25.0,22.2,0.5,18.8,0.0,8.2,6.0,12.8,17.9,0.0,0.0,1.9,2.0,0.6,0.6,1.9,22.1,2.4,11.6,3.1,0.0,10.0,0.3,0.0,0.4,0.3
Ipueiras,1975,4,173.0,5.77,0.0,0.0,4.5,0.0,2.8,0.0,10.0,2.0,0.0,1.2,0.0,10.0,0.0,0.0,15.0,47.0,0.0,9.2,0.0,34.3,0.0,0.0,0.0,4.3,1.8,13.5,8.0,2.4,6.1,0.9,0.0
Ipueiras,1975,5,177.0,5.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,20.0,10.0,20.0,0.0,0.0,25.0,32.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0
Ipueiras,1975,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ipueiras,1975,7,18.0,0.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ipueiras,1975,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ipueiras,1975,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ipueiras,1975,10,10.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ipueiras,1975,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ipueiras,1975,12,146.0,4.71,0.0,0.0,33.0,4.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0
Ipueiras,1976,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ipueiras,1976,2,180.0,6.21,35.0,0.0,0.0,27.0,0.0,12.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,38.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ipueiras,1976,3,286.0,9.23,0.0,0.0,54.0,36.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,10.0,0.0,37.0,33.0,27.0
Ipueiras,1976,4,179.0,5.97,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,33.0,0.0,33.0,0.0,0.0,3.0,0.0,0.0,22.0,0.0,0.0,5.0,0.0,0.0,0.0
