Municipios,Ano,Mes,Total,Media,Dia1,Dia2,Dia3,Dia4,Dia5,Dia6,Dia7,Dia8,Dia9,Dia10,Dia11,Dia12,Dia13,Dia14,Dia15,Dia16,Dia17,Dia18,Dia19,Dia20,Dia21,Dia22,Dia23,Dia24,Dia25,Dia26,Dia27,Dia28,Dia29,Dia30,Dia31
Iracema,1974,1,161.1,5.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.9,15.8,8.8,51.0,0.0,0.0,0.0,0.0,0.0,42.0,1.8,30.0,2.8
Iracema,1974,2,121.2,4.33,0.0,0.8,0.0,17.0,0.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.8,0.0,0.0,0.0,7.8,0.9,1.8,6.0,0.0,0.0,6.8,10.0,13.2,20.0,18.0,0.0,0.0,0.0
Iracema,1974,3,397.1,12.81,0.0,58.2,18.0,21.0,0.0,0.0,0.0,3.1,45.1,18.1,22.0,10.3,0.0,8.0,0.0,0.0,16.0,0.0,2.1,20.9,56.0,14.1,25.2,2.1,22.0,7.1,0.0,8.0,18.0,1.8,0.0
Iracema,1974,4,309.1,10.3,0.0,35.0,3.0,23.8,14.8,0.0,1.0,14.9,13.2,24.0,8.0,0.0,35.0,0.0,0.0,2.0,2.6,0.0,17.8,0.0,0.0,21.2,0.0,32.0,1.4,4.4,40.0,1.4,13.6,0.0,0.0
Iracema,1974,5,166.2,5.36,0.0,0.0,21.0,8.4,14.0,20.0,4.0,29.0,0.0,6.2,12.2,6.0,7.0,0.0,0.0,6.0,7.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,9.4,0.0
Iracema,1974,6,39.8,1.33,14.0,0.0,0.0,0.0,0.0,10.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6,0.0,0.0
Iracema,1974,7,70.9,2.29,0.0,0.0,0.0,0.0,0.0,6.7,16.0,0.2,0.0,0.0,0.0,0.0,8.0,17.0,22.4,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Iracema,1974,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Iracema,1974,9,16.5,0.55,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,13.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Iracema,1974,10,44.2,1.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
