Municipios,Ano,Mes,Total,Media,Dia1,Dia2,Dia3,Dia4,Dia5,Dia6,Dia7,Dia8,Dia9,Dia10,Dia11,Dia12,Dia13,Dia14,Dia15,Dia16,Dia17,Dia18,Dia19,Dia20,Dia21,Dia22,Dia23,Dia24,Dia25,Dia26,Dia27,Dia28,Dia29,Dia30,Dia31
Itapajé,1974,1,175.5,5.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.6,0.0,0.0,0.0,28.2,10.0,53.0,0.0,0.0,0.0,0.0,2.3,31.2,3.2,8.4,0.0,8.6,0.0,0.0,0.0,0.0,0.0
Itapajé,1974,2,113.7,4.06,12.0,0.0,0.0,0.0,0.0,0.3,0.0,27.0,0.0,0.0,0.0,7.2,10.2,0.0,0.0,12.0,13.2,2.0,0.0,0.0,3.4,0.0,3.2,0.0,0.0,20.6,2.6,0.0,0.0,0.0,0.0
Itapajé,1974,3,400.4,12.92,8.0,0.0,3.0,0.0,0.0,0.0,3.2,25.3,0.0,7.0,40.2,0.0,10.0,15.3,9.2,0.0,4.2,18.2,17.0,26.0,25.2,38.0,0.0,16.4,42.2,77.0,0.0,0.0,0.0,0.0,15.0
Itapajé,1974,4,358.2,11.94,56.0,3.0,5.2,5.4,5.4,50.0,30.0,25.2,0.0,30.4,0.0,24.6,0.0,13.6,22.4,0.0,12.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,63.0,0.0,0.0,0.0,0.0,0.0
Itapajé,1974,5,64.4,2.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3,8.0,2.2,10.0,13.3,5.6,1.0,19.0,0.0,0.0
Itapajé,1974,6,73.0,2.43,3.0,0.0,23.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,14.0,5.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Itapajé,1974,7,16.9,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.2,0.0,0.0,0.0,0.0,2.3,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Itapajé,1974,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Itapajé,1974,9,19.7,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.4,0.0,0.0,0.0,12.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Itapajé,1974,10,3.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,0.0,0.0,0.0,0.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Itapajé,1974,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Itapajé,1974,12,112.0,3.61,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,0.0,42.5,0.0,27.0,3.5,0.0,0.0,18.0,0.0,0.0,0.0
