Municipios,Ano,Mes,Total,Media,Dia1,Dia2,Dia3,Dia4,Dia5,Dia6,Dia7,Dia8,Dia9,Dia10,Dia11,Dia12,Dia13,Dia14,Dia15,Dia16,Dia17,Dia18,Dia19,Dia20,Dia21,Dia22,Dia23,Dia24,Dia25,Dia26,Dia27,Dia28,Dia29,Dia30,Dia31
Jaguaruana,1974,1,312.3,10.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.2,73.3,4.2,0.0,7.3,18.2,0.0,102.0,5.4,0.2,0.0,26.0,0.0,0.0,0.0,0.0,4.1,39.1,25.2,0.1,0.0
Jaguaruana,1974,2,118.2,4.22,10.4,0.0,0.0,0.4,0.1,0.4,0.0,0.0,0.0,0.0,0.0,0.0,5.2,0.0,0.0,0.0,51.3,17.0,15.4,0.0,0.0,0.0,0.0,8.0,3.0,3.2,0.0,3.8,0.0,0.0,0.0
Jaguaruana,1974,3,430.1,13.87,41.0,19.0,12.0,16.6,14.4,16.8,0.0,1.6,16.8,13.0,0.0,9.2,18.4,0.0,2.2,32.5,2.4,0.6,17.6,27.0,54.6,1.8,0.0,17.0,40.6,0.0,0.4,0.2,2.0,4.0,48.4
Jaguaruana,1974,4,253.5,8.45,0.0,0.0,0.0,0.0,0.0,0.0,4.6,11.4,3.2,20.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.2,22.4,11.2,19.2,50.0,28.0,23.0,16.6,16.2,6.4,1.8,0.0
Jaguaruana,1974,5,138.4,4.46,1.6,3.0,0.0,11.6,5.6,0.0,0.0,7.2,8.4,0.6,1.0,5.4,15.0,15.8,0.0,3.6,6.0,0.0,0.0,0.0,0.0,0.0,5.2,15.2,31.4,0.0,0.0,0.0,0.0,0.0,1.8
Jaguaruana,1974,6,56.4,1.88,13.2,12.8,0.0,0.0,0.0,0.0,0.0,0.0,7.2,0.0,0.0,0.0,0.0,0.2,0.4,0.4,0.0,0.0,2.0,14.2,4.8,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jaguaruana,1974,7,22.8,0.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,8.8,4.6,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jaguaruana,1974,8,19.8,0.64,0.0,19.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jaguaruana,1974,9,47.8,1.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6,0.0,0.0,0.0,0.0,0.0,42.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0
Jaguaruana,1974,10,15.0,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.6,6.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jaguaruana,1974,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jaguaruana,1974,12,12.5,0.4,0.0,0.0,0.0,0.0,0.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jaguaruana,1975,1,26.2,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.0,0.0,0.0,0.0,12.2,9.4,0.2,0.0,0.0,0.0,0.0,0.0,0.0,2.4,0.6
Jaguaruana,1975,2,84.0,3.0,0.0,0.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,6.6,1.2,0.2,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.4,11.0,19.8,1.4,0.0,0.0,0.0,32.6,0.0,0.0,0.0
