Municipios,Ano,Mes,Total,Media,Dia1,Dia2,Dia3,Dia4,Dia5,Dia6,Dia7,Dia8,Dia9,Dia10,Dia11,Dia12,Dia13,Dia14,Dia15,Dia16,Dia17,Dia18,Dia19,Dia20,Dia21,Dia22,Dia23,Dia24,Dia25,Dia26,Dia27,Dia28,Dia29,Dia30,Dia31
Juazeiro do Norte,1974,1,262.0,8.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,10.0,0.0,0.0,27.0,0.0,17.0,51.0,0.0,126.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
Juazeiro do Norte,1974,2,249.0,8.89,0.0,65.0,0.0,0.0,11.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,10.0,30.0,15.0,0.0,10.0,4.0,8.0,0.0,0.0,0.0,40.0,30.0,0.0,0.0,2.0,0.0,0.0,0.0
Juazeiro do Norte,1974,3,286.0,9.23,27.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,80.0,0.0,45.0,10.0,0.0,0.0,19.0,0.0,0.0,12.0,0.0,0.0,33.0,0.0,9.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0
Juazeiro do Norte,1974,4,185.0,6.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,8.0,40.0,0.0,0.0,0.0,32.0,0.0,42.0,26.0,0.0,0.0,0.0,0.0,7.0,0.0,8.0,0.0,9.0,3.0,0.0
Juazeiro do Norte,1974,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Juazeiro do Norte,1974,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Juazeiro do Norte,1974,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Juazeiro do Norte,1974,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Juazeiro do Norte,1974,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Juazeiro do Norte,1974,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Juazeiro do Norte,1974,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Juazeiro do Norte,1974,12,48.0,1.55,0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Juazeiro do Norte,1975,1,193.0,6.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,56.0,19.0,55.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Juazeiro do Norte,1975,2,88.0,3.14,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0
Juazeiro do Norte,1975,3,209.0,6.74,0.0,0.0,0.0,10.0,10.0,14.0,20.0,14.0,21.0,6.0,15.0,0.0,13.0,0.0,0.0,4.0,43.0,0.0,0.0,0.0,13.0,13.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0
Juazeiro do Norte,1975,4,117.0,3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,8.0,22.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,15.0,20.0,0.0,0.0,15.0,0.0,3.0,0.0,0.0
