Municipios,Ano,Mes,Total,Media,Dia1,Dia2,Dia3,Dia4,Dia5,Dia6,Dia7,Dia8,Dia9,Dia10,Dia11,Dia12,Dia13,Dia14,Dia15,Dia16,Dia17,Dia18,Dia19,Dia20,Dia21,Dia22,Dia23,Dia24,Dia25,Dia26,Dia27,Dia28,Dia29,Dia30,Dia31
Maracanaú,1974,1,254.2,8.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,12.0,8.0,6.2,0.0,15.0,13.0,0.0,0.0,19.0,5.0,1.0,9.0,30.0,17.0,75.0,25.0,5.0,10.0
Maracanaú,1974,2,202.0,7.21,30.0,20.0,10.0,18.0,12.0,8.0,5.0,17.0,3.0,0.0,19.0,0.0,6.0,0.0,0.0,0.0,0.0,4.0,9.0,0.0,0.0,6.0,0.0,8.0,14.0,4.0,0.0,9.0,0.0,0.0,0.0
Maracanaú,1974,3,498.1,16.07,23.0,111.0,13.0,0.0,0.0,0.0,6.1,56.0,6.0,51.0,6.0,57.0,0.0,9.0,0.0,0.0,8.0,0.0,16.0,0.0,15.0,0.0,19.0,0.0,45.0,20.0,0.0,12.0,0.0,0.0,25.0
Maracanaú,1974,4,407.0,13.57,7.0,42.0,10.0,3.0,0.0,15.0,0.0,0.0,6.0,0.0,15.0,42.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,16.0,8.0,0.0,70.0,6.0,14.0,75.0,20.0,15.0,0.0,20.0,0.0
Maracanaú,1974,5,335.0,10.81,105.0,0.0,12.0,15.0,0.0,5.0,0.0,0.0,0.0,8.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,46.0,6.0,0.0,20.0,0.0,0.0,0.0,52.0,0.0,25.0
Maracanaú,1974,6,363.0,12.1,15.0,10.0,0.0,0.0,5.0,0.0,8.0,0.0,30.0,12.0,18.0,0.0,0.0,36.0,0.0,42.0,0.0,0.0,0.0,50.0,0.0,0.0,7.0,15.0,0.0,0.0,45.0,15.0,55.0,0.0,0.0
Maracanaú,1974,7,31.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,5.0,0.0,0.0,0.0,8.0,0.0,0.0,6.0
Maracanaú,1974,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Maracanaú,1974,9,20.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,5.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
Maracanaú,1974,10,21.0,0.68,0.0,0.0,0.0,4.0,0.0,0.0,0.0,3.0,12.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
