Municipios,Ano,Mes,Total,Media,Dia1,Dia2,Dia3,Dia4,Dia5,Dia6,Dia7,Dia8,Dia9,Dia10,Dia11,Dia12,Dia13,Dia14,Dia15,Dia16,Dia17,Dia18,Dia19,Dia20,Dia21,Dia22,Dia23,Dia24,Dia25,Dia26,Dia27,Dia28,Dia29,Dia30,Dia31
Massapê,1974,1,260.4,8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.6,0.0,0.0,7.4,0.0,155.0,0.0,14.2,0.0,15.5,0.0,8.0,2.5,0.0,2.5,38.0,7.2,0.0,0.0,1.5
Massapê,1974,2,199.4,7.12,45.3,7.6,25.9,16.7,0.7,0.0,7.2,0.6,0.0,0.0,3.6,21.5,2.5,5.8,0.0,1.3,5.2,0.0,4.5,25.6,7.2,8.2,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0
Massapê,1974,3,240.5,7.76,0.0,0.0,0.0,18.4,4.0,0.0,0.0,0.0,0.0,0.0,20.4,0.0,4.6,30.4,4.8,0.0,6.0,22.0,26.0,34.0,3.5,11.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,4.4,11.0
Massapê,1974,4,390.1,13.0,30.6,4.2,12.5,24.3,0.2,9.0,1.3,31.2,1.2,62.3,13.4,0.0,11.6,0.8,52.4,7.0,0.0,21.2,5.4,0.3,11.1,21.2,19.3,7.0,4.6,31.2,0.0,4.6,2.2,0.0,0.0
Massapê,1974,5,411.4,13.27,65.2,15.8,28.0,13.6,0.0,0.0,29.6,4.8,5.2,5.3,12.8,53.6,2.8,17.0,11.4,0.2,5.6,0.0,32.5,0.4,0.0,12.8,0.0,0.0,15.0,9.0,39.0,5.8,2.0,24.0,0.0
Massapê,1974,6,59.2,1.97,12.6,0.0,11.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0
Massapê,1974,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Massapê,1974,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Massapê,1974,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Massapê,1974,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Massapê,1974,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
