Municipios,Ano,Mes,Total,Media,Dia1,Dia2,Dia3,Dia4,Dia5,Dia6,Dia7,Dia8,Dia9,Dia10,Dia11,Dia12,Dia13,Dia14,Dia15,Dia16,Dia17,Dia18,Dia19,Dia20,Dia21,Dia22,Dia23,Dia24,Dia25,Dia26,Dia27,Dia28,Dia29,Dia30,Dia31
Milagres,1974,1,129.1,4.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9,0.0,0.0,0.0,0.0,0.0,0.0,13.5,0.0,13.1,2.9,22.7,20.0,25.5,0.0,18.6,0.0,0.0,0.0,6.9,0.0,2.0,0.0
Milagres,1974,2,356.3,12.72,0.0,32.0,0.0,0.0,52.4,15.5,25.4,28.0,9.8,0.0,0.0,0.0,5.3,26.0,14.8,12.0,0.0,94.0,4.0,4.0,1.2,6.3,0.0,0.0,9.7,1.5,8.0,6.4,0.0,0.0,0.0
Milagres,1974,3,339.5,10.95,6.4,11.2,15.2,4.7,0.0,0.0,10.5,11.9,18.8,78.0,5.3,47.0,3.4,32.4,2.0,0.0,0.0,5.9,3.5,0.7,1.1,27.0,4.9,0.0,49.0,0.2,0.0,0.0,0.0,0.4,0.0
Milagres,1974,4,192.5,6.42,0.0,0.0,0.0,2.8,17.8,1.7,0.0,0.0,4.6,0.0,4.7,29.0,30.0,0.0,0.0,0.4,36.0,16.8,3.0,0.0,11.0,2.1,0.0,4.5,3.0,0.0,12.5,10.8,1.8,0.0,0.0
Milagres,1974,5,43.8,1.41,1.0,0.0,0.0,0.0,0.0,3.0,3.0,5.0,4.5,9.9,0.0,0.0,9.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Milagres,1974,6,8.9,0.3,0.0,0.0,0.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,7.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Milagres,1974,7,21.8,0.7,0.0,0.0,0.6,0.0,0.0,0.0,13.2,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Milagres,1974,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Milagres,1974,9,30.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Milagres,1974,10,9.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Milagres,1974,11,22.3,0.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.8,0.0,0.0,0.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Milagres,1974,12,30.2,0.97,0.0,0.0,0.0,6.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0
Milagres,1975,1,151.6,4.89,0.0,0.0,0.0,0.0,0.0,2.5,0.8,4.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.4,14.2,35.0,5.0,45.0,0.0,0.0,1.2,0.0,12.7,0.0,1.6,13.0
Milagres,1975,2,184.4,6.59,1.0,23.0,3.9,0.0,10.1,0.0,0.0,7.4,0.0,0.0,31.2,0.8,8.0,0.0,0.0,14.0,15.0,0.0,0.0,0.0,0.0,0.0,19.0,28.0,0.0,6.0,17.0,0.0,0.0,0.0,0.0
Milagres,1975,3,271.8,8.77,1.7,9.5,6.3,16.4,2.0,21.6,44.8,0.5,3.4,9.6,0.0,0.0,1.9,6.0,1.0,3.2,77.2,0.9,0.0,0.0,0.0,3.9,3.9,0.0,28.2,0.0,14.2,0.0,11.4,0.0,4.2
Milagres,1975,4,96.0,3.2,0.0,0.0,0.0,0.0,11.8,0.0,0.0,0.0,0.0,0.0,44.0,2.0,0.0,8.3,0.0,2.2,0.0,0.0,0.0,0.0,0.0,8.0,1.3,1.0,7.0,0.0,4.4,0.5,5.5,0.0,0.0
Milagres,1975,5,46.4,1.5,0.0,10.2,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,13.0,4.3,0.0,9.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Milagres,1975,6,72.6,2.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.2,0.0,0.0,0.0,0.0,0.0,0.0,16.0,6.3,0.0,0.0,0.0,0.0,0.0,15.1,0.0,0.0,25.0,0.0,0.0
Milagres,1975,7,49.4,1.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,16.4,0.0,0.0,10.0,13.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Milagres,1975,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Milagres,1975,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Milagres,1975,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Milagres,1975,11,2.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
Milagres,1975,12,54.7,1.76,0.0,0.0,0.0,0.0,0.0,34.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,6.5,0.0,4.7
Milagres,1976,1,40.7,1.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,35.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Milagres,1976,2,298.4,10.29,42.0,41.0,20.0,11.4,0.0,0.0,16.0,0.0,0.0,0.0,0.0,40.4,48.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,16.4,0.0,0.0,9.2,0.0,0.0,0.0
Milagres,1976,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Milagres,1976,4,136.0,4.53,14.0,22.0,18.2,3.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,15.6,0.0,1.5,45.0,0.0,0.0,0.0,0.0,0.0,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Milagres,1976,5,23.6,0.76,0.0,0.0,0.0,5.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.5,0.0,0.0,0.0,0.0,5.8,0.0,0.0,0.0,0.0,3.5,0.0,0.0
Milagres,1976,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
