Municipios,Ano,Mes,Total,Media,Dia1,Dia2,Dia3,Dia4,Dia5,Dia6,Dia7,Dia8,Dia9,Dia10,Dia11,Dia12,Dia13,Dia14,Dia15,Dia16,Dia17,Dia18,Dia19,Dia20,Dia21,Dia22,Dia23,Dia24,Dia25,Dia26,Dia27,Dia28,Dia29,Dia30,Dia31
Morada Nova,1974,1,205.9,6.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,5.0,0.0,34.0,19.4,3.4,12.8,12.6,13.2,7.0,0.0,5.2,0.0,0.0,0.0,1.8,15.2,3.2,20.1,18.0
Morada Nova,1974,2,104.2,3.72,2.6,0.0,0.0,7.2,0.0,0.0,0.0,1.6,0.0,0.0,0.0,0.0,6.4,0.0,0.0,0.0,6.8,17.4,18.4,5.8,0.0,0.4,0.0,0.0,30.8,6.8,0.0,0.0,0.0,0.0,0.0
Morada Nova,1974,3,261.2,8.43,1.0,4.0,6.8,0.8,1.8,0.0,0.0,10.8,37.2,17.8,3.0,20.0,1.0,2.8,1.4,0.0,3.8,11.4,10.6,8.4,42.6,4.4,18.4,18.2,2.0,4.6,0.0,0.0,28.4,0.0,0.0
Morada Nova,1974,4,216.2,7.21,14.2,11.2,0.0,0.6,0.0,0.0,0.0,4.8,5.2,12.6,0.6,0.0,11.6,13.0,0.4,2.6,1.2,8.6,13.0,0.0,10.2,3.4,0.0,14.0,12.0,16.0,8.2,25.0,0.0,27.8,0.0
Morada Nova,1974,5,219.4,7.08,1.8,0.0,2.6,0.0,1.2,0.0,0.0,7.6,10.0,1.4,1.6,15.2,8.2,27.4,0.0,22.8,3.8,6.0,0.0,0.0,0.0,0.0,0.0,51.0,2.0,23.0,0.0,1.8,23.2,8.4,0.4
Morada Nova,1974,6,47.9,1.6,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8,2.4,11.8,8.8,0.8,13.4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3,0.0
Morada Nova,1974,7,24.6,0.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0,13.4,8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Morada Nova,1974,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Morada Nova,1974,9,58.0,1.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Morada Nova,1974,10,2.4,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
