Municipios,Ano,Mes,Total,Media,Dia1,Dia2,Dia3,Dia4,Dia5,Dia6,Dia7,Dia8,Dia9,Dia10,Dia11,Dia12,Dia13,Dia14,Dia15,Dia16,Dia17,Dia18,Dia19,Dia20,Dia21,Dia22,Dia23,Dia24,Dia25,Dia26,Dia27,Dia28,Dia29,Dia30,Dia31
Nova Olinda,1974,1,264.3,8.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,2.8,25.0,0.0,137.0,2.0,9.0,2.1,15.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,24.0,33.4
Nova Olinda,1974,2,318.2,11.36,0.0,9.0,0.0,0.0,17.2,13.0,0.0,82.5,45.0,0.0,0.0,0.0,22.0,35.0,5.5,9.0,0.0,16.0,0.0,0.0,8.0,0.0,32.0,0.0,24.0,0.0,0.0,0.0,,,
Nova Olinda,1974,3,264.8,8.54,7.0,0.0,4.5,10.0,0.0,0.0,8.0,6.0,35.0,18.5,4.0,7.0,34.0,7.0,0.0,0.0,0.0,0.0,6.1,20.8,4.0,40.5,9.0,0.0,14.9,0.0,0.0,0.0,28.5,0.0,0.0
Nova Olinda,1974,4,459.5,15.32,7.0,5.0,75.0,23.0,56.5,0.0,4.0,0.0,0.0,3.2,0.0,28.0,67.0,0.0,0.0,0.0,14.0,36.2,57.0,47.2,0.0,12.0,9.2,4.0,5.2,0.0,6.0,0.0,0.0,0.0,
Nova Olinda,1974,5,60.2,1.94,5.2,2.0,5.0,0.0,0.0,24.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
Nova Olinda,1974,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Nova Olinda,1974,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nova Olinda,1974,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nova Olinda,1974,9,21.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Nova Olinda,1974,10,17.0,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nova Olinda,1974,11,23.0,0.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,11.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Nova Olinda,1974,12,144.0,4.65,0.0,25.0,0.0,27.0,0.0,65.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0
Nova Olinda,1975,1,251.5,8.11,0.0,0.0,0.0,0.0,0.0,0.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,20.0,0.0,156.0,18.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,25.5,0.0,13.5
Nova Olinda,1975,2,119.5,4.27,0.0,0.0,21.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,5.0,7.0,0.0,0.0,0.0,26.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,4.5,0.0,36.0,10.0,,,
Nova Olinda,1975,3,333.5,10.76,10.0,53.0,3.0,2.8,1.0,32.0,12.2,17.0,0.0,51.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,18.0,0.0,4.0,0.0,1.0,0.0,10.0,20.0,1.5,40.0,25.0,0.0,0.0,0.0
