Municipios,Ano,Mes,Total,Media,Dia1,Dia2,Dia3,Dia4,Dia5,Dia6,Dia7,Dia8,Dia9,Dia10,Dia11,Dia12,Dia13,Dia14,Dia15,Dia16,Dia17,Dia18,Dia19,Dia20,Dia21,Dia22,Dia23,Dia24,Dia25,Dia26,Dia27,Dia28,Dia29,Dia30,Dia31
Orós,1978,1,83.5,2.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,31.6,0.0,22.2,0.0,5.8,6.4,0.0,0.0,0.0,0.0,0.7,0.0,0.0,4.8,0.0,0.0,0.0,0.0
Orós,1978,2,164.3,5.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6,0.0,5.0,103.2,6.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.6,0.0,34.6,0.0,0.0,0.0
Orós,1978,3,187.8,6.06,29.0,34.8,10.5,8.3,49.8,0.0,9.6,0.0,0.0,0.0,0.0,1.8,0.0,0.0,30.6,0.0,4.2,0.0,0.0,0.0,0.0,0.0,9.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Orós,1978,4,232.0,7.73,0.0,0.4,4.7,0.0,0.0,3.8,4.7,0.0,42.3,30.8,22.4,4.0,10.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.8,24.5,0.0,0.0,0.0,0.0,45.6,0.0,24.7,0.0
Orós,1978,5,146.0,4.71,0.0,8.6,16.1,2.0,3.0,0.0,0.0,0.0,5.2,0.0,0.9,20.6,17.8,0.0,5.5,0.0,2.3,0.0,0.0,59.7,4.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Orós,1978,6,35.3,1.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2,11.1,14.3,0.0,0.0,0.0
Orós,1978,7,44.7,1.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,25.3,0.0,0.0
Orós,1978,8,11.4,0.37,0.0,0.0,0.0,0.0,0.0,0.0,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Orós,1978,9,20.6,0.69,0.0,0.0,0.0,0.0,20.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Orós,1978,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Orós,1978,11,48.6,1.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.6,0.0,0.0,0.0,0.0,0.0
Orós,1978,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Orós,1979,1,148.1,4.78,0.0,0.0,0.0,5.1,0.0,0.0,0.0,3.2,0.0,0.0,0.0,0.0,0.0,0.0,17.6,0.0,38.7,0.0,0.0,0.0,0.0,0.0,65.4,5.6,3.9,3.5,5.1,0.0,0.0,0.0,0.0
