Municipios,Ano,Mes,Total,Media,Dia1,Dia2,Dia3,Dia4,Dia5,Dia6,Dia7,Dia8,Dia9,Dia10,Dia11,Dia12,Dia13,Dia14,Dia15,Dia16,Dia17,Dia18,Dia19,Dia20,Dia21,Dia22,Dia23,Dia24,Dia25,Dia26,Dia27,Dia28,Dia29,Dia30,Dia31
Palmácia,1979,1,125.5,4.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,18.0,2.5,37.0,0.0,16.0,0.0,4.0,6.0,9.0,0.0,0.0,15.0,3.0,0.0,0.0
Palmácia,1979,2,160.5,5.73,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,6.0,12.0,23.0,0.0,0.0,62.0,43.5,0.0,0.0,0.0
Palmácia,1979,3,217.3,7.01,0.0,10.0,0.0,15.0,0.0,0.0,0.0,15.0,0.0,0.0,13.0,10.0,15.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2,0.0,0.0,1.2,16.8,2.0,13.2,37.8,15.1,0.0,0.0
Palmácia,1979,4,221.0,7.37,0.0,0.0,0.0,2.2,0.6,2.8,0.0,0.1,0.0,0.0,0.0,2.3,0.0,0.0,1.6,0.0,0.0,88.7,1.3,15.5,2.7,0.0,17.2,0.0,8.0,2.0,1.0,0.0,75.0,0.0,0.0
Palmácia,1979,5,147.5,4.76,0.0,0.9,0.0,14.4,1.6,0.0,1.0,0.0,2.0,0.0,22.0,11.0,2.2,32.8,4.4,0.0,15.0,9.8,16.6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,11.2,0.6,0.0
Palmácia,1979,6,86.2,2.87,23.1,0.0,3.4,0.0,0.0,0.0,0.0,18.2,0.0,32.8,0.0,4.4,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8,0.0,0.0,0.0,0.0,0.0,0.0
Palmácia,1979,7,17.9,0.58,6.3,0.0,0.0,0.0,0.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
Palmácia,1979,8,26.2,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,3.2,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0
Palmácia,1979,9,66.2,2.21,0.0,0.0,7.0,12.0,28.0,8.0,0.0,7.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Palmácia,1979,10,5.7,0.18,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
Palmácia,1979,11,26.4,0.88,0.0,0.0,0.0,0.0,0.0,0.0,1.6,22.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Palmácia,1979,12,2.6,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0
Palmácia,1980,1,149.9,4.84,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,58.0,1.4,0.0,32.0,13.6,11.4,0.0,0.0,32.4,0.4,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Palmácia,1980,2,417.6,14.4,0.0,0.0,0.0,0.0,0.0,1.6,0.0,14.2,13.4,2.2,0.0,0.0,0.0,5.0,25.0,5.0,0.0,27.2,78.0,3.0,14.0,25.8,6.6,46.0,39.6,66.0,1.0,22.0,22.0,0.0,0.0
Palmácia,1980,3,239.7,7.73,0.0,0.0,1.0,2.0,4.2,0.0,110.6,2.0,1.0,1.4,0.0,41.0,32.0,2.4,7.2,7.0,15.1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,2.0,2.8,0.0,0.0
