Municipios,Ano,Mes,Total,Media,Dia1,Dia2,Dia3,Dia4,Dia5,Dia6,Dia7,Dia8,Dia9,Dia10,Dia11,Dia12,Dia13,Dia14,Dia15,Dia16,Dia17,Dia18,Dia19,Dia20,Dia21,Dia22,Dia23,Dia24,Dia25,Dia26,Dia27,Dia28,Dia29,Dia30,Dia31
Paraipaba,1989,1,138.2,4.46,2.5,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.5,15.5,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,7.4,49.0,8.3,0.0,18.0,0.0,0.0,0.0,0.0
Paraipaba,1989,2,102.1,3.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,3.2,17.4,10.0,0.0,0.0,0.0,0.0,41.4,4.2,0.0,0.0,9.5,0.0,3.8,2.6,,,
Paraipaba,1989,3,360.2,11.62,0.0,0.0,27.5,0.0,17.0,10.0,0.0,18.5,0.0,0.0,6.2,0.0,30.5,31.8,0.0,0.0,52.8,44.6,0.0,13.7,0.0,10.8,0.0,0.0,15.8,0.0,32.8,3.7,0.0,0.0,44.5
Paraipaba,1989,4,309.3,10.31,0.0,0.0,15.7,0.0,0.0,10.0,16.2,0.0,0.0,27.8,18.7,3.8,30.4,29.6,8.5,0.0,0.0,4.5,11.8,0.0,22.2,0.0,0.0,10.0,35.6,18.0,16.3,5.0,25.2,0.0,
Paraipaba,1989,5,254.7,8.22,41.2,0.0,4.7,31.0,0.0,24.8,0.0,16.0,1.3,0.0,12.7,9.6,9.7,0.0,29.2,0.0,0.0,0.0,18.2,0.0,0.0,0.0,0.0,26.2,14.2,0.0,0.0,0.0,9.4,6.5,0.0
Paraipaba,1989,6,203.8,6.79,0.0,2.8,41.5,0.0,0.9,0.0,0.0,0.0,0.0,2.5,0.0,3.2,6.4,11.0,20.7,12.5,4.7,0.0,0.0,40.0,0.0,0.0,0.4,0.0,0.0,0.0,24.0,33.2,0.0,0.0,
Paraipaba,1989,7,17.8,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5,0.0,6.5,3.8,0.0,0.0,0.0,0.0
Paraipaba,1989,8,16.7,0.54,0.0,0.0,0.0,15.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Paraipaba,1989,9,2.3,0.08,0.0,0.0,0.0,0.0,0.0,0.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Paraipaba,1989,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
