Municipios,Ano,Mes,Total,Media,Dia1,Dia2,Dia3,Dia4,Dia5,Dia6,Dia7,Dia8,Dia9,Dia10,Dia11,Dia12,Dia13,Dia14,Dia15,Dia16,Dia17,Dia18,Dia19,Dia20,Dia21,Dia22,Dia23,Dia24,Dia25,Dia26,Dia27,Dia28,Dia29,Dia30,Dia31
Pedra Branca,1974,1,188.0,6.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.2,0.0,0.0,0.0,0.0,0.0,11.0,56.2,11.2,9.0,26.3,0.0,0.0,0.0,0.0,8.0,35.0,0.0,23.1,2.0
Pedra Branca,1974,2,146.4,5.23,8.0,20.0,0.0,6.4,16.6,0.0,0.0,0.0,10.0,0.0,0.0,0.0,21.2,0.0,0.0,0.0,0.0,0.0,7.2,2.8,0.0,0.0,0.2,1.8,45.0,0.0,7.2,0.0,0.0,0.0,0.0
Pedra Branca,1974,3,413.2,13.33,4.1,2.1,1.0,11.4,0.0,13.2,1.2,2.0,20.1,75.0,1.1,64.2,16.0,7.3,11.2,0.0,9.0,2.0,3.0,0.0,15.4,34.3,20.0,43.0,5.4,26.0,0.0,3.2,22.0,0.0,0.0
Pedra Branca,1974,4,391.4,13.05,2.0,0.0,0.0,0.0,69.4,0.0,33.0,29.0,31.0,0.0,0.0,6.0,62.2,1.6,0.3,0.0,23.3,0.3,0.0,23.0,52.0,6.0,0.0,5.0,21.0,18.2,2.1,0.0,6.0,0.0,0.0
Pedra Branca,1974,5,168.3,5.43,0.0,1.4,10.4,0.0,7.4,8.0,4.1,7.0,3.0,2.0,27.0,11.2,11.4,9.4,0.0,8.0,0.0,15.3,0.0,0.0,0.0,1.0,4.0,13.2,2.1,3.0,0.0,9.0,2.3,8.1,0.0
Pedra Branca,1974,6,64.6,2.15,16.3,0.0,0.0,0.0,4.4,16.1,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,1.6,0.0,3.2,0.0,0.2,0.0,0.0,1.2,14.0,2.0,0.0
Pedra Branca,1974,7,45.0,1.45,0.0,0.0,0.0,0.0,0.0,0.0,18.8,10.0,0.0,0.0,1.5,0.0,0.0,0.0,0.3,12.0,0.0,0.0,0.4,0.6,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0
Pedra Branca,1974,8,12.1,0.39,2.4,1.6,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,1.8,0.0,0.1,4.8,0.6
Pedra Branca,1974,9,50.9,1.7,0.0,11.4,0.0,0.4,0.0,0.0,0.2,0.0,0.0,0.0,0.6,0.4,0.0,0.0,0.0,0.0,0.6,29.0,8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pedra Branca,1974,10,15.0,0.48,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,10.0,0.6,2.2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0
