Municipios,Ano,Mes,Total,Media,Dia1,Dia2,Dia3,Dia4,Dia5,Dia6,Dia7,Dia8,Dia9,Dia10,Dia11,Dia12,Dia13,Dia14,Dia15,Dia16,Dia17,Dia18,Dia19,Dia20,Dia21,Dia22,Dia23,Dia24,Dia25,Dia26,Dia27,Dia28,Dia29,Dia30,Dia31
Quixeramobim,1973,5,17.0,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,5.0,0.0,2.0,2.0,0.0,0.0
Quixeramobim,1973,6,58.9,1.96,0.0,0.0,6.0,0.0,5.0,0.0,0.0,0.0,0.0,16.0,3.0,0.0,0.0,5.8,13.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8,3.3,0.0,0.0,0.0,0.0
Quixeramobim,1973,7,38.5,1.24,6.6,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,5.9,0.0,0.0,0.0
Quixeramobim,1973,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Quixeramobim,1973,9,57.0,1.9,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Quixeramobim,1973,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Quixeramobim,1973,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Quixeramobim,1973,12,8.0,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Quixeramobim,1974,1,144.8,4.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,6.1,0.0,6.0,0.0,16.5,27.95,43.5,0.0,5.0,0.0,0.0,0.0,0.0,43.0,8.75,0.0,15.0
Quixeramobim,1974,2,112.65,4.02,21.0,5.0,9.0,0.0,4.0,0.0,10.0,0.0,0.0,0.0,8.0,0.0,3.0,0.0,0.0,0.0,10.0,28.5,16.75,0.0,0.0,0.0,5.0,16.8,0.0,13.0,20.0,0.0,0.0,0.0,0.0
Quixeramobim,1974,3,405.5,13.080000000000002,6.0,0.0,45.0,5.0,0.0,0.0,7.5,8.0,54.0,64.0,39.0,14.0,12.0,0.0,0.0,5.0,68.0,0.0,0.0,33.0,26.0,34.0,72.0,61.0,32.0,0.0,0.0,46.5,0.0,0.0,0.0
Quixeramobim,1974,4,262.95,8.765,25.0,4.0,9.0,16.7,0.0,22.8,0.0,21.9,0.0,36.4,9.0,102.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,23.5,9.0,23.0,18.4,15.7,24.0,0.0,13.0,0.0,0.0,0.0
Quixeramobim,1974,5,204.15,6.585,13.0,0.0,0.0,0.0,0.0,0.0,40.6,0.0,0.0,26.4,0.0,9.0,21.2,0.0,0.0,20.0,0.0,9.0,0.0,0.0,0.0,0.0,34.0,19.0,6.7,0.0,39.4,4.0,9.0,50.0,0.0
Quixeramobim,1974,6,46.0,1.535,0.0,0.0,0.0,11.4,25.0,0.0,0.0,0.0,0.0,0.0,0.0,12.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0
Quixeramobim,1974,7,30.0,0.97,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0
Quixeramobim,1974,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Quixeramobim,1974,9,28.5,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
