Municipios,Ano,Mes,Total,Media,Dia1,Dia2,Dia3,Dia4,Dia5,Dia6,Dia7,Dia8,Dia9,Dia10,Dia11,Dia12,Dia13,Dia14,Dia15,Dia16,Dia17,Dia18,Dia19,Dia20,Dia21,Dia22,Dia23,Dia24,Dia25,Dia26,Dia27,Dia28,Dia29,Dia30,Dia31
Reriutaba,1974,1,202.5,6.535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,11.0,18.0,0.0,96.5,0.0,5.0,0.0,6.5,6.0,7.0,0.0,0.0,29.5,22.0,1.0,0.0,8.5,3.5
Reriutaba,1974,2,226.0,8.07,23.5,0.0,5.0,25.0,0.0,0.0,13.0,15.0,0.0,0.0,0.0,15.0,18.0,0.0,0.0,61.0,19.0,7.0,0.0,0.0,10.0,10.0,13.0,26.0,5.5,21.5,0.0,0.0,0.0,0.0,0.0
Reriutaba,1974,3,365.0,11.775,0.0,11.0,9.0,0.0,0.0,13.0,33.0,0.0,18.5,0.0,21.0,0.0,5.0,20.0,50.0,68.5,0.0,0.0,0.0,15.0,20.0,13.0,26.0,15.0,58.5,44.0,24.0,12.5,9.5,0.0,0.0
Reriutaba,1974,4,575.0,19.165,30.0,22.0,6.5,26.0,0.0,0.0,57.0,79.0,25.0,15.5,31.0,30.5,9.0,27.0,58.5,0.0,34.5,23.0,15.0,3.0,22.0,14.0,8.5,9.0,22.5,68.5,0.0,24.0,43.5,0.0,0.0
Reriutaba,1974,5,338.0,10.9,17.5,38.0,21.0,8.0,10.0,0.0,3.0,12.5,11.5,0.0,12.5,12.0,44.5,0.0,0.0,11.5,0.0,18.0,16.0,0.0,12.0,23.0,32.0,24.0,41.0,24.0,19.0,16.0,23.0,8.5,8.0
Reriutaba,1974,6,74.0,2.465,7.0,0.0,0.0,10.0,11.0,15.0,0.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,5.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,8.0,0.0,0.0
Reriutaba,1974,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Reriutaba,1974,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Reriutaba,1974,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Reriutaba,1974,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Reriutaba,1974,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Reriutaba,1974,12,29.0,0.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,7.0,11.0,0.0,0.0,0.0
Reriutaba,1975,1,130.0,4.195,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,16.0,3.0,0.0,17.0,29.5,23.5,0.0,0.0,0.0,0.0,0.0,5.0,5.0
Reriutaba,1975,2,243.0,8.68,0.0,29.0,31.0,51.0,23.0,1.0,0.0,0.0,0.0,0.0,35.5,10.0,10.0,18.0,8.5,11.0,13.0,17.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,27.0,17.0,0.0,0.0,0.0
Reriutaba,1975,3,203.0,6.545,11.0,13.0,0.0,3.0,8.0,15.0,11.0,18.5,18.0,2.0,4.0,27.0,27.0,16.0,2.0,0.0,0.0,8.0,0.0,27.0,10.0,22.0,0.0,25.0,4.0,10.0,5.0,0.0,0.0,0.0,0.0
Reriutaba,1975,4,200.5,6.685,0.0,11.5,7.0,19.0,0.0,0.0,0.0,7.0,0.0,0.0,15.0,6.0,10.0,4.0,36.0,25.0,0.0,33.0,3.0,10.0,15.0,13.0,14.5,19.0,11.5,22.0,17.0,12.0,8.0,4.0,0.0
Reriutaba,1975,5,214.0,6.904999999999999,0.0,0.0,9.0,11.0,41.0,16.0,0.0,6.0,16.0,38.0,4.0,0.0,19.0,3.0,0.0,0.0,0.0,23.5,60.0,47.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,10.0,15.0,11.5,13.0
Reriutaba,1975,6,66.0,2.2,0.0,0.0,34.0,7.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,23.0,19.0,0.0,0.0,0.0,0.0,0.0
Reriutaba,1975,7,53.0,1.71,0.0,0.0,0.0,0.0,25.0,12.0,0.0,0.0,0.0,11.0,0.0,0.0,12.0,0.0,0.0,0.0,11.0,6.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Reriutaba,1975,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Reriutaba,1975,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Reriutaba,1975,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Reriutaba,1975,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Reriutaba,1975,12,45.0,1.45,0.0,0.0,0.0,37.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Reriutaba,1976,1,66.0,2.13,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.5,9.0,0.0,6.0,0.0,5.0,0.0
Reriutaba,1976,2,185.5,6.395,0.0,0.0,4.0,0.0,21.0,22.0,34.0,7.0,13.0,0.0,0.0,31.5,0.0,2.0,4.5,0.0,10.0,33.0,0.0,5.0,5.0,20.0,32.5,8.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0
Reriutaba,1976,3,352.0,11.355,0.0,0.0,52.0,55.0,0.0,48.0,21.0,8.0,1.0,13.5,50.0,0.0,0.0,8.5,25.0,6.5,14.0,8.0,0.0,4.5,35.0,0.0,4.0,0.0,0.0,8.0,6.0,5.5,12.5,23.5,7.5
Reriutaba,1976,4,252.5,8.415,17.0,17.5,3.0,0.0,0.0,0.0,0.0,0.0,36.0,15.5,8.0,20.0,26.0,3.0,22.5,15.0,0.0,32.0,31.5,27.0,4.0,4.0,23.0,9.0,9.0,0.0,0.0,0.0,8.0,0.0,0.0
Reriutaba,1976,5,40.0,1.29,0.0,0.0,0.0,12.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,6.0,5.0,0.0,0.0,0.0
Reriutaba,1976,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Reriutaba,1976,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Reriutaba,1976,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Reriutaba,1976,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Reriutaba,1976,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Reriutaba,1976,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Reriutaba,1976,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Reriutaba,1977,1,247.5,7.984999999999999,7.0,0.0,0.0,0.0,48.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,8.5,0.0,0.0,0.0,0.0,0.0,7.0,16.5,8.0,0.0,27.5,46.5,83.0,0.0,0.0,9.0,14.5,14.0
Reriutaba,1977,2,110.5,3.95,16.0,17.0,0.0,0.0,8.0,0.0,23.0,10.0,22.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,13.0,29.0,18.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
Reriutaba,1977,3,301.25,9.72,0.0,0.0,15.0,27.0,41.5,8.0,0.0,0.0,21.0,7.0,6.0,6.0,0.0,0.0,0.0,11.0,7.0,45.0,32.0,42.25,19.0,32.0,0.0,0.0,0.0,15.5,7.0,8.0,12.0,11.0,23.0
Reriutaba,1977,4,86.5,2.8800000000000003,0.0,0.0,5.0,3.0,0.0,9.0,0.0,10.0,12.0,30.0,3.0,17.0,23.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,9.0,14.0,0.0,0.0
Reriutaba,1977,5,138.0,4.455,19.0,12.0,11.0,45.0,31.0,7.0,13.0,6.0,10.0,3.0,0.0,12.0,18.0,30.0,0.0,0.0,0.0,10.0,0.0,6.5,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Reriutaba,1977,6,75.0,2.5,0.0,0.0,0.0,34.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.5,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Reriutaba,1977,7,60.0,1.94,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0
Reriutaba,1977,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
