Municipios,Ano,Mes,Total,Media,Dia1,Dia2,Dia3,Dia4,Dia5,Dia6,Dia7,Dia8,Dia9,Dia10,Dia11,Dia12,Dia13,Dia14,Dia15,Dia16,Dia17,Dia18,Dia19,Dia20,Dia21,Dia22,Dia23,Dia24,Dia25,Dia26,Dia27,Dia28,Dia29,Dia30,Dia31
Russas,1974,1,230.4,7.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.6,47.4,0.0,0.0,14.4,4.0,12.8,0.0,1.4,0.0,1.0,31.8,0.0,11.0,0.0,1.2,81.0,9.6,0.0,0.0,0.2
Russas,1974,2,88.4,3.16,0.0,3.0,0.0,4.4,0.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.4,12.4,4.0,0.0,4.0,0.0,0.0,0.0,31.0,0.0,0.0,14.2,0.0,0.0,0.0,0.0
Russas,1974,3,155.6,5.02,12.8,0.0,4.2,8.4,0.0,1.0,19.0,0.0,24.8,8.8,0.0,6.4,0.0,8.0,0.0,4.2,0.0,0.0,9.8,6.0,0.0,8.2,5.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0,26.2
Russas,1974,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Russas,1974,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Russas,1974,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Russas,1974,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Russas,1974,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Russas,1974,9,9.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Russas,1974,10,1.3,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0
Russas,1974,11,41.2,1.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.2,0.0
Russas,1974,12,57.5,1.85,0.0,0.0,0.0,0.0,6.2,0.0,7.1,0.0,0.0,0.0,0.0,3.2,14.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Russas,1975,1,47.8,1.54,0.0,0.0,0.0,0.0,0.0,0.1,0.1,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.4,0.0,2.2,0.0,0.0,0.0,0.0,0.0,13.0,6.0,0.0
Russas,1975,2,98.6,3.52,0.0,0.0,2.1,0.0,0.0,0.0,0.0,0.0,1.0,2.4,4.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,4.0,15.4,24.1,0.0,0.0,13.1,2.4,14.3,15.2,0.0,0.0,0.0
Russas,1975,3,280.0,9.03,28.0,19.4,21.1,52.2,18.3,18.3,11.1,5.2,0.0,0.0,0.0,0.0,0.0,9.0,24.3,2.3,26.0,1.0,0.0,33.3,0.1,1.2,3.2,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
Russas,1975,4,141.9,4.73,0.0,5.4,5.0,0.0,0.0,1.4,0.0,0.0,0.0,25.1,5.0,0.0,0.0,0.0,0.0,0.4,0.4,2.1,0.0,2.2,12.3,6.4,24.0,49.4,2.0,0.0,0.2,0.4,0.2,0.0,0.0
Russas,1975,5,371.2,11.97,94.4,10.4,1.4,90.0,3.4,0.0,0.1,0.0,0.2,3.3,4.0,0.0,7.0,0.2,7.0,1.0,2.0,5.2,38.0,0.0,13.3,8.0,9.4,4.4,0.0,0.0,56.0,0.0,0.0,4.4,8.1
Russas,1975,6,133.6,4.45,0.1,46.1,11.0,0.0,7.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,17.0,3.4,3.2,0.0,0.0,0.0,10.0,0.0,3.6,0.0,0.0,17.0,0.0,0.0,0.0
Russas,1975,7,88.4,2.85,3.9,3.0,13.4,3.9,2.8,0.6,0.0,0.0,4.0,26.7,0.8,0.0,0.0,0.0,0.0,17.0,3.0,7.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,1.4,0.0,0.0,0.0,0.0
Russas,1975,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Russas,1975,9,13.8,0.46,0.0,0.0,0.0,0.0,0.0,13.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Russas,1975,10,3.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Russas,1975,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Russas,1975,12,13.3,0.43,0.0,0.0,0.0,0.0,10.9,2.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Russas,1976,1,47.7,1.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.6,1.2,5.4,0.0,0.0,0.0
Russas,1976,2,199.2,6.87,0.0,1.8,3.2,0.0,0.0,0.0,0.0,2.6,5.6,0.9,65.3,3.0,17.2,0.0,0.0,0.0,11.3,0.0,0.0,0.0,0.0,3.6,18.3,48.4,0.0,0.0,18.0,0.0,0.0,0.0,0.0
Russas,1976,3,136.7,4.41,0.0,0.0,2.8,31.0,1.0,0.0,31.0,3.0,2.0,1.0,2.3,0.0,5.0,8.2,0.0,0.0,0.0,0.0,0.0,0.0,5.8,4.9,0.0,10.3,0.0,0.0,0.0,4.0,15.0,2.6,6.8
Russas,1976,4,86.2,2.87,9.0,2.8,0.0,0.0,0.0,4.5,7.2,0.0,4.5,2.0,13.8,7.0,0.0,4.0,2.6,0.0,0.0,2.0,0.0,0.0,0.0,0.0,11.5,7.9,0.4,0.0,0.0,0.0,7.0,0.0,0.0
Russas,1976,5,3.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.4,0.0,0.0,0.2,0.0,0.0,0.6,0.0,0.0,0.0
Russas,1976,6,13.4,0.45,0.0,0.0,0.0,1.5,0.0,0.0,6.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Russas,1976,7,6.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0
Russas,1976,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Russas,1976,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Russas,1976,10,4.6,0.15,0.0,0.0,0.0,0.0,0.0,4.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Russas,1976,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Russas,1976,12,10.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
