Municipios,Ano,Mes,Total,Media,Dia1,Dia2,Dia3,Dia4,Dia5,Dia6,Dia7,Dia8,Dia9,Dia10,Dia11,Dia12,Dia13,Dia14,Dia15,Dia16,Dia17,Dia18,Dia19,Dia20,Dia21,Dia22,Dia23,Dia24,Dia25,Dia26,Dia27,Dia28,Dia29,Dia30,Dia31
Saboeiro,1977,1,45.0,1.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0
Saboeiro,1977,2,221.0,7.89,0.0,0.0,0.0,22.0,8.0,10.0,0.0,15.0,15.0,0.0,12.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,2.0,7.0,0.0,0.0,21.0,13.0,44.0,8.0,0.0,0.0,0.0
Saboeiro,1977,3,133.0,4.29,0.0,0.0,0.0,0.0,29.0,6.0,0.0,0.0,10.0,0.0,10.0,13.0,0.0,0.0,0.0,14.0,0.0,0.0,7.0,0.0,7.0,0.0,0.0,17.0,0.0,0.0,17.0,0.0,0.0,0.0,3.0
Saboeiro,1977,4,167.0,5.57,14.0,0.0,0.0,5.0,0.0,4.0,0.0,19.0,0.0,0.0,0.0,12.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,55.0,0.0,12.0,0.0
Saboeiro,1977,5,66.0,2.13,9.8,0.0,10.0,0.0,14.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0
Saboeiro,1977,6,55.8,1.86,0.0,0.0,0.0,18.0,0.0,15.0,0.0,0.0,9.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Saboeiro,1977,7,30.0,0.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Saboeiro,1977,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Saboeiro,1977,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Saboeiro,1977,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
