Municipios,Ano,Mes,Total,Media,Dia1,Dia2,Dia3,Dia4,Dia5,Dia6,Dia7,Dia8,Dia9,Dia10,Dia11,Dia12,Dia13,Dia14,Dia15,Dia16,Dia17,Dia18,Dia19,Dia20,Dia21,Dia22,Dia23,Dia24,Dia25,Dia26,Dia27,Dia28,Dia29,Dia30,Dia31
Santa Quitéria,1974,1,316.9,10.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.3,0.6,2.6,0.0,1.3,40.8,0.1,78.8,0.1,0.0,17.1,67.3,0.0,0.8,0.0,3.0,31.0,65.0,0.0,1.1,0.0
Santa Quitéria,1974,2,24.0,0.86,0.0,0.0,0.0,0.0,4.1,1.3,0.0,9.0,2.3,0.0,1.1,0.0,0.0,0.0,0.0,6.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Santa Quitéria,1974,3,426.0,13.74,0.0,0.0,2.8,9.0,0.0,9.2,2.1,5.2,0.0,0.7,83.0,1.4,41.0,44.6,0.0,2.0,7.0,0.0,16.2,62.0,12.6,66.2,1.2,0.0,55.4,0.0,0.4,4.0,0.0,0.0,0.0
Santa Quitéria,1974,4,544.2,18.14,3.0,17.4,19.8,5.4,19.4,75.0,30.4,31.2,4.0,4.1,10.1,23.8,22.6,3.2,45.8,12.4,70.8,6.0,1.0,5.4,0.0,18.6,4.4,15.4,10.6,3.2,26.0,0.0,5.8,49.4,0.0
Santa Quitéria,1974,5,270.8,8.74,31.0,4.2,25.0,2.4,16.8,0.0,20.2,28.6,51.4,5.0,0.0,7.4,4.4,2.6,4.2,1.8,32.0,0.0,3.8,0.0,0.0,0.8,0.8,0.0,3.6,0.0,8.4,0.8,1.0,12.2,2.4
Santa Quitéria,1974,6,21.4,0.71,0.0,1.2,0.0,0.0,10.2,0.4,0.0,0.0,0.0,1.2,0.0,0.0,0.0,2.1,0.0,0.0,1.4,0.0,1.0,0.0,0.0,0.8,0.0,0.0,1.0,0.0,2.1,0.0,0.0,0.0,0.0
Santa Quitéria,1974,7,4.9,0.16,1.3,0.0,0.0,0.0,1.2,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Santa Quitéria,1974,8,0.8,0.03,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Santa Quitéria,1974,9,3.8,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8,0.0,0.6,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Santa Quitéria,1974,10,4.8,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.0
Santa Quitéria,1974,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Santa Quitéria,1974,12,10.4,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.8,0.0,0.0,0.0,1.2,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0
Santa Quitéria,1975,1,51.7,1.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,1.3,0.0,0.0,31.0,9.5,0.0,0.0,0.0,0.2,6.3,1.1,2.0,0.0
Santa Quitéria,1975,2,125.8,4.49,4.8,15.2,16.4,0.0,0.0,0.0,0.0,2.8,4.2,0.0,0.0,0.0,10.6,7.8,5.0,0.0,0.0,4.4,0.0,4.0,0.0,0.0,48.0,0.0,0.0,2.6,0.0,0.0,0.0,0.0,0.0
Santa Quitéria,1975,3,206.1,6.65,12.6,16.0,24.4,21.4,42.4,5.2,6.6,25.0,3.4,17.8,3.8,0.0,2.4,2.5,0.0,0.6,0.0,0.0,0.0,1.4,2.3,0.0,13.2,3.3,1.8,0.0,0.0,0.0,0.0,0.0,0.0
Santa Quitéria,1975,4,187.0,6.23,16.6,3.6,0.0,2.4,0.0,0.4,0.6,0.0,0.0,0.0,0.0,3.8,6.4,0.0,0.0,5.8,18.6,0.0,10.1,0.0,16.4,34.4,22.3,31.0,4.2,0.0,2.6,4.4,3.4,0.0,0.0
Santa Quitéria,1975,5,208.8,6.74,0.0,5.1,15.8,18.5,4.2,7.8,4.4,2.2,0.0,0.0,0.0,8.6,7.6,12.2,20.0,0.0,0.8,91.0,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,9.2,0.0,0.0,0.0,0.0
Santa Quitéria,1975,6,55.6,1.85,0.0,2.1,0.0,0.0,0.0,3.4,0.0,0.0,1.8,0.0,6.4,0.0,4.7,0.0,0.0,0.0,0.0,0.0,5.0,0.0,16.2,0.0,9.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0
Santa Quitéria,1975,7,21.0,0.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Santa Quitéria,1975,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Santa Quitéria,1975,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Santa Quitéria,1975,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Santa Quitéria,1975,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Santa Quitéria,1975,12,43.4,1.4,0.0,0.0,0.0,43.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Santa Quitéria,1976,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Santa Quitéria,1976,2,252.4,8.7,0.0,15.0,0.0,0.0,5.0,0.0,4.0,0.0,3.1,150.3,23.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,15.0,5.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Santa Quitéria,1976,3,214.9,6.93,27.0,0.0,40.0,46.0,0.0,0.0,43.0,0.0,0.0,5.2,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7,0.0,4.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,28.0,0.0,0.0
Santa Quitéria,1976,4,147.3,4.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,0.0,50.0,0.0,35.0,0.0,0.0,0.0,0.0,5.0,10.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Santa Quitéria,1976,5,77.0,2.48,0.0,0.0,10.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.2,6.8,0.0,14.0,4.0,0.0,0.0,0.0,0.0
Santa Quitéria,1976,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Santa Quitéria,1976,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Santa Quitéria,1976,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Santa Quitéria,1976,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Santa Quitéria,1976,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Santa Quitéria,1976,11,49.5,1.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Santa Quitéria,1976,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Santa Quitéria,1977,1,139.0,4.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,18.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,10.0,19.0
Santa Quitéria,1977,2,82.5,2.95,0.0,7.8,10.0,0.0,4.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,25.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Santa Quitéria,1977,3,197.0,6.35,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,7.0,9.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,5.0,37.0,20.0,40.0
Santa Quitéria,1977,4,247.0,8.23,0.0,10.0,0.0,0.0,0.0,0.0,15.0,30.0,0.0,0.0,15.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,36.0,20.0,0.0,0.0,101.0,0.0
Santa Quitéria,1977,5,75.0,2.42,0.0,15.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
