Municipios,Ano,Mes,Total,Media,Dia1,Dia2,Dia3,Dia4,Dia5,Dia6,Dia7,Dia8,Dia9,Dia10,Dia11,Dia12,Dia13,Dia14,Dia15,Dia16,Dia17,Dia18,Dia19,Dia20,Dia21,Dia22,Dia23,Dia24,Dia25,Dia26,Dia27,Dia28,Dia29,Dia30,Dia31
São Gonçalo do Amarante,1974,1,299.95,9.675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,0.0,4.4,13.0,18.75,48.8,22.7,53.5,0.0,0.0,24.1,0.0,10.0,10.4,10.8,36.4,42.8,85.5,10.5,0.0,10.2
São Gonçalo do Amarante,1974,2,150.6,5.380000000000001,37.75,19.4,36.0,0.0,16.0,2.0,45.0,18.4,3.1,0.0,0.0,0.0,0.0,2.4,0.0,0.0,0.2,18.1,5.6,11.7,0.0,0.0,0.0,0.0,1.7,16.3,0.0,0.0,0.0,0.0,0.0
São Gonçalo do Amarante,1974,3,398.25,12.85,1.0,56.3,45.0,11.0,0.0,5.4,5.0,53.5,14.15,45.2,3.3,70.3,0.0,32.15,20.8,0.0,15.0,21.0,0.0,8.0,5.2,28.7,10.1,7.8,13.0,42.0,0.0,21.7,0.2,4.6,0.0
São Gonçalo do Amarante,1974,4,559.75,18.66,0.0,0.2,15.8,50.8,5.0,2.5,15.1,3.5,91.5,97.5,6.8,39.8,28.0,18.6,68.75,20.2,8.7,1.4,5.3,10.3,9.5,9.3,9.4,45.0,34.0,35.4,36.0,12.9,10.45,1.1,0.0
São Gonçalo do Amarante,1974,5,422.2,13.62,102.0,37.5,0.0,39.9,0.0,0.9,9.7,3.5,1.5,0.7,5.9,41.0,1.3,29.9,0.0,0.4,0.0,9.3,22.0,2.4,25.7,4.5,16.75,20.0,20.75,16.3,21.1,26.5,11.0,0.1,27.7
São Gonçalo do Amarante,1974,6,124.8,4.16,10.0,22.0,9.2,0.8,24.6,3.5,0.0,0.0,0.0,0.0,0.0,35.0,0.0,6.9,19.5,7.4,4.9,15.0,10.7,7.15,0.0,6.5,2.4,0.0,0.0,12.5,0.0,0.0,0.8,0.0,0.0
São Gonçalo do Amarante,1974,7,7.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.6,0.0,0.0,3.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
São Gonçalo do Amarante,1974,8,5.6,0.18,0.0,5.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
São Gonçalo do Amarante,1974,9,6.2,0.21,0.0,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
São Gonçalo do Amarante,1974,10,5.3,0.17,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.1,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
