Municipios,Ano,Mes,Total,Media,Dia1,Dia2,Dia3,Dia4,Dia5,Dia6,Dia7,Dia8,Dia9,Dia10,Dia11,Dia12,Dia13,Dia14,Dia15,Dia16,Dia17,Dia18,Dia19,Dia20,Dia21,Dia22,Dia23,Dia24,Dia25,Dia26,Dia27,Dia28,Dia29,Dia30,Dia31
Tauá,1974,1,152.6,4.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.6,15.3,2.3,35.0,0.0,0.0,0.0,24.6,0.0,0.0,0.0,0.0,17.6,0.0,0.0,0.0,17.0,0.0,16.6,1.6
Tauá,1974,2,86.4,3.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,8.8,0.0,0.0,0.0,9.0,0.0,20.4,0.0,0.0,4.0,0.0,0.0,0.0
Tauá,1974,3,315.7,10.18,3.0,2.2,4.0,10.0,0.0,23.2,0.0,0.0,0.0,16.8,6.0,0.0,0.0,22.6,0.0,15.0,0.0,5.0,0.0,0.0,0.0,32.0,45.3,35.0,25.0,47.6,0.0,0.0,23.0,0.0,0.0
Tauá,1974,4,344.6,11.49,20.6,21.8,12.2,10.6,18.0,13.0,0.0,0.0,0.0,0.0,0.0,42.0,78.0,12.0,0.0,0.0,26.0,25.2,15.6,10.0,17.6,0.0,0.0,0.0,0.0,0.0,0.0,8.0,14.0,0.0,0.0
Tauá,1974,5,107.4,3.46,0.0,6.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,11.0,0.0,11.4,0.0
Tauá,1974,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tauá,1974,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tauá,1974,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tauá,1974,9,7.2,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,6.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tauá,1974,10,5.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tauá,1974,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tauá,1974,12,39.7,1.28,0.0,0.0,0.0,0.3,0.1,23.4,0.0,0.0,0.0,0.0,0.0,0.0,6.4,0.0,0.0,0.0,0.0,0.0,0.0,3.2,0.0,0.0,0.1,0.0,0.0,0.0,3.8,2.4,0.0,0.0,0.0
Tauá,1975,1,142.3,4.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.7,9.6,40.8,0.8,30.4,16.0,0.0,0.0,0.0,4.8,26.1,1.8,0.0
Tauá,1975,2,89.6,3.2,0.0,0.0,22.0,10.5,0.0,0.0,3.8,21.0,10.5,0.0,3.8,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tauá,1975,3,186.1,6.0,2.7,18.7,1.4,3.5,6.7,48.0,14.0,46.0,6.5,0.0,0.0,8.4,0.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,2.3,0.0,1.5,2.0,0.0,3.0,5.2,0.0,10.2,0.0,0.0
Tauá,1975,4,122.6,4.09,0.0,0.2,0.0,8.9,21.8,0.0,0.6,0.5,0.0,0.0,0.0,0.8,0.0,11.5,0.0,0.0,0.0,1.1,0.0,2.0,2.1,0.0,15.5,11.2,7.0,0.5,29.2,5.8,3.9,0.0,0.0
Tauá,1975,5,51.6,1.66,0.0,35.4,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,3.3,0.0,0.0,0.2,3.0,0.1,1.4,6.9,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
