Municipios,Ano,Mes,Total,Media,Dia1,Dia2,Dia3,Dia4,Dia5,Dia6,Dia7,Dia8,Dia9,Dia10,Dia11,Dia12,Dia13,Dia14,Dia15,Dia16,Dia17,Dia18,Dia19,Dia20,Dia21,Dia22,Dia23,Dia24,Dia25,Dia26,Dia27,Dia28,Dia29,Dia30,Dia31
Tianguá,1974,1,245.6,7.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.4,2.0,7.6,45.6,45.4,0.0,0.0,2.8,18.4,1.2,46.2,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0
Tianguá,1974,2,256.0,9.14,13.8,0.0,5.2,10.0,0.0,10.0,0.0,5.6,0.0,0.0,2.8,3.0,5.0,3.0,0.0,0.0,0.0,4.0,11.4,5.2,34.0,28.0,0.0,36.8,6.8,6.0,37.0,28.4,0.0,0.0,0.0
Tianguá,1974,3,317.2,10.23,0.0,5.0,23.0,0.0,5.2,7.0,15.8,3.8,0.0,7.2,21.0,5.8,3.8,0.0,7.0,4.0,0.0,9.0,17.0,19.0,8.4,0.0,36.0,20.0,64.8,0.0,34.4,0.0,0.0,0.0,0.0
Tianguá,1974,4,753.4,25.11,18.0,10.0,9.0,9.8,12.0,0.0,30.0,36.2,26.0,63.0,30.0,11.0,50.0,28.6,140.0,0.0,29.4,14.4,49.0,17.8,25.0,12.6,0.0,15.0,12.0,55.0,5.2,30.0,8.0,6.4,0.0
Tianguá,1974,5,353.2,11.39,12.0,8.0,12.0,9.0,0.0,2.2,0.0,3.0,30.0,12.0,0.0,25.0,13.0,3.0,18.0,16.0,0.0,0.0,10.2,12.0,8.0,7.6,15.2,0.0,52.0,0.0,14.0,0.0,40.0,31.0,0.0
Tianguá,1974,6,53.4,1.78,0.0,13.6,18.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,6.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tianguá,1974,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tianguá,1974,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tianguá,1974,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tianguá,1974,10,5.6,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
