Municipios,Ano,Mes,Total,Media,Dia1,Dia2,Dia3,Dia4,Dia5,Dia6,Dia7,Dia8,Dia9,Dia10,Dia11,Dia12,Dia13,Dia14,Dia15,Dia16,Dia17,Dia18,Dia19,Dia20,Dia21,Dia22,Dia23,Dia24,Dia25,Dia26,Dia27,Dia28,Dia29,Dia30,Dia31
Umirim,1989,1,71.4,2.3,2.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.5,6.0,13.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,14.0,0.0,0.0,18.0,0.0,0.0,0.0
Umirim,1989,2,97.0,3.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,17.0,7.0,14.0,0.0,0.0,0.0,25.0,17.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,,,
Umirim,1989,3,376.8,12.15,0.0,28.0,21.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,3.0,0.0,9.5,100.0,15.0,20.0,29.0,0.0,25.0,0.0,12.3,7.0,4.0,25.0,0.0,0.0,14.0,56.0
Umirim,1989,4,339.6,11.32,0.0,26.0,0.0,56.0,0.0,15.0,14.0,31.0,7.0,2.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,13.0,9.0,13.2,0.0,62.0,1.2,9.0,23.6,10.4,5.2,
Umirim,1989,5,175.8,5.67,12.6,0.0,7.0,11.0,0.2,5.2,0.0,0.0,0.0,15.2,9.4,10.0,12.4,0.0,10.8,0.0,3.0,0.0,0.0,19.0,4.0,0.0,5.0,0.0,2.0,0.0,6.0,0.0,7.0,30.0,6.0
Umirim,1989,6,53.5,1.78,0.0,6.5,19.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,12.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,
Umirim,1989,7,143.0,4.61,0.0,0.0,0.0,0.0,17.0,77.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,7.0,0.0,0.0,0.0,0.0
Umirim,1989,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Umirim,1989,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Umirim,1989,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
