Municipios,Ano,Mes,Total,Media,Dia1,Dia2,Dia3,Dia4,Dia5,Dia6,Dia7,Dia8,Dia9,Dia10,Dia11,Dia12,Dia13,Dia14,Dia15,Dia16,Dia17,Dia18,Dia19,Dia20,Dia21,Dia22,Dia23,Dia24,Dia25,Dia26,Dia27,Dia28,Dia29,Dia30,Dia31
Varjota,1988,1,115.4,9.0,57.3,7.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,6.0,12.0,0.0,0.0,0.0,18.1,13.2,6.2,0.0,0.0,0.0,0.0,5.0,0.0
Varjota,1988,2,46.2,3.845,0.0,0.0,12.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.2,0.0,0.0,0.0,3.8,19.4,0.0,0.0,0.0,0.0,0.0,0.0,7.1,5.0,0.0,0.0,0.0,0.0
Varjota,1988,3,159.5,6.74,5.2,5.2,5.2,0.0,9.2,0.0,0.0,4.2,4.2,2.2,2.2,7.0,0.0,8.6,10.8,7.6,3.0,0.0,8.5,0.0,35.35,0.0,18.2,19.2,31.2,0.0,0.0,0.0,32.2,0.0,0.0
Varjota,1988,4,297.6,13.385,10.2,61.2,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,9.0,14.4,29.3,27.2,53.2,48.8,15.4,0.0,0.0,15.2,28.4,5.0,22.0,0.0,0.0,0.0,24.3,0.0,18.8,4.4,0.0
Varjota,1988,5,89.75,4.91,0.0,10.5,0.0,11.2,40.0,0.0,0.0,0.0,0.0,0.0,25.4,46.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Varjota,1988,6,24.8,2.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,9.8,0.0,0.0,0.0,0.0
Varjota,1988,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Varjota,1988,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Varjota,1988,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Varjota,1988,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Varjota,1988,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Varjota,1988,12,107.8,3.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,16.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Varjota,1989,1,95.6,3.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.4,2.0,23.8,10.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,24.0,3.0,13.4,2.8,2.8,0.0,0.0
Varjota,1989,2,50.6,1.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,5.4,0.4,0.0,4.0,0.4,0.0,3.6,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.6,0.4,25.0,2.2,0.0,0.0,0.0,0.0,0.0
Varjota,1989,3,406.9,13.13,45.8,17.6,10.0,0.0,1.4,0.0,0.0,0.0,2.6,52.2,0.0,0.0,0.1,0.0,0.0,0.0,48.2,1.8,30.0,10.2,42.0,25.0,10.0,13.8,0.0,0.0,0.0,13.8,17.2,31.2,34.0
Varjota,1989,4,334.5,11.15,1.8,9.4,55.2,6.8,5.4,0.0,0.0,3.4,1.8,15.0,20.8,18.6,18.6,0.1,27.6,0.0,1.0,2.0,3.8,4.8,3.0,15.2,5.8,52.8,29.2,3.4,15.8,10.2,0.0,3.0,0.0
Varjota,1989,5,219.2,7.07,17.6,4.2,22.6,19.0,7.6,0.0,0.0,0.0,14.4,15.8,20.8,0.0,0.2,0.0,0.8,2.0,8.0,0.0,0.6,40.0,16.6,0.0,0.0,0.0,0.0,0.0,0.0,8.8,3.4,1.0,15.8
Varjota,1989,6,47.8,1.59,0.0,25.0,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,0.0,1.6,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,0.0,0.0,0.0,11.2,0.0,0.0,0.0,0.0
Varjota,1989,7,88.3,2.85,0.0,0.0,0.0,4.2,5.0,29.0,27.0,0.0,9.6,7.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,0.0,2.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0
Varjota,1989,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Varjota,1989,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Varjota,1989,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
