Nome,ano,chuva_total,chuva_media,id
Potiretama,1992,496.0,41.33,"2311231"
Itaitinga,1992,640.7,53.39,"2306256"
Altaneira,1992,847.3,70.61,"2300606"
Farias Brito,1992,995.7,82.98,"2304301"
Jati,1992,617.7,51.48,"2307205"
Nova Olinda,1992,1155.2,96.27,"2309201"
Quixadá,1992,547.24,45.6,"2311306"
Pereiro,1992,803.3,66.94,"2310803"
Groaíras,1992,536.0,44.67,"2304905"
Cariús,1992,764.55,63.71,"2303303"
Graça,1992,742.0,61.83,"2304657"
Choró,1992,603.8,50.32,"2303931"
Jaguaruana,1992,752.2,62.68,"2307007"
Viçosa do Ceará,1992,962.8,80.23,"2314102"
São Luís do Curu,1992,728.0,60.67,"2312601"
Baixio,1992,639.5,53.29,"2301802"
Piquet Carneiro,1992,437.5,36.46,"2310902"
Tururu,1992,549.6,45.8,"2313559"
Morada Nova,1992,612.5,51.04,"2308708"
Quixelô,1992,564.0,47.0,"2311355"
Nova Russas,1992,393.5,32.79,"2309300"
Acarape,1992,796.0,66.33,"2300150"
Aracati,1992,667.5,55.63,"2301109"
Orós,1992,533.95,44.5,"2309508"
Monsenhor Tabosa,1992,438.8,36.57,"2308609"
Itapipoca,1992,755.85,62.99,"2306405"
Mombaça,1992,583.9,48.66,"2308500"
Marco,1992,696.1,58.01,"2307809"
Pires Ferreira,1992,602.2,50.18,"2310951"
Catarina,1992,509.0,42.42,"2303600"
Ererê,1992,914.0,76.17,"2304277"
Guaraciaba do Norte,1992,1008.0,84.0,"2305001"
Iracema,1992,707.8,58.98,"2306009"
Croatá,1992,397.4,33.12,"2304236"
Paramoti,1992,604.5,50.38,"2310407"
Ubajara,1992,971.1,80.92,"2313609"
Ipaporanga,1992,412.7,34.39,"2305654"
Carnaubal,1992,478.7,39.89,"2303402"
Massapê,1992,750.0,62.5,"2308005"
Chaval,1992,579.1,48.26,"2303907"
São Benedito,1992,872.0,72.67,"2312304"
Aracoiaba,1992,612.1,51.01,"2301208"
Potengi,1992,675.8,56.32,"2311207"
Granja,1992,641.6,53.47,"2304707"
Missão Velha,1992,982.75,81.9,"2308401"
Poranga,1992,245.0,20.42,"2311009"
Granjeiro,1992,901.5,75.12,"2304806"
Senador Sá,1992,571.6,47.63,"2312809"
Icó,1992,513.2,42.77,"2305407"
Pedra Branca,1992,683.5,56.96,"2310506"
Tarrafas,1992,521.9,43.49,"2313252"
Maranguape,1992,658.12,54.84,"2307700"
Palhano,1992,790.3,65.86,"2310001"
Campos Sales,1992,519.0,43.25,"2302701"
Caridade,1992,457.2,38.1,"2303006"
São Gonçalo do Amara,1992,666.5,55.54,"2312403"
Horizonte,1992,486.0,40.5,"2305233"
Paracuru,1992,947.2,78.93,"2310209"
Santana do Cariri,1992,799.6,66.63,"2312106"
Amontada,1992,419.3,34.94,"2300754"
Quiterianópolis,1992,508.5,42.37,"2311264"
Tauá,1992,355.05,29.59,"2313302"
Brejo Santo,1992,795.4,66.28,"2302503"
Lavras da Mangabeira,1992,693.78,57.81,"2307502"
Ocara,1992,607.9,50.66,"2309458"
Caririaçu,1992,917.95,76.5,"2303204"
Aurora,1992,781.75,65.15,"2301703"
Barreira,1992,735.6,61.3,"2301950"
Maracanaú,1992,867.0,72.25,"2307650"
Bela Cruz,1992,560.5,46.71,"2302305"
Meruoca,1992,849.0,70.75,"2308203"
Pacatuba,1992,955.2,79.6,"2309706"
Frecheirinha,1992,479.6,39.97,"2304509"
Pacujá,1992,604.3,50.36,"2309904"
Salitre,1992,323.0,26.92,"2311959"
General Sampaio,1992,433.2,36.1,"2304608"
Banabuiú,1992,474.55,39.55,"2301851"
São João do Jaguarib,1992,467.2,38.93,"2312502"
Abaiara,1992,815.0,67.92,"2300101"
Umirim,1992,684.0,57.0,"2313757"
Irauçuba,1992,250.4,20.87,"2306108"
Guaiúba,1992,755.2,62.93,"2304954"
Crateús,1992,316.62,26.39,"2304103"
Palmácia,1992,1025.65,85.47,"2310100"
Beberibe,1992,830.7,69.23,"2302206"
Mucambo,1992,602.8,50.23,"2309003"
Martinópole,1992,610.4,50.87,"2307908"
