Municipio,Ano,Total,Media
Potiretama,2010,473.4,39.45
Itaitinga,2010,642.0,71.33
Altaneira,2010,795.6,66.3
Farias Brito,2010,699.65,58.3
Jati,2010,647.2,53.93
Nova Olinda,2010,590.0,49.17
Quixadá,2010,595.42,49.62
Pereiro,2010,553.55,46.13
Groaíras,2010,89.0,7.42
Cariús,2010,788.38,65.7
Graça,2010,1010.0,84.17
Choró,2010,603.1,50.26
Jaguaruana,2010,350.42,29.2
Viçosa do Ceará,2010,894.6,74.55
São Luís do Curu,2010,341.0,28.42
Baixio,2010,748.8,62.4
Piquet Carneiro,2010,622.9,51.91
Tururu,2010,506.3,42.19
Morada Nova,2010,669.6,55.8
Quixelô,2010,690.3,57.53
Nova Russas,2010,581.6,48.47
Acarape,2010,526.0,52.6
Aracati,2010,500.4,41.7
Orós,2010,775.3,64.61
Monsenhor Tabosa,2010,388.9,32.41
Itapipoca,2010,796.76,66.4
Mombaça,2010,456.37,38.03
Marco,2010,399.85,33.32
Pires Ferreira,2010,851.1,70.92
Catarina,2010,457.1,38.09
Ererê,2010,480.75,40.06
Guaraciaba do Norte,2010,702.69,58.56
Iracema,2010,436.1,36.34
Croatá,2010,410.6,34.22
Paramoti,2010,440.6,55.08
Ubajara,2010,805.35,67.11
Ipaporanga,2010,656.0,54.67
Carnaubal,2010,179.9,19.99
Massapê,2010,604.0,50.33
Chaval,2010,652.9,54.41
São Benedito,2010,843.85,70.32
Aracoiaba,2010,635.75,52.98
Potengi,2010,623.0,51.92
Granja,2010,821.56,68.46
Missão Velha,2010,890.4,74.2
Poranga,2010,458.5,38.21
Granjeiro,2010,869.4,72.45
Senador Sá,2010,499.9,41.66
Icó,2010,967.75,80.65
Pedra Branca,2010,486.8,40.57
Tarrafas,2010,414.0,37.64
Maranguape,2010,408.21,34.02
Palhano,2010,431.4,35.95
Campos Sales,2010,633.21,52.77
Caridade,2010,320.75,26.73
São Gonçalo do Amarante,2010,762.65,63.55
Horizonte,2010,485.7,40.48
Paracuru,2010,926.2,77.18
Santana do Cariri,2010,700.6,58.38
Amontada,2010,825.86,68.82
Quiterianópolis,2010,412.25,34.35
Tauá,2010,434.06,36.17
Brejo Santo,2010,858.0,71.5
Lavras da Mangabeira,2010,886.96,73.91
Ocara,2010,573.88,47.82
Caririaçu,2010,816.5,68.04
Aurora,2010,697.2,58.1
Barreira,2010,293.55,24.46
Maracanaú,2010,891.9,74.33
Bela Cruz,2010,607.3,50.61
Meruoca,2010,929.25,84.48
Pacatuba,2010,870.85,72.57
Frecheirinha,2010,730.0,60.83
Pacujá,2010,808.7,67.39
Salitre,2010,376.0,31.33
General Sampaio,2010,433.81,36.15
Banabuiú,2010,563.75,46.98
São João do Jaguaribe,2010,406.9,45.21
Abaiara,2010,725.6,60.47
Umirim,2010,366.7,30.56
Irauçuba,2010,320.71,26.73
Guaiúba,2010,425.7,35.48
Crateús,2010,487.23,40.6
Palmácia,2010,781.2,78.12
Beberibe,2010,415.92,34.66
Mucambo,2010,1073.0,89.42
Martinópole,2010,604.0,50.33
