Nome,Ano,Latitude,Longitude,Capacidade (hm³),Volume (hm3),Volume Util (hm3)
Patos,1999,-40.036497,-3.761444000000001,755,2579.65,194.81
Nova floresta,1999,-38.907803,-5.9492629999999975,519,4510.84,234.12
Manoel balbino,1999,-39.329299645700004,-7.107291457310001,3718,1279.69,475.92
Salao,1999,-39.3111742,-4.4069701,604,1835.5,110.88
Poco do barro,1999,-38.4595984652,-5.382572887669999,5200,2125.32,1105.16
Riacho do sangue,1999,-38.9506399185,-5.693736833230001,6142,4292.23,2636.04
Quixeramobim,1999,-39.3127774588,-5.19828377485,5400,8552.25,4618.21
Serafim dias,1999,-39.6472365319,-5.728479651209999,4300,4902.88,2108.19
Umari,1999,-39.551388,-4.809116,3504,4445.23,1557.58
Ema,1999,-38.3449743134,-5.776328844959999,1039,1461.26,151.94
Premuoca,1999,-38.9565822652,-6.40214304255,520,7418.22,385.67
Gomes,1999,-38.73024,-7.481016,239,3725.17,89.17
Jenipapeiro,1999,-39.2474835705,-5.8131511541400025,1700,2216.46,376.77
Pedras brancas,1999,-38.8777544386,-5.14985135743,43404,719.31,3121.96
Poco da pedra,1999,-40.3559822646,-6.98372899185,5200,1655.93,861.07
Araras,1999,-40.448598424400004,-4.20951501641,89100,4887.58,43547.62
Lima campos,1999,-39.059782,-6.417186,6638,6402.5,4250.08
Forquilha,1999,-40.2535632298,-3.79604357192,5013,3179.48,1593.68
Bonito,1999,-40.684951,-4.309885,600,1467.7,88.07
Frios,1999,-39.295427951,-3.69046238001,3302,5571.0,1839.56
Carao,1999,-40.361733153,-4.81667052184,2623,3790.96,994.42
Favelas,1999,-40.1230031725,-5.98302184084,3010,900.07,270.96
Santo antonio de russas,1999,0.0,0.0,2400,1787.31,428.96
Amanary,1999,-38.8837233213,-4.01262168678,1101,639.59,70.37
Prazeres,1999,-38.6829425533,-7.109019720510001,3250,1372.68,446.05
Realejo,1999,-40.8050668199,-5.261104572130002,3155,462.19,145.81
Mundau,1999,-39.516132,-3.633621,2130,6822.28,1453.2
General sampaio,1999,-39.4537367839,-4.06243387754,32220,2084.06,6714.64
Trici,1999,-40.413943243,-5.91533033329,1650,3035.48,500.9
Tucunduba,1999,-40.4458464533,-3.1795909254400003,4143,6605.6,2736.68
Trussu,1999,-39.433659842,-6.3082942087900005,30100,5397.44,16246.04
Santo antonio de aracatiacu,1999,0.0,0.0,2434,2703.57,658.09
Patu,1999,-39.4023005082,-5.581869982080001,7183,3762.88,2702.88
Farias de sousa,1999,-40.582480572399994,-4.76698183204,1223,1704.82,208.55
Caxitore,1999,-39.3553731239,-3.74191444021,20200,2759.82,5574.79
Quincoe,1999,-39.454306,-6.084822,433,6188.92,268.08
Sao mateus,1999,-39.315869202399995,-4.37069635174,1033,5627.52,581.36
Tejucuoca,1999,-39.505976259099995,-3.9759711539099998,2811,2396.5,673.71
Pentecoste,1999,-39.261648178099996,-3.80330004105,36000,1724.0,6206.67
Forquilha ii,1999,-40.3993464,-5.9427898,340,2822.42,95.96
Varzea do boi,1999,-40.2525492337,-5.90952523694,5191,231.0,120.0
Sobral,1999,-40.365556,-3.65705,468,5944.24,278.28
Acarau mirim,1999,0.0,0.0,5200,7785.64,4048.52
Riachao,1999,-38.5231717263,-4.00099902774,4695,665.36,312.07
Sao vicente,1999,-40.263431,-3.397075,984,7143.05,703.1
Joaquim tavora,1999,-38.8304650715,-5.9490545711800005,2677,831.59,222.68
Banabuiu,1999,-38.9223710722,-5.32859467909,160100,2171.64,34768.06
Sao pedro timbauba,1999,0.0,0.0,1925,7349.79,1414.75
Pompeu sobrinho,1999,-39.1409573634,-4.83834625589,14300,1415.07,2023.54
Oros,1999,-38.9250093577,-6.2381264298,194000,4314.97,83708.55
Atalho,1999,-38.8936496392,-7.641678529360001,10825,1767.23,1913.19
Santa maria de aracatiacu,1999,0.0,0.0,820,1787.52,146.61
Quixabinha,1999,-38.746745161199996,-7.501917402889999,3178,872.46,277.31
Varzea da volta,1999,-40.6146865971,-3.5021432096800007,1250,5866.58,733.54
