id,Localidade,idh
2300101,Abaiara,0.286
2300150,Acarape,0.349
2300200,Acaraú,0.277
2300309,Acopiara,0.254
2300408,Aiuaba,0.256
2300507,Alcântaras,0.285
2300606,Altaneira,0.288
2300705,Alto Santo,0.304
2300754,Amontada,0.241
2300804,Antonina do Norte,0.309
2300903,Apuiarés,0.274
2301000,Aquiraz,0.327
2301109,Aracati,0.371
2301208,Aracoiaba,0.319
2301257,Ararendá,0.201
2301307,Araripe,0.250
2301406,Aratuba,0.288
2301505,Arneiroz,0.275
2301604,Assaré,0.271
2301703,Aurora,0.294
2301802,Baixio,0.323
2301851,Banabuiú,0.286
2301901,Barbalha,0.381
2301950,Barreira,0.310
2302008,Barro,0.286
2302057,Barroquinha,0.192
2302107,Baturité,0.368
2302206,Beberibe,0.283
2302305,Bela Cruz,0.260
2302404,Boa Viagem,0.296
2302503,Brejo Santo,0.363
2302602,Camocim,0.305
2302701,Campos Sales,0.314
2302800,Canindé,0.302
2302909,Capistrano,0.277
2303006,Caridade,0.287
2303105,Cariré,0.269
2303204,Caririaçu,0.245
2303303,Cariús,0.260
2303402,Carnaubal,0.250
2303501,Cascavel,0.318
2303600,Catarina,0.266
2303659,Catunda,0.249
2303709,Caucaia,0.411
2303808,Cedro,0.373
2303907,Chaval,0.274
2303931,Choró,0.246
2303956,Chorozinho,0.253
2304004,Coreaú,0.302
2304103,Crateús,0.360
2304202,Crato,0.444
2304236,Croatá,0.214
2304251,Cruz,0.268
2304269,Deputado Irapuan Pi,0.264
2304277,Ererê,0.291
2304285,Eusébio,0.377
2304301,Farias Brito,0.308
2304350,Forquilha,0.314
2304400,Fortaleza,0.546
2304459,Fortim,0.276
2304509,Frecheirinha,0.326
2304608,General Sampaio,0.261
2304657,Graça,0.149
2304707,Granja,0.250
2304806,Granjeiro,0.266
2304905,Groaíras,0.355
2304954,Guaiúba,0.333
2305001,Guaraciaba do Norte,0.301
2305100,Guaramiranga,0.326
2305209,Hidrolândia,0.250
2305233,Horizonte,0.311
2305266,Ibaretama,0.272
2305308,Ibiapina,0.284
2305332,Ibicuitinga,0.306
2305357,Icapuí,0.301
2305407,Icó,0.299
2305506,Iguatu,0.394
2305605,Independência,0.326
2305654,Ipaporanga,0.157
2305704,Ipaumirim,0.329
2305803,Ipu,0.318
2305902,Ipueiras,0.241
2306009,Iracema,0.323
2306108,Irauçuba,0.314
2306207,Itaiçaba,0.346
2306256,Itaitinga,0.320
2306306,Itapajé,0.354
2306405,Itapipoca,0.332
2306504,Itapiúna,0.318
2306553,Itarema,0.249
2306603,Itatira,0.208
2306702,Jaguaretama,0.305
2306801,Jaguaribara,0.361
2306900,Jaguaribe,0.370
2307007,Jaguaruana,0.355
2307106,Jardim,0.304
2307205,Jati,0.327
2307254,Jijoca de Jericoaco,0.189
2307304,Juazeiro do Norte,0.419
2307403,Jucás,0.246
2307502,Lavras da Mangabeir,0.336
2307601,Limoeiro do Norte,0.433
2307635,Madalena,0.287
2307650,Maracanaú,0.420
2307700,Maranguape,0.369
2307809,Marco,0.306
2307908,Martinópole,0.275
2308005,Massapê,0.298
2308104,Mauriti,0.278
2308203,Meruoca,0.306
2308302,Milagres,0.327
2308351,Milhã,0.282
2308377,Miraíma,0.269
2308401,Missão Velha,0.302
2308500,Mombaça,0.269
2308609,Monsenhor Tabosa,0.306
2308708,Morada Nova,0.335
2308807,Moraújo,0.323
2308906,Morrinhos,0.296
2309003,Mucambo,0.291
2309102,Mulungu,0.342
2309201,Nova Olinda,0.313
2309300,Nova Russas,0.324
2309409,Novo Oriente,0.284
2309458,Ocara,0.278
2309508,Orós,0.366
2309607,Pacajus,0.355
2309706,Pacatuba,0.385
2309805,Pacoti,0.345
2309904,Pacujá,0.384
2310001,Palhano,0.310
2310100,Palmácia,0.352
2310209,Paracuru,0.340
2310258,Paraipaba,0.357
2310308,Parambu,0.304
2310407,Paramoti,0.231
2310506,Pedra Branca,0.247
2310605,Penaforte,0.401
2310704,Pentecoste,0.307
2310803,Pereiro,0.296
2310852,Pindoretama,0.318
2310902,Piquet Carneiro,0.292
2310951,Pires Ferreira,0.241
2311009,Poranga,0.199
2311108,Porteiras,0.296
2311207,Potengi,0.304
2311231,Potiretama,0.251
2311264,Quiterianópolis,0.240
2311306,Quixadá,0.383
2311355,Quixelô,0.258
2311405,Quixeramobim,0.356
2311504,Quixeré,0.330
2311603,Redenção,0.349
2311702,Reriutaba,0.298
2311801,Russas,0.398
2311900,Saboeiro,0.223
2311959,Salitre,0.189
2312007,Santana do Acaraú,0.314
2312106,Santana do Cariri,0.302
2312205,Santa Quitéria,0.281
2312304,São Benedito,0.289
2312403,São Gonçalo do Amar,0.325
2312502,São João do Jaguari,0.399
2312601,São Luís do Curu,0.365
2312700,Senador Pompeu,0.371
2312809,Senador Sá,0.249
2312908,Sobral,0.406
2313005,Solonópole,0.309
2313104,Tabuleiro do Norte,0.362
2313203,Tamboril,0.241
2313252,Tarrafas,0.210
2313302,Tauá,0.338
2313351,Tejuçuoca,0.253
2313401,Tianguá,0.341
2313500,Trairi,0.291
2313559,Tururu,0.298
2313609,Ubajara,0.331
2313708,Umari,0.265
2313757,Umirim,0.275
2313807,Uruburetama,0.344
2313906,Uruoca,0.235
2313955,Varjota,0.351
2314003,Várzea Alegre,0.307
2314102,Viçosa do Ceará,0.235
