"Nome","Localidade","2008","2009","2010","2011","2012","2013","2014","Unidade","Multiplicador"
"Taxa de mortalidade infantil","Abaiara","21.9","15.15","13.89","6.62","19.35","17.24","14.81","óbitos por mil nascidos vivos",1
"Taxa de mortalidade infantil","Acarape","13.89","8.03","18.78","15.38","16.53","20.58","16.88","óbitos por mil nascidos vivos",1
"Taxa de mortalidade infantil","Acaraú","7.25","15.28","13.79","13.49","11.45","17.56","8.29","óbitos por mil nascidos vivos",1
"Taxa de mortalidade infantil","Acopiara","22.96","22.93","13.62","11.73","9.12","17.3","12.68","óbitos por mil nascidos vivos",1
"Taxa de mortalidade infantil","Aiuaba","10","13.22","35.4","25.51","18.96","12.5","12.82","óbitos por mil nascidos vivos",1
"Taxa de mortalidade infantil","Alcântaras","0","0","36.81","23.08","25.81","0","13.79","óbitos por mil nascidos vivos",1
"Taxa de mortalidade infantil","Altaneira","10.99","42.55","11.36","31.25","33.33","32.61","21.51","óbitos por mil nascidos vivos",1
"Taxa de mortalidade infantil","Alto Santo","15.71","5.15","5.49","14.08","15","16.95","10.58","óbitos por mil nascidos vivos",1
"Taxa de mortalidade infantil","Amontada","12.36","17.17","17.39","8.5","17.05","11.83","22.36","óbitos por mil nascidos vivos",1
"Taxa de mortalidade infantil","Antonina do Norte","35.71","0","16","16.53","26.79","17.86","20.2","óbitos por mil nascidos vivos",1
"Taxa de mortalidade infantil","Apuiarés","25.48","11.17","13.79","5.62","13.89","6.62","20.27","óbitos por mil nascidos vivos",1
"Taxa de mortalidade infantil","Aquiraz","24.82","18.56","16.69","10.02","12.17","5.3","11.13","óbitos por mil nascidos vivos",1
"Taxa de mortalidade infantil","Aracati","16.24","20.13","7.64","9.22","16.46","10.36","11.01","óbitos por mil nascidos vivos",1
"Taxa de mortalidade infantil","Aracoiaba","30.64","17.41","14.71","15.87","13.97","10.26","10.47","óbitos por mil nascidos vivos",1
"Taxa de mortalidade infantil","Ararendá","26.67","6.99","7.14","0","69.57","10.1","15.87","óbitos por mil nascidos vivos",1
"Taxa de mortalidade infantil","Araripe","12.22","15.98","7.58","17.5","24.39","2.93","17.39","óbitos por mil nascidos vivos",1
"Taxa de mortalidade infantil","Aratuba","15.46","14.85","14.63","5.95","10.64","6.41","11.11","óbitos por mil nascidos vivos",1
"Taxa de mortalidade infantil","Arneiroz","8.4","16.95","20.62","10.42","17.86","28.99","20.41","óbitos por mil nascidos vivos",1
"Taxa de mortalidade infantil","Assaré","24.92","29.41","3.42","6.8","18.13","16.89","7.91","óbitos por mil nascidos vivos",1
"Taxa de mortalidade infantil","Aurora","8.62","10.96","10.47","20.11","28.3","10.03","8.38","óbitos por mil nascidos vivos",1
"Taxa de mortalidade infantil","Baixio","0","12.66","12.35","37.04","0","25.32","16.67","óbitos por mil nascidos vivos",1
"Taxa de mortalidade infantil","Banabuiú","16.95","6.97","3.39","14.55","7.55","31.75","19.46","óbitos por mil nascidos vivos",1
"Taxa de mortalidade infantil","Barbalha","17.69","17.84","18.43","14.1","21.93","10.05","19.68","óbitos por mil nascidos vivos",1
"Taxa de mortalidade infantil","Barreira","6.58","14.23","7.3","20.27","6.31","15.58","3.38","óbitos por mil nascidos vivos",1
"Taxa de mortalidade infantil","Barro","14.04","17.06","17.92","22.95","17.79","10.56","18.94","óbitos por mil nascidos vivos",1
"Taxa de mortalidade infantil","Barroquinha","13.95","0","14.71","10.15","14.15","14.63","19.32","óbitos por mil nascidos vivos",1
"Taxa de mortalidade infantil","Baturité","12.01","19.64","16.16","26.48","4.3","20.83","6.92","óbitos por mil nascidos vivos",1
"Taxa de mortalidade infantil","Beberibe","13.06","7.96","3.68","11.4","0","11.67","15.54","óbitos por mil nascidos vivos",1
"Taxa de mortalidade infantil","Bela Cruz","5.84","16.67","11.88","26.46","11.57","19.51","21.45","óbitos por mil nascidos vivos",1
"Taxa de mortalidade infantil","Boa Viagem","22.56","17.39","12.23","17.76","15.92","11.08","14.64","óbitos por mil nascidos vivos",1
"Taxa de mortalidade infantil","Brejo Santo","14.9","7.06","15.26","12.66","13.78","10.1","8.58","óbitos por mil nascidos vivos",1
"Taxa de mortalidade infantil","Camocim","21.42","25.19","9.12","7.5","13.49","20.41","11.86","óbitos por mil nascidos vivos",1
"Taxa de mortalidade infantil","Campos Sales","23.38","14.96","29.5","19.66","16.67","9.95","19.39","óbitos por mil nascidos vivos",1
"Taxa de mortalidade infantil","Canindé","11.94","16.25","9.88","13.06","8.06","9.53","7.13","óbitos por mil nascidos vivos",1
"Taxa de mortalidade infantil","Capistrano","15.09","15.27","16.88","4.2","13.16","11.72","12.24","óbitos por mil nascidos vivos",1
