id,Localidade,pib
2300101,Abaiara,16213
2300150,Acarape,33141
2300200,Acaraú,134321
2300309,Acopiara,101079
2300408,Aiuaba,24448
2300507,Alcântaras,18345
2300606,Altaneira,10966
2300705,Alto Santo,41424
2300754,Amontada,111076
2300804,Antonina do Norte,13817
2300903,Apuiarés,23860
2301000,Aquiraz,298221
2301109,Aracati,330939
2301208,Aracoiaba,56029
2301257,Ararendá,20637
2301307,Araripe,44970
2301406,Aratuba,34423
2301505,Arneiroz,17489
2301604,Assaré,39323
2301703,Aurora,45746
2301802,Baixio,12992
2301851,Banabuiú,46391
2301901,Barbalha,166838
2301950,Barreira,48024
2302008,Barro,39698
2302057,Barroquinha,32266
2302107,Baturité,74520
2302206,Beberibe,121195
2302305,Bela Cruz,62950
2302404,Boa Viagem,113948
2302503,Brejo Santo,106540
2302602,Camocim,177540
2302701,Campos Sales,57099
2302800,Canindé,199087
2302909,Capistrano,30640
2303006,Caridade,34821
2303105,Cariré,38201
2303204,Caririaçu,70206
2303303,Cariús,32974
2303402,Carnaubal,30969
2303501,Cascavel,323345
2303600,Catarina,26051
2303659,Catunda,19717
2303709,Caucaia,1085418
2303808,Cedro,51369
2303907,Chaval,24882
2303931,Choró,23125
2303956,Chorozinho,48910
2304004,Coreaú,35689
2304103,Crateús,193437
2304202,Crato,439435
2304236,Croatá,38203
2304251,Cruz,46774
2304269,Deputado Irapuan Pinheiro,17654
2304277,Ererê,13456
2304285,Eusébio,575618
2304301,Farias Brito,37506
2304350,Forquilha,50607
2304400,Fortaleza,17623128
2304459,Fortim,65561
2304509,Frecheirinha,26561
2304608,General Sampaio,12344
2304657,Graça,28402
2304707,Granja,85005
2304806,Granjeiro,9702
2304905,Groaíras,17827
2304954,Guaiúba,39464
2305001,Guaraciaba do Norte,100946
2305100,Guaramiranga,15919
2305209,Hidrolândia,45428
2305233,Horizonte,421949
2305266,Ibaretama,25954
2305308,Ibiapina,86006
2305332,Ibicuitinga,20247
2305357,Icapuí,77586
2305407,Icó,128581
2305506,Iguatu,364614
2305605,Independência,60230
2305654,Ipaporanga,22469
2305704,Ipaumirim,23399
2305803,Ipu,92627
2305902,Ipueiras,75381
2306009,Iracema,32445
2306108,Irauçuba,39239
2306207,Itaiçaba,23550
2306256,Itaitinga,70632
2306306,Itapajé,168343
2306405,Itapipoca,344258
2306504,Itapiúna,30654
2306553,Itarema,103915
2306603,Itatira,40737
2306702,Jaguaretama,51267
2306801,Jaguaribara,42033
2306900,Jaguaribe,110598
2307007,Jaguaruana,105757
2307106,Jardim,48185
2307205,Jati,14280
2307254,Jijoca de Jericoacoara,32072
2307304,Juazeiro do Norte,770443
2307403,Jucás,44120
2307502,Lavras da Mangabeira,59528
2307601,Limoeiro do Norte,218775
2307635,Madalena,35483
2307650,Maracanaú,2151090
2307700,Maranguape,384867
2307809,Marco,59273
2307908,Martinópole,16083
2308005,Massapê,67114
2308104,Mauriti,87112
2308203,Meruoca,23603
2308302,Milagres,57295
2308351,Milhã,26833
2308377,Miraíma,19946
2308401,Missão Velha,63932
2308500,Mombaça,79786
2308609,Monsenhor Tabosa,33023
2308708,Morada Nova,188162
2308807,Moraújo,15935
2308906,Morrinhos,38379
2309003,Mucambo,30001
2309102,Mulungu,22412
2309201,Nova Olinda,48088
2309300,Nova Russas,72511
2309409,Novo Oriente,50364
2309458,Ocara,49073
2309508,Orós,49781
2309607,Pacajus,363507
2309706,Pacatuba,212326
2309805,Pacoti,26057
2309904,Pacujá,12622
2310001,Palhano,20676
2310100,Palmácia,18582
2310209,Paracuru,115817
2310258,Paraipaba,72817
2310308,Parambu,59249
2310407,Paramoti,22154
2310506,Pedra Branca,74896
2310605,Penaforte,14039
2310704,Pentecoste,63599
2310803,Pereiro,30417
2310852,Pindoretama,38943
2310902,Piquet Carneiro,27825
2310951,Pires Ferreira,18557
2311009,Poranga,20586
2311108,Porteiras,28292
2311207,Potengi,17966
2311231,Potiretama,14761
2311264,Quiterianópolis,33315
2311306,Quixadá,210647
2311355,Quixelô,39019
2311405,Quixeramobim,197477
2311504,Quixeré,141866
2311603,Redenção,70420
2311702,Reriutaba,44196
2311801,Russas,261185
2311900,Saboeiro,27940
2311959,Salitre,35422
2312007,Santana do Acaraú,62990
2312106,Santana do Cariri,32898
2312205,Santa Quitéria,130432
2312304,São Benedito,108765
2312403,São Gonçalo do Amarante,108314
2312502,São João do Jaguaribe,23537
2312601,São Luís do Curu,24567
2312700,Senador Pompeu,63221
2312809,Senador Sá,15534
2312908,Sobral,1341838
2313005,Solonópole,51456
2313104,Tabuleiro do Norte,72162
2313203,Tamboril,50288
2313252,Tarrafas,14426
2313302,Tauá,136109
2313351,Tejuçuoca,22563
2313401,Tianguá,220880
2313500,Trairi,134675
2313559,Tururu,23059
2313609,Ubajara,87001
2313708,Umari,14681
2313757,Umirim,33716
2313807,Uruburetama,71352
2313906,Uruoca,21129
2313955,Varjota,44978
2314003,Várzea Alegre,69269
2314102,Viçosa do Ceará,96385
