Localidade,pib,id
Abaiara,22976,2300101
Acarape,41803,2300150
Acaraú,176061,2300200
Acopiara,126516,2300309
Aiuaba,38788,2300408
Alcântaras,25162,2300507
Altaneira,15450,2300606
Alto Santo,52060,2300705
Amontada,132206,2300754
Antonina do Norte,18547,2300804
Apuiarés,33643,2300903
Aquiraz,392870,2301000
Aracati,369276,2301109
Aracoiaba,69704,2301208
Ararendá,27422,2301257
Araripe,67718,2301307
Aratuba,48318,2301406
Arneiroz,22889,2301505
Assaré,52318,2301604
Aurora,65588,2301703
Baixio,16415,2301802
Banabuiú,59746,2301851
Barbalha,237809,2301901
Barreira,59695,2301950
Barro,54595,2302008
Barroquinha,43234,2302057
Baturité,100234,2302107
Beberibe,158852,2302206
Bela Cruz,77203,2302305
Boa Viagem,153207,2302404
Brejo Santo,138404,2302503
Camocim,213420,2302602
Campos Sales,72011,2302701
Canindé,237048,2302800
Capistrano,41496,2302909
Caridade,45035,2303006
Cariré,49667,2303105
Caririaçu,61103,2303204
Cariús,44046,2303303
Carnaubal,42390,2303402
Cascavel,293693,2303501
Catarina,35617,2303600
Catunda,27387,2303659
Caucaia,1471921,2303709
Cedro,68533,2303808
Chaval,32300,2303907
Choró,30405,2303931
Chorozinho,57203,2303956
Coreaú,50029,2304004
Crateús,297323,2304103
Crato,538617,2304202
Croatá,47774,2304236
Cruz,58763,2304251
Deputado Irapuan Pin,24458,2304269
Ererê,18504,2304277
Eusébio,773241,2304285
Farias Brito,48051,2304301
Forquilha,67763,2304350
Fortaleza,24476378,2304400
Fortim,51432,2304459
Frecheirinha,35901,2304509
General Sampaio,19390,2304608
Graça,37557,2304657
Granja,119081,2304707
Granjeiro,13885,2304806
Groaíras,25123,2304905
Guaiúba,60192,2304954
Guaraciaba do Norte,142832,2305001
Guaramiranga,21821,2305100
Hidrolândia,60592,2305209
Horizonte,607348,2305233
Ibaretama,35161,2305266
Ibiapina,111080,2305308
Ibicuitinga,29186,2305332
Icapuí,133731,2305357
Icó,184777,2305407
Iguatu,467469,2305506
Independência,75693,2305605
Ipaporanga,26459,2305654
Ipaumirim,33002,2305704
Ipu,125905,2305803
Ipueiras,103085,2305902
Iracema,46254,2306009
Irauçuba,56079,2306108
Itaiçaba,31516,2306207
Itaitinga,101641,2306256
Itapajé,178728,2306306
Itapipoca,406071,2306405
Itapiúna,47373,2306504
Itarema,154195,2306553
Itatira,52171,2306603
Jaguaretama,67427,2306702
Jaguaribara,34881,2306801
Jaguaribe,150060,2306900
Jaguaruana,146225,2307007
Jardim,66000,2307106
Jati,19877,2307205
Jijoca de Jericoacoa,45269,2307254
Juazeiro do Norte,1164673,2307304
Jucás,60955,2307403
Lavras da Mangabeira,81121,2307502
Limoeiro do Norte,402130,2307601
Madalena,49188,2307635
Maracanaú,2607789,2307650
Maranguape,578078,2307700
Marco,82149,2307809
Martinópole,20372,2307908
Massapê,95391,2308005
Mauriti,128303,2308104
Meruoca,30138,2308203
Milagres,69329,2308302
Milhã,39242,2308351
Miraíma,26125,2308377
Missão Velha,96152,2308401
Mombaça,106541,2308500
Monsenhor Tabosa,42762,2308609
Morada Nova,265766,2308708
Moraújo,20829,2308807
Morrinhos,48239,2308906
Mucambo,35646,2309003
Mulungu,40737,2309102
Nova Olinda,37695,2309201
Nova Russas,95508,2309300
Novo Oriente,70375,2309409
Ocara,55280,2309458
Orós,73016,2309508
Pacajus,377442,2309607
Pacatuba,364692,2309706
Pacoti,37386,2309805
Pacujá,16196,2309904
Palhano,33377,2310001
Palmácia,24065,2310100
Paracuru,150208,2310209
Paraipaba,114771,2310258
Parambu,77591,2310308
Paramoti,32634,2310407
Pedra Branca,99295,2310506
Penaforte,26345,2310605
Pentecoste,102133,2310704
Pereiro,39523,2310803
Pindoretama,54425,2310852
Piquet Carneiro,37855,2310902
Pires Ferreira,24468,2310951
Poranga,26574,2311009
Porteiras,39221,2311108
Potengi,24775,2311207
Potiretama,18323,2311231
Quiterianópolis,48353,2311264
Quixadá,284369,2311306
Quixelô,46160,2311355
Quixeramobim,278282,2311405
Quixeré,178387,2311504
Redenção,77332,2311603
Reriutaba,54859,2311702
Russas,377099,2311801
Saboeiro,35818,2311900
Salitre,50413,2311959
Santana do Acaraú,88142,2312007
Santana do Cariri,46868,2312106
Santa Quitéria,141112,2312205
São Benedito,152116,2312304
São Gonçalo do Amara,552886,2312403
São João do Jaguarib,29859,2312502
São Luís do Curu,37166,2312601
Senador Pompeu,85882,2312700
Senador Sá,20259,2312809
Sobral,1751595,2312908
Solonópole,68014,2313005
Tabuleiro do Norte,100209,2313104
Tamboril,68716,2313203
Tarrafas,19448,2313252
Tauá,193306,2313302
Tejuçuoca,35419,2313351
Tianguá,301989,2313401
Trairi,178654,2313500
Tururu,29895,2313559
Ubajara,127395,2313609
Umari,19730,2313708
Umirim,47896,2313757
Uruburetama,78418,2313807
Uruoca,30555,2313906
Varjota,58556,2313955
Várzea Alegre,98141,2314003
Viçosa do Ceará,145895,2314102
