Localidade,pib,id,log_pib
Abaiara,40098,2300101,4.603123
Acarape,81090,2300150,4.908967
Acaraú,376651,2300200,5.575939
Acopiara,236257,2300309,5.373385
Aiuaba,66998,2300408,4.826062
Alcântaras,43225,2300507,4.635735
Altaneira,28370,2300606,4.452859
Alto Santo,83598,2300705,4.922196
Amontada,298132,2300754,5.474409
Antonina do Norte,31415,2300804,4.497137
Apuiarés,58591,2300903,4.767831
Aquiraz,795551,2301000,5.900668
Aracati,817691,2301109,5.912589
Aracoiaba,129880,2301208,5.113542
Ararendá,44644,2301257,4.649763
Araripe,97540,2301307,4.989183
Aratuba,65713,2301406,4.817651
Arneiroz,38708,2301505,4.587801
Assaré,102286,2301604,5.009816
Aurora,116748,2301703,5.067249
Baixio,28424,2301802,4.453685
Banabuiú,94871,2301851,4.977133
Barbalha,498092,2301901,5.69731
Barreira,98495,2301950,4.993414
Barro,92185,2302008,4.96466
Barroquinha,69802,2302057,4.843868
Baturité,188299,2302107,5.274848
Beberibe,313386,2302206,5.49608
Bela Cruz,128141,2302305,5.107688
Boa Viagem,263947,2302404,5.421517
Brejo Santo,270750,2302503,5.432568
Camocim,405222,2302602,5.607693
Campos Sales,128871,2302701,5.110155
Canindé,410025,2302800,5.61281
Capistrano,74695,2302909,4.873292
Caridade,82400,2303006,4.915927
Cariré,79029,2303105,4.897786
Caririaçu,107039,2303204,5.029542
Cariús,72338,2303303,4.859366
Carnaubal,85352,2303402,4.931214
Cascavel,482728,2303501,5.683702
Catarina,64442,2303600,4.809169
Catunda,56424,2303659,4.751464
Caucaia,3323808,2303709,6.521636
Cedro,118006,2303808,5.071904
Chaval,58456,2303907,4.766829
Choró,54665,2303931,4.737709
Chorozinho,99570,2303956,4.998129
Coreaú,89198,2304004,4.950355
Crateús,429513,2304103,5.632976
Crato,1017214,2304202,6.007412
Croatá,82974,2304236,4.918942
Cruz,103199,2304251,5.013675
Deputado Irapuan Pin,42013,2304269,4.623384
Ererê,30360,2304277,4.482302
Eusébio,1467093,2304285,6.166458
Farias Brito,83585,2304301,4.922128
Forquilha,105531,2304350,5.02338
Fortaleza,41978402,2304400,7.623026
Fortim,88468,2304459,4.946786
Frecheirinha,72717,2304509,4.861636
General Sampaio,32562,2304608,4.512711
Graça,60202,2304657,4.779611
