id,Localidade,2012
2300101,Abaiara,39314
2300150,Acarape,80588
2300200,Acaraú,394094
2300309,Acopiara,236047
2300408,Aiuaba,61575
2300507,Alcântaras,43301
2300606,Altaneira,30144
2300705,Alto Santo,78836
2300754,Amontada,326337
2300804,Antonina do Norte,32585
2300903,Apuiarés,58006
2301000,Aquiraz,935351
2301109,Aracati,932020
2301208,Aracoiaba,124081
2301257,Ararendá,43087
2301307,Araripe,89125
2301406,Aratuba,58733
2301505,Arneiroz,36942
2301604,Assaré,98806
2301703,Aurora,108670
2301802,Baixio,27448
2301851,Banabuiú,89606
2301901,Barbalha,504630
2301950,Barreira,97965
2302008,Barro,95707
2302057,Barroquinha,68736
2302107,Baturité,182863
2302206,Beberibe,353712
2302305,Bela Cruz,140949
2302404,Boa Viagem,246908
2302503,Brejo Santo,263574
2302602,Camocim,546072
2302701,Campos Sales,127470
2302800,Canindé,395114
2302909,Capistrano,69449
2303006,Caridade,79136
2303105,Cariré,78743
2303204,Caririaçu,105973
2303303,Cariús,70979
2303402,Carnaubal,82021
2303501,Cascavel,484910
2303600,Catarina,63679
2303659,Catunda,47827
2303709,Caucaia,3657134
2303808,Cedro,117037
2303907,Chaval,60728
2303931,Choró,52408
2303956,Chorozinho,89207
2304004,Coreaú,88624
2304103,Crateús,409438
2304202,Crato,1001915
2304236,Croatá,78373
2304251,Cruz,108419
2304269,Deputado Irapuan Pinheiro,38733
2304277,Ererê,31457
2304285,Eusébio,1407512
2304301,Farias Brito,81091
2304350,Forquilha,107662
2304400,Fortaleza,43402190
2304459,Fortim,87096
2304509,Frecheirinha,72526
2304608,General Sampaio,32072
2304657,Graça,58854
2304707,Granja,196568
2304806,Granjeiro,22676
2304905,Groaíras,44395
2304954,Guaiúba,107068
2305001,Guaraciaba do Norte,219409
2305100,Guaramiranga,29744
2305209,Hidrolândia,97389
2305233,Horizonte,939562
2305266,Ibaretama,53094
2305308,Ibiapina,152262
2305332,Ibicuitinga,51552
2305357,Icapuí,223096
2305407,Icó,317608
2305506,Iguatu,881128
2305605,Independência,127662
2305654,Ipaporanga,45347
2305704,Ipaumirim,56073
2305803,Ipu,206252
2305902,Ipueiras,170385
2306009,Iracema,78396
2306108,Irauçuba,103580
2306207,Itaiçaba,36013
2306256,Itaitinga,184858
2306306,Itapajé,316789
2306405,Itapipoca,784735
2306504,Itapiúna,75391
2306553,Itarema,235262
2306603,Itatira,75283
2306702,Jaguaretama,96020
2306801,Jaguaribara,67208
2306900,Jaguaribe,271542
2307007,Jaguaruana,215234
2307106,Jardim,110781
2307205,Jati,33919
2307254,Jijoca de Jericoacoara,92611
2307304,Juazeiro do Norte,2354692
2307403,Jucás,107837
2307502,Lavras da Mangabeira,133781
2307601,Limoeiro do Norte,424366
2307635,Madalena,83652
2307650,Maracanaú,4789878
2307700,Maranguape,823652
2307809,Marco,159531
2307908,Martinópole,38328
2308005,Massapê,150333
2308104,Mauriti,205236
2308203,Meruoca,57177
2308302,Milagres,125140
2308351,Milhã,60089
2308377,Miraíma,53045
2308401,Missão Velha,161191
2308500,Mombaça,165744
2308609,Monsenhor Tabosa,72659
2308708,Morada Nova,415746
2308807,Moraújo,36809
2308906,Morrinhos,89651
2309003,Mucambo,60943
2309102,Mulungu,54964
2309201,Nova Olinda,70527
2309300,Nova Russas,168474
2309409,Novo Oriente,113398
2309458,Ocara,95419
2309508,Orós,116724
2309607,Pacajus,599849
2309706,Pacatuba,650910
2309805,Pacoti,55414
2309904,Pacujá,28689
2310001,Palhano,41982
2310100,Palmácia,47174
2310209,Paracuru,396224
2310258,Paraipaba,199731
2310308,Parambu,128353
2310407,Paramoti,51852
2310506,Pedra Branca,168418
2310605,Penaforte,50033
2310704,Pentecoste,300895
2310803,Pereiro,71232
2310852,Pindoretama,104306
2310902,Piquet Carneiro,66787
2310951,Pires Ferreira,40112
2311009,Poranga,42093
2311108,Porteiras,64790
2311207,Potengi,44070
2311231,Potiretama,30427
2311264,Quiterianópolis,95155
2311306,Quixadá,622866
2311355,Quixelô,57750
2311405,Quixeramobim,466767
2311504,Quixeré,156690
2311603,Redenção,139485
2311702,Reriutaba,94949
2311801,Russas,634363
2311900,Saboeiro,62017
2311959,Salitre,63377
2312007,Santana do Acaraú,137084
2312106,Santana do Cariri,75565
2312205,Santa Quitéria,240212
2312304,São Benedito,266528
2312403,São Gonçalo do Amarante,1439817
2312502,São João do Jaguaribe,40462
2312601,São Luís do Curu,68489
2312700,Senador Pompeu,147471
2312809,Senador Sá,33559
2312908,Sobral,2462619
2313005,Solonópole,95472
2313104,Tabuleiro do Norte,179872
2313203,Tamboril,111865
2313252,Tarrafas,35230
2313302,Tauá,314878
2313351,Tejuçuoca,66753
2313401,Tianguá,499292
2313500,Trairi,297617
2313559,Tururu,60839
2313609,Ubajara,184786
2313708,Umari,30371
2313757,Umirim,83934
2313807,Uruburetama,170056
2313906,Uruoca,56592
2313955,Varjota,126333
2314003,Várzea Alegre,176654
2314102,Viçosa do Ceará,231143
