id,Espacialidades,População Total
2300101,Abaiara,7889
2300150,Acarape,11173
2300200,Acaraú,45505
2300309,Acopiara,49259
2300408,Aiuaba,13219
2300507,Alcântaras,8606
2300606,Altaneira,4806
2300705,Alto Santo,13043
2300754,Amontada,25161
2300804,Antonina do Norte,5086
2300903,Apuiarés,9516
2301000,Aquiraz,46305
2301109,Aracati,50495
2301208,Aracoiaba,22508
2301257,Ararendá,9323
2301307,Araripe,17409
2301406,Aratuba,9153
2301505,Arneiroz,6972
2301604,Assaré,19723
2301703,Aurora,24491
2301802,Baixio,5412
2301851,Banabuiú,14364
2301901,Barbalha,38430
2301950,Barreira,14936
2302008,Barro,19375
2302057,Barroquinha,12929
2302107,Baturité,27147
2302206,Beberibe,36801
2302305,Bela Cruz,25966
2302404,Boa Viagem,48056
2302503,Brejo Santo,33721
2302602,Camocim,51035
2302701,Campos Sales,23282
2302800,Canindé,61827
2302909,Capistrano,16984
2303006,Caridade,12432
2303105,Cariré,17194
2303204,Caririaçu,21318
2303303,Cariús,17571
2303402,Carnaubal,13625
2303501,Cascavel,46507
2303600,Catarina,12350
2303659,Catunda,8915
2303709,Caucaia,167271
2303808,Cedro,22885
2303907,Chaval,10560
2303931,Choró,10759
2303956,Chorozinho,15492
2304004,Coreaú,17565
2304103,Crateús,66294
2304202,Crato,90519
2304236,Croatá,14197
2304251,Cruz,14190
2304269,Deputado Irapuan Pinheiro,7930
2304277,Ererê,6437
2304285,Eusébio,20728
2304301,Farias Brito,17513
2304350,Forquilha,15245
2304400,Fortaleza,1764892
2304459,Fortim,10193
2304509,Frecheirinha,9704
2304608,General Sampaio,5565
2304657,Graça,14365
2304707,Granja,44465
2304806,Granjeiro,4743
2304905,Groaíras,8211
2304954,Guaiúba,17562
2305001,Guaraciaba do Norte,30312
2305100,Guaramiranga,4949
2305209,Hidrolândia,18157
2305233,Horizonte,18283
2305266,Ibaretama,11253
2305308,Ibiapina,20031
2305332,Ibicuitinga,8598
2305357,Icapuí,13661
2305407,Icó,60466
2305506,Iguatu,75649
2305605,Independência,24031
2305654,Ipaporanga,10849
2305704,Ipaumirim,11284
2305803,Ipu,35396
2305902,Ipueiras,35786
2306009,Iracema,14015
2306108,Irauçuba,17155
2306207,Itaiçaba,5701
2306256,Itaitinga,22775
2306306,Itapagé,33645
2306405,Itapipoca,78731
2306504,Itapiúna,12854
2306553,Itarema,25548
2306603,Itatira,13853
2306702,Jaguaretama,16535
2306801,Jaguaribara,9706
2306900,Jaguaribe,32340
2307007,Jaguaruana,25917
2307106,Jardim,23964
2307205,Jati,8227
2307254,Jijoca de Jericoacoara,5908
2307304,Juazeiro do Norte,173566
2307403,Jucás,21100
2307502,Lavras da Mangabeira,30751
2307601,Limoeiro do Norte,42177
2307635,Madalena,12660
2307650,Maracanaú,160982
2307700,Maranguape,69130
2307809,Marco,20704
2307908,Martinópole,3186
2308005,Massapê,23285
2308104,Mauriti,34183
2308203,Meruoca,10446
2308302,Milagres,27158
2308351,Milhã,12019
2308377,Miraíma,9393
2308401,Missão Velha,29228
2308500,Mombaça,41132
2308609,Monsenhor Tabosa,15389
2308708,Morada Nova,58537
2308807,Moraújo,6075
2308906,Morrinhos,14526
2309003,Mucambo,11952
2309102,Mulungu,7842
2309201,Nova Olinda,11354
2309300,Nova Russas,28856
2309409,Novo Oriente,27151
2309458,Ocara,19828
2309508,Orós,22014
2309607,Pacajus,31800
2309706,Pacatuba,37373
2309805,Pacoti,10444
2309904,Pacujá,5006
2310001,Palhano,7946
2310100,Palmácia,10155
2310209,Paracuru,20771
2310258,Paraipaba,19791
2310308,Parambu,30079
2310407,Paramoti,10447
2310506,Pedra Branca,38800
2310605,Penaforte,5071
2310704,Pentecoste,32252
2310803,Pereiro,14792
2310852,Pindoretama,12442
2310902,Piquet Carneiro,13097
2310951,Pires Ferreira,9278
2311009,Poranga,11057
2311108,Porteiras,15027
2311207,Potengi,8148
2311231,Potiretama,5784
2311264,Quiterianópolis,16871
2311306,Quixadá,61466
2311355,Quixelô,15679
2311405,Quixeramobim,59100
2311504,Quixeré,13324
2311603,Redenção,21679
2311702,Reriutaba,17793
2311801,Russas,46566
2311900,Saboeiro,15461
2311959,Salitre,12645
2312007,Santana do Acaraú,22447
2312106,Santana do Cariri,15403
2312205,Santa Quitéria,40602
2312304,São Benedito,36700
2312403,São Gonçalo do Amarante,29457
2312502,São João do Jaguaribe,7764
2312601,São Luís do Curu,10609
2312700,Senador Pompeu,26597
2312809,Senador Sá,6306
2312908,Sobral,127737
2313005,Solonópole,16343
2313104,Tabuleiro do Norte,25360
2313203,Tamboril,25656
2313252,Tarrafas,10113
2313302,Tauá,51040
2313351,Tejuçuoca,11805
2313401,Tianguá,44005
2313500,Trairi,36344
2313559,Tururu,10525
2313609,Ubajara,23374
2313708,Umari,7896
2313757,Umirim,14722
2313807,Uruburetama,12710
2313906,Uruoca,9987
2313955,Varjota,13465
2314003,Várzea Alegre,31376
2314102,Viçosa do Ceará,40865
