id,Espacialidades,populacao
2300101,Abaiara,8385
2300150,Acarape,13889
2300200,Acaraú,48968
2300309,Acopiara,47137
2300408,Aiuaba,14452
2300507,Alcântaras,9548
2300606,Altaneira,5687
2300705,Alto Santo,15394
2300754,Amontada,32333
2300804,Antonina do Norte,6509
2300903,Apuiarés,12540
2301000,Aquiraz,60469
2301109,Aracati,61187
2301208,Aracoiaba,24064
2301257,Ararendá,10008
2301307,Araripe,19606
2301406,Aratuba,10326
2301505,Arneiroz,7538
2301604,Assaré,21052
2301703,Aurora,25207
2301802,Baixio,5724
2301851,Banabuiú,16173
2301901,Barbalha,47031
2301950,Barreira,17268
2302008,Barro,20007
2302057,Barroquinha,13921
2302107,Baturité,29861
2302206,Beberibe,42343
2302305,Bela Cruz,28358
2302404,Boa Viagem,50388
2302503,Brejo Santo,38484
2302602,Camocim,55448
2302701,Campos Sales,25566
2302800,Canindé,69601
2302909,Capistrano,17864
2303006,Caridade,15604
2303105,Cariré,17936
2303204,Caririaçu,25733
2303303,Cariús,18444
2303402,Carnaubal,15230
2303501,Cascavel,57129
2303600,Catarina,15547
2303659,Catunda,9286
2303709,Caucaia,254711
2303808,Cedro,23947
2303907,Chaval,12163
2303931,Choró,12001
2303956,Chorozinho,18707
2304004,Coreaú,19981
2304103,Crateús,70606
2304202,Crato,104646
2304236,Croatá,15582
2304251,Cruz,19779
2304269,Deputado Irapuan Pinheiro,8385
2304277,Ererê,6302
2304285,Eusébio,31962
2304301,Farias Brito,20145
2304350,Forquilha,17488
2304400,Fortaleza,2135544
2304459,Fortim,12066
2304509,Frecheirinha,11832
2304608,General Sampaio,4866
2304657,Graça,14813
2304707,Granja,50079
2304806,Granjeiro,5295
2304905,Groaíras,8954
2304954,Guaiúba,19884
2305001,Guaraciaba do Norte,35037
2305100,Guaramiranga,5256
2305209,Hidrolândia,17926
2305233,Horizonte,33790
2305266,Ibaretama,12561
2305308,Ibiapina,22157
2305332,Ibicuitinga,9435
2305357,Icapuí,16052
2305407,Icó,62521
2305506,Iguatu,85615
2305605,Independência,25262
2305654,Ipaporanga,11247
2305704,Ipaumirim,11539
2305803,Ipu,38665
2305902,Ipueiras,38701
2306009,Iracema,13155
2306108,Irauçuba,19560
2306207,Itaiçaba,6579
2306256,Itaitinga,29217
2306306,Itapagé,41093
2306405,Itapipoca,94667
2306504,Itapiúna,16276
2306553,Itarema,30347
2306603,Itatira,15541
2306702,Jaguaretama,18024
2306801,Jaguaribara,8730
2306900,Jaguaribe,35062
2307007,Jaguaruana,29735
2307106,Jardim,26414
2307205,Jati,8137
2307254,Jijoca de Jericoacoara,12089
2307304,Juazeiro do Norte,212133
2307403,Jucás,22632
2307502,Lavras da Mangabeira,31203
2307601,Limoeiro do Norte,50345
2307635,Madalena,14864
2307650,Maracanaú,183555
2307700,Maranguape,85477
2307809,Marco,20427
2307908,Martinópole,5940
2308005,Massapê,29574
2308104,Mauriti,38309
2308203,Meruoca,11339
2308302,Milagres,31050
2308351,Milhã,13028
2308377,Miraíma,11417
2308401,Missão Velha,32586
2308500,Mombaça,41537
2308609,Monsenhor Tabosa,16262
2308708,Morada Nova,64400
2308807,Moraújo,7046
2308906,Morrinhos,17928
2309003,Mucambo,13811
2309102,Mulungu,8897
2309201,Nova Olinda,12077
2309300,Nova Russas,29816
2309409,Novo Oriente,26411
2309458,Ocara,21584
2309508,Orós,22023
2309607,Pacajus,44070
2309706,Pacatuba,51696
2309805,Pacoti,11388
2309904,Pacujá,5653
2310001,Palhano,8166
2310100,Palmácia,9749
2310209,Paracuru,27411
2310258,Paraipaba,25462
2310308,Parambu,32302
2310407,Paramoti,10970
2310506,Pedra Branca,40742
2310605,Penaforte,6145
2310704,Pentecoste,32600
2310803,Pereiro,15225
2310852,Pindoretama,14951
2310902,Piquet Carneiro,13131
2310951,Pires Ferreira,8513
2311009,Poranga,11737
2311108,Porteiras,15658
2311207,Potengi,9138
2311231,Potiretama,5768
2311264,Quiterianópolis,18355
2311306,Quixadá,69654
2311355,Quixelô,15596
2311405,Quixeramobim,59235
2311504,Quixeré,16137
2311603,Redenção,23898
2311702,Reriutaba,21767
2311801,Russas,57320
2311900,Saboeiro,16226
2311959,Salitre,13925
2312007,Santana do Acaraú,26198
2312106,Santana do Cariri,16847
2312205,Santa Quitéria,42375
2312304,São Benedito,39894
2312403,São Gonçalo do Amarante,35738
2312502,São João do Jaguaribe,8368
2312601,São Luís do Curu,11497
2312700,Senador Pompeu,27225
2312809,Senador Sá,5605
2312908,Sobral,155744
2313005,Solonópole,16902
2313104,Tabuleiro do Norte,27380
2313203,Tamboril,25266
2313252,Tarrafas,9213
2313302,Tauá,51627
2313351,Tejuçuoca,13519
2313401,Tianguá,58069
2313500,Trairi,44527
2313559,Tururu,12090
2313609,Ubajara,27095
2313708,Umari,7435
2313757,Umirim,16751
2313807,Uruburetama,16146
2313906,Uruoca,12545
2313955,Varjota,16593
2314003,Várzea Alegre,34959
2314102,Viçosa do Ceará,45427
