id,Espacialidades,populacao,log_populacao
2300101,Abaiara,10496,4.021024
2300150,Acarape,15338,4.185769
2300200,Acaraú,57551,4.760053
2300309,Acopiara,51160,4.708931
2300408,Aiuaba,16203,4.209595
2300507,Alcântaras,10771,4.032256
2300606,Altaneira,6856,3.836071
2300705,Alto Santo,16359,4.213757
2300754,Amontada,39232,4.59364
2300804,Antonina do Norte,6984,3.844104
2300903,Apuiarés,13925,4.143795
2301000,Aquiraz,72628,4.861104
2301109,Aracati,69159,4.839849
2301208,Aracoiaba,25391,4.40468
2301257,Ararendá,10491,4.020817
2301307,Araripe,20685,4.315656
2301406,Aratuba,11529,4.061792
2301505,Arneiroz,7650,3.883661
2301604,Assaré,22445,4.35112
2301703,Aurora,24566,4.390334
2301802,Baixio,6026,3.780029
2301851,Banabuiú,17315,4.238422
2301901,Barbalha,55323,4.742906
2301950,Barreira,19573,4.291657
2302008,Barro,21514,4.332721
2302057,Barroquinha,14476,4.160649
2302107,Baturité,33321,4.522718
2302206,Beberibe,49311,4.692944
2302305,Bela Cruz,30878,4.489649
2302404,Boa Viagem,52498,4.720143
2302503,Brejo Santo,45193,4.655071
2302602,Camocim,60158,4.779293
2302701,Campos Sales,26506,4.423344
2302800,Canindé,74473,4.871999
2302909,Capistrano,17062,4.23203
2303006,Caridade,20020,4.301464
2303105,Cariré,18347,4.263565
2303204,Caririaçu,26393,4.421489
2303303,Cariús,18567,4.268742
2303402,Carnaubal,16746,4.223911
2303501,Cascavel,66142,4.820477
2303600,Catarina,18745,4.272885
2303659,Catunda,9952,3.99791
2303709,Caucaia,325441,5.512472
2303808,Cedro,24527,4.389644
2303907,Chaval,12615,4.100887
2303931,Choró,12853,4.109005
2303956,Chorozinho,18915,4.276806
2304004,Coreaú,21954,4.341514
2304103,Crateús,72812,4.862203
2304202,Crato,121428,5.084319
2304236,Croatá,17069,4.232208
2304251,Cruz,22479,4.351777
2304269,Deputado Irapuan Pin,9095,3.958803
2304277,Ererê,6840,3.835056
2304285,Eusébio,46033,4.663069
2304301,Farias Brito,19007,4.278914
2304350,Forquilha,21786,4.338177
2304400,Fortaleza,2452185,6.389553
2304459,Fortim,14817,4.17076
2304509,Frecheirinha,12991,4.113643
2304608,General Sampaio,6218,3.793651
2304657,Graça,15049,4.177508
2304707,Granja,52645,4.721357
2304806,Granjeiro,4629,3.665487
2304905,Groaíras,10228,4.009791
2304954,Guaiúba,24091,4.381855
2305001,Guaraciaba do Norte,37775,4.577204
2305100,Guaramiranga,4164,3.619511
2305209,Hidrolândia,19325,4.28612
2305233,Horizonte,55187,4.741837
2305266,Ibaretama,12922,4.11133
2305308,Ibiapina,23808,4.376723
2305332,Ibicuitinga,11335,4.054422
2305357,Icapuí,18392,4.264629
2305407,Icó,65456,4.815949
2305506,Iguatu,96495,4.984505
2305605,Independência,25573,4.407782
2305654,Ipaporanga,11343,4.054728
2305704,Ipaumirim,12009,4.079507
2305803,Ipu,40296,4.605262
2305902,Ipueiras,37862,4.578204
2306009,Iracema,13722,4.137417
2306108,Irauçuba,22324,4.348772
2306207,Itaiçaba,7316,3.864274
2306256,Itaitinga,35817,4.554089
2306306,Itapagé,48350,4.684396
2306405,Itapipoca,116065,5.064701
2306504,Itapiúna,18626,4.27012
2306553,Itarema,37471,4.573695
2306603,Itatira,18894,4.276324
2306702,Jaguaretama,17863,4.251954
2306801,Jaguaribara,10399,4.016992
2306900,Jaguaribe,34409,4.536672
2307007,Jaguaruana,32236,4.508341
2307106,Jardim,26688,4.426316
2307205,Jati,7660,3.884229
2307254,Jijoca de Jericoacoa,17002,4.2305
2307304,Juazeiro do Norte,249939,5.397834
2307403,Jucás,23807,4.376705
2307502,Lavras da Mangabeira,31090,4.492621
2307601,Limoeiro do Norte,56264,4.750231
2307635,Madalena,18088,4.257391
2307650,Maracanaú,209057,5.320265
2307700,Maranguape,113561,5.055229
2307809,Marco,24703,4.39275
2307908,Martinópole,10214,4.009196
2308005,Massapê,35191,4.546432
2308104,Mauriti,44240,4.645815
2308203,Meruoca,13693,4.136499
2308302,Milagres,28316,4.452032
2308351,Milhã,13086,4.116807
2308377,Miraíma,12800,4.10721
2308401,Missão Velha,34274,4.534965
2308500,Mombaça,42690,4.630326
2308609,Monsenhor Tabosa,16705,4.222846
2308708,Morada Nova,62065,4.792847
2308807,Moraújo,8070,3.906874
2308906,Morrinhos,20700,4.31597
2309003,Mucambo,14102,4.149281
2309102,Mulungu,11485,4.060131
2309201,Nova Olinda,14256,4.153998
2309300,Nova Russas,30965,4.490871
2309409,Novo Oriente,27453,4.43859
2309458,Ocara,24007,4.380338
2309508,Orós,21389,4.33019
2309607,Pacajus,61838,4.791255
2309706,Pacatuba,72299,4.859132
2309805,Pacoti,11607,4.06472
2309904,Pacujá,5986,3.777137
2310001,Palhano,8866,3.947728
2310100,Palmácia,12005,4.079362
2310209,Paracuru,31636,4.500182
2310258,Paraipaba,30041,4.477714
2310308,Parambu,31309,4.495669
2310407,Paramoti,11308,4.053386
2310506,Pedra Branca,41890,4.62211
2310605,Penaforte,8226,3.915189
2310704,Pentecoste,35400,4.549003
2310803,Pereiro,15757,4.197474
2310852,Pindoretama,18683,4.271447
2310902,Piquet Carneiro,15467,4.189406
2310951,Pires Ferreira,10216,4.009281
2311009,Poranga,12001,4.079217
2311108,Porteiras,15061,4.177854
2311207,Potengi,10276,4.011824
2311231,Potiretama,6126,3.787177
2311264,Quiterianópolis,19921,4.299311
2311306,Quixadá,80604,4.906357
2311355,Quixelô,15000,4.176091
2311405,Quixeramobim,71887,4.85665
2311504,Quixeré,19412,4.28807
2311603,Redenção,26415,4.421851
2311702,Reriutaba,19455,4.289031
2311801,Russas,69833,4.844061
2311900,Saboeiro,15752,4.197336
2311959,Salitre,15453,4.189013
2312007,Santana do Acaraú,29946,4.476339
2312106,Santana do Cariri,17170,4.23477
2312205,Santa Quitéria,42763,4.631068
2312304,São Benedito,44178,4.645206
2312403,São Gonçalo do Amara,43890,4.642366
2312502,São João do Jaguarib,7900,3.897627
2312601,São Luís do Curu,12332,4.091034
2312700,Senador Pompeu,26469,4.422738
2312809,Senador Sá,6852,3.835817
2312908,Sobral,188233,5.274696
2313005,Solonópole,17665,4.247114
2313104,Tabuleiro do Norte,29204,4.465442
2313203,Tamboril,25451,4.405705
2313252,Tarrafas,8910,3.949878
2313302,Tauá,55716,4.74598
2313351,Tejuçuoca,16827,4.226007
2313401,Tianguá,68892,4.838169
2313500,Trairi,51422,4.711149
2313559,Tururu,14408,4.158604
2313609,Ubajara,31787,4.50225
2313708,Umari,7545,3.877659
2313757,Umirim,18802,4.274204
2313807,Uruburetama,19765,4.295897
2313906,Uruoca,12883,4.110017
2313955,Varjota,17593,4.24534
2314003,Várzea Alegre,38434,4.584716
2314102,Viçosa do Ceará,54955,4.740007
