Código,Espacialidades,População total 2010
76,Brasil,190755799
2300101,Abaiara,10496
2300150,Acarape,15338
2300200,Acaraú,57551
2300309,Acopiara,51160
2300408,Aiuaba,16203
2300507,Alcântaras,10771
2300606,Altaneira,6856
2300705,Alto Santo,16359
2300754,Amontada,39232
2300804,Antonina do Norte,6984
2300903,Apuiarés,13925
2301000,Aquiraz,72628
2301109,Aracati,69159
2301208,Aracoiaba,25391
2301257,Ararendá,10491
2301307,Araripe,20685
2301406,Aratuba,11529
2301505,Arneiroz,7650
2301604,Assaré,22445
2301703,Aurora,24566
2301802,Baixio,6026
2301851,Banabuiú,17315
2301901,Barbalha,55323
2301950,Barreira,19573
2302008,Barro,21514
2302057,Barroquinha,14476
2302107,Baturité,33321
2302206,Beberibe,49311
2302305,Bela Cruz,30878
2302404,Boa Viagem,52498
2302503,Brejo Santo,45193
2302602,Camocim,60158
2302701,Campos Sales,26506
2302800,Canindé,74473
2302909,Capistrano,17062
2303006,Caridade,20020
2303105,Cariré,18347
2303204,Caririaçu,26393
2303303,Cariús,18567
2303402,Carnaubal,16746
2303501,Cascavel,66142
2303600,Catarina,18745
2303659,Catunda,9952
2303709,Caucaia,325441
2303808,Cedro,24527
2303907,Chaval,12615
2303931,Choró,12853
2303956,Chorozinho,18915
2304004,Coreaú,21954
2304103,Crateús,72812
2304202,Crato,121428
2304236,Croatá,17069
2304251,Cruz,22479
2304269,Deputado Irapuan Pinheiro,9095
2304277,Ererê,6840
2304285,Eusébio,46033
2304301,Farias Brito,19007
2304350,Forquilha,21786
2304400,Fortaleza,2452185
2304459,Fortim,14817
2304509,Frecheirinha,12991
2304608,General Sampaio,6218
2304657,Graça,15049
2304707,Granja,52645
2304806,Granjeiro,4629
2304905,Groaíras,10228
2304954,Guaiúba,24091
2305001,Guaraciaba do Norte,37775
2305100,Guaramiranga,4164
2305209,Hidrolândia,19325
2305233,Horizonte,55187
2305266,Ibaretama,12922
2305308,Ibiapina,23808
2305332,Ibicuitinga,11335
2305357,Icapuí,18392
2305407,Icó,65456
2305506,Iguatu,96495
2305605,Independência,25573
2305654,Ipaporanga,11343
2305704,Ipaumirim,12009
2305803,Ipu,40296
2305902,Ipueiras,37862
2306009,Iracema,13722
2306108,Irauçuba,22324
2306207,Itaiçaba,7316
2306256,Itaitinga,35817
2306306,Itapagé,48350
2306405,Itapipoca,116065
2306504,Itapiúna,18626
2306553,Itarema,37471
2306603,Itatira,18894
2306702,Jaguaretama,17863
2306801,Jaguaribara,10399
2306900,Jaguaribe,34409
2307007,Jaguaruana,32236
2307106,Jardim,26688
2307205,Jati,7660
2307254,Jijoca de Jericoacoara,17002
2307304,Juazeiro do Norte,249939
2307403,Jucás,23807
2307502,Lavras da Mangabeira,31090
2307601,Limoeiro do Norte,56264
2307635,Madalena,18088
2307650,Maracanaú,209057
2307700,Maranguape,113561
2307809,Marco,24703
2307908,Martinópole,10214
2308005,Massapê,35191
2308104,Mauriti,44240
2308203,Meruoca,13693
2308302,Milagres,28316
2308351,Milhã,13086
2308377,Miraíma,12800
2308401,Missão Velha,34274
2308500,Mombaça,42690
2308609,Monsenhor Tabosa,16705
2308708,Morada Nova,62065
2308807,Moraújo,8070
2308906,Morrinhos,20700
2309003,Mucambo,14102
2309102,Mulungu,11485
2309201,Nova Olinda,14256
2309300,Nova Russas,30965
2309409,Novo Oriente,27453
2309458,Ocara,24007
2309508,Orós,21389
2309607,Pacajus,61838
2309706,Pacatuba,72299
2309805,Pacoti,11607
2309904,Pacujá,5986
2310001,Palhano,8866
2310100,Palmácia,12005
2310209,Paracuru,31636
2310258,Paraipaba,30041
2310308,Parambu,31309
2310407,Paramoti,11308
2310506,Pedra Branca,41890
2310605,Penaforte,8226
2310704,Pentecoste,35400
2310803,Pereiro,15757
2310852,Pindoretama,18683
2310902,Piquet Carneiro,15467
2310951,Pires Ferreira,10216
2311009,Poranga,12001
2311108,Porteiras,15061
2311207,Potengi,10276
2311231,Potiretama,6126
2311264,Quiterianópolis,19921
2311306,Quixadá,80604
2311355,Quixelô,15000
2311405,Quixeramobim,71887
2311504,Quixeré,19412
2311603,Redenção,26415
2311702,Reriutaba,19455
2311801,Russas,69833
2311900,Saboeiro,15752
2311959,Salitre,15453
2312007,Santana do Acaraú,29946
2312106,Santana do Cariri,17170
2312205,Santa Quitéria,42763
2312304,São Benedito,44178
2312403,São Gonçalo do Amarante,43890
2312502,São João do Jaguaribe,7900
2312601,São Luís do Curu,12332
2312700,Senador Pompeu,26469
2312809,Senador Sá,6852
2312908,Sobral,188233
2313005,Solonópole,17665
2313104,Tabuleiro do Norte,29204
2313203,Tamboril,25451
2313252,Tarrafas,8910
2313302,Tauá,55716
2313351,Tejuçuoca,16827
2313401,Tianguá,68892
2313500,Trairi,51422
2313559,Tururu,14408
2313609,Ubajara,31787
2313708,Umari,7545
2313757,Umirim,18802
2313807,Uruburetama,19765
2313906,Uruoca,12883
2313955,Varjota,17593
2314003,Várzea Alegre,38434
2314102,Viçosa do Ceará,54955
