Nome,ano,chuva_total,chuva_media,id
Potiretama,2000,833.1,69.42,"2311231"
Itaitinga,2000,1515.0,126.25,"2306256"
Altaneira,2000,759.0,63.25,"2300606"
Farias Brito,2000,828.7,69.06,"2304301"
Jati,2000,863.7,71.97,"2307205"
Nova Olinda,2000,800.5,66.71,"2309201"
Quixadá,2000,852.62,71.05,"2311306"
Pereiro,2000,1182.9,98.58,"2310803"
Groaíras,2000,953.0,79.42,"2304905"
Cariús,2000,1022.6,85.22,"2303303"
Graça,2000,1021.2,85.1,"2304657"
Choró,2000,909.4,75.78,"2303931"
Jaguaruana,2000,839.7,69.97,"2307007"
Viçosa do Ceará,2000,1075.86,89.65,"2314102"
São Luís do Curu,2000,893.0,74.42,"2312601"
Baixio,2000,1320.0,110.0,"2301802"
Piquet Carneiro,2000,705.0,58.75,"2310902"
Tururu,2000,1090.4,90.87,"2313559"
Morada Nova,2000,907.52,75.63,"2308708"
Quixelô,2000,856.6,71.38,"2311355"
Nova Russas,2000,1048.3,87.36,"2309300"
Acarape,2000,1658.6,138.22,"2300150"
Aracati,2000,746.45,62.2,"2301109"
Orós,2000,782.2,65.18,"2309508"
Monsenhor Tabosa,2000,689.05,57.42,"2308609"
Itapipoca,2000,1126.62,93.89,"2306405"
Mombaça,2000,797.9,66.49,"2308500"
Marco,2000,1041.0,86.75,"2307809"
Pires Ferreira,2000,796.5,66.38,"2310951"
Catarina,2000,657.1,54.76,"2303600"
Ererê,2000,883.0,73.58,"2304277"
Guaraciaba do Norte,2000,1293.26,107.77,"2305001"
Iracema,2000,1027.98,85.66,"2306009"
Croatá,2000,610.2,50.85,"2304236"
Paramoti,2000,508.35,42.36,"2310407"
Ubajara,2000,1192.45,99.37,"2313609"
Ipaporanga,2000,764.0,63.67,"2305654"
Carnaubal,2000,705.0,58.75,"2303402"
Massapê,2000,1022.4,85.2,"2308005"
Chaval,2000,1303.6,108.63,"2303907"
São Benedito,2000,1239.15,103.26,"2312304"
Aracoiaba,2000,1309.82,109.15,"2301208"
Potengi,2000,718.5,59.88,"2311207"
Granja,2000,1059.89,88.32,"2304707"
Missão Velha,2000,981.41,81.78,"2308401"
Poranga,2000,874.6,72.88,"2311009"
Granjeiro,2000,1019.6,84.97,"2304806"
Senador Sá,2000,1045.2,87.1,"2312809"
Icó,2000,1038.48,86.54,"2305407"
Pedra Branca,2000,851.12,70.93,"2310506"
Tarrafas,2000,726.9,60.57,"2313252"
Maranguape,2000,1292.99,107.75,"2307700"
Palhano,2000,853.7,71.14,"2310001"
Campos Sales,2000,542.41,45.2,"2302701"
Caridade,2000,929.95,77.5,"2303006"
São Gonçalo do Amara,2000,1205.25,100.44,"2312403"
Horizonte,2000,1426.2,118.85,"2305233"
Paracuru,2000,1573.4,131.12,"2310209"
Santana do Cariri,2000,1110.9,92.58,"2312106"
Amontada,2000,1298.29,108.19,"2300754"
Quiterianópolis,2000,794.92,66.24,"2311264"
Tauá,2000,500.5,41.71,"2313302"
Brejo Santo,2000,799.6,66.63,"2302503"
Lavras da Mangabeira,2000,1194.08,99.51,"2307502"
Ocara,2000,1057.57,88.13,"2309458"
Caririaçu,2000,1061.1,88.42,"2303204"
Aurora,2000,1013.45,84.45,"2301703"
Barreira,2000,1065.1,88.76,"2301950"
Maracanaú,2000,1401.6,116.8,"2307650"
Bela Cruz,2000,664.7,55.39,"2302305"
Meruoca,2000,1936.8,161.4,"2308203"
Pacatuba,2000,1689.4,140.78,"2309706"
Frecheirinha,2000,1242.0,103.5,"2304509"
Pacujá,2000,1120.6,93.38,"2309904"
Salitre,2000,553.0,46.08,"2311959"
General Sampaio,2000,838.15,69.85,"2304608"
Banabuiú,2000,831.25,69.27,"2301851"
São João do Jaguarib,2000,1034.6,86.22,"2312502"
Abaiara,2000,988.0,82.33,"2300101"
Umirim,2000,954.5,79.54,"2313757"
Irauçuba,2000,629.67,52.47,"2306108"
Guaiúba,2000,1664.2,138.68,"2304954"
Crateús,2000,880.74,73.39,"2304103"
Palmácia,2000,1963.6,163.63,"2310100"
Beberibe,2000,1049.74,87.48,"2302206"
Mucambo,2000,998.0,83.17,"2309003"
Martinópole,2000,962.9,80.24,"2307908"
Jaguaribara,2000,663.6,55.3,"2306801"
